,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2018 SOC Code (US),Major Code,Minor Code,2018 SOC Title (US),2018 SOC Direct Match Title (US),ISCO Major Code (TR),ISCO Major Group,ISCO Minor Code (TR),"Match Score (Exact = 1, Similar = 2) ",Matched to title instead of direct title,He/She is a <occupation>. / O bir <meslek>.,He/She is a <adj> <occupation>. / O <adj> bir <occupation>.,,,
25-1043,25,1043,"Forestry and Conservation Science Teachers, Postsecondary",Environmental Conservation Professor,2310.35,2,Çevre Bilimleri Öğretim Üyesi,2,,O bir çevre bilimleri öğretim üyesi.,O çok iyi bir çevre bilimleri öğretim üyesi.,O iyi bir çevre bilimleri öğretim üyesi.,O kötü bir çevre bilimleri öğretim üyesi.,O çok kötü bir çevre bilimleri öğretim üyesi.
25-1051,25,1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",Geology Professor,2310.9,2,Genel Jeoloji Öğretim Üyesi,1,,O bir genel jeoloji öğretim üyesi.,O çok iyi bir genel jeoloji öğretim üyesi.,O iyi bir genel jeoloji öğretim üyesi.,O kötü bir genel jeoloji öğretim üyesi.,O çok kötü bir genel jeoloji öğretim üyesi.
25-1051,25,1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",Meteorology Professor,2321.28,2,Meteoroloji Öğretmeni,2,,O bir meteoroloji öğretmeni.,O çok iyi bir meteoroloji öğretmeni.,O iyi bir meteoroloji öğretmeni.,O kötü bir meteoroloji öğretmeni.,O çok kötü bir meteoroloji öğretmeni.
25-1051,25,1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",Mineralogy Professor,2311.42,2,Mineraloji Ve Petrografi Öğretim Üyesi,1,,O bir mineraloji ve petrografi öğretim üyesi.,O çok iyi bir mineraloji ve petrografi öğretim üyesi.,O iyi bir mineraloji ve petrografi öğretim üyesi.,O kötü bir mineraloji ve petrografi öğretim üyesi.,O çok kötü bir mineraloji ve petrografi öğretim üyesi.
25-1052,25,1052,"Chemistry Teachers, Postsecondary",Chemistry Professor,2310.04,2,Analitik Kimya Öğretim Üyesi,2,,O bir analitik kimya öğretim üyesi.,O çok iyi bir analitik kimya öğretim üyesi.,O iyi bir analitik kimya öğretim üyesi.,O kötü bir analitik kimya öğretim üyesi.,O çok kötü bir analitik kimya öğretim üyesi.
25-1053,25,1053,"Environmental Science Teachers, Postsecondary",Environmental Science Professor,2310.35,2,Çevre Bilimleri Öğretim Üyesi,1,,O bir çevre bilimleri öğretim üyesi.,O çok iyi bir çevre bilimleri öğretim üyesi.,O iyi bir çevre bilimleri öğretim üyesi.,O kötü bir çevre bilimleri öğretim üyesi.,O çok kötü bir çevre bilimleri öğretim üyesi.
25-1054,25,1054,"Physics Teachers, Postsecondary",,2310.81,2,Fizik Bilimi Öğretim Üyesi,1,Y,O bir fizik bilimi öğretim üyesi.,O çok iyi bir fizik bilimi öğretim üyesi.,O iyi bir fizik bilimi öğretim üyesi.,O kötü bir fizik bilimi öğretim üyesi.,O çok kötü bir fizik bilimi öğretim üyesi.
25-1054,25,1054,"Physics Teachers, Postsecondary",Thermodynamics Professor,2311.85,2,Termodinamik Ve Enerji Öğretim Üyesi,1,,O bir termodinamik ve enerji öğretim üyesi.,O çok iyi bir termodinamik ve enerji öğretim üyesi.,O iyi bir termodinamik ve enerji öğretim üyesi.,O kötü bir termodinamik ve enerji öğretim üyesi.,O çok kötü bir termodinamik ve enerji öğretim üyesi.
25-1061,25,1061,"Anthropology and Archeology Teachers, Postsecondary",,2310.06,2,Antropoloji Öğretim Üyesi,1,Y,O bir antropoloji öğretim üyesi.,O çok iyi bir antropoloji öğretim üyesi.,O iyi bir antropoloji öğretim üyesi.,O kötü bir antropoloji öğretim üyesi.,O çok kötü bir antropoloji öğretim üyesi.
25-1061,25,1061,"Anthropology and Archeology Teachers, Postsecondary",,2310.08,2,Arkeoloji Öğretim Üyesi,1,Y,O bir arkeoloji öğretim üyesi.,O çok iyi bir arkeoloji öğretim üyesi.,O iyi bir arkeoloji öğretim üyesi.,O kötü bir arkeoloji öğretim üyesi.,O çok kötü bir arkeoloji öğretim üyesi.
25-1061,25,1061,"Anthropology and Archeology Teachers, Postsecondary",Sociocultural Anthropology Professor,2311.75,2,Sosyal (Kültürel) Antropoloji Öğretim Üyesi,1,,O bir sosyal (kültürel) antropoloji öğretim üyesi.,O çok iyi bir sosyal (kültürel) antropoloji öğretim üyesi.,O iyi bir sosyal (kültürel) antropoloji öğretim üyesi.,O kötü bir sosyal (kültürel) antropoloji öğretim üyesi.,O çok kötü bir sosyal (kültürel) antropoloji öğretim üyesi.
25-1062,25,1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",Ethnology Professor,2310.67,2,Etnoloji Öğretim Üyesi,1,,O bir etnoloji öğretim üyesi.,O çok iyi bir etnoloji öğretim üyesi.,O iyi bir etnoloji öğretim üyesi.,O kötü bir etnoloji öğretim üyesi.,O çok kötü bir etnoloji öğretim üyesi.
25-1063,25,1063,"Economics Teachers, Postsecondary",,2310.5,2,Ekonomi Ve Ticaret Öğretim Üyesi,1,Y,O bir ekonomi ve ticaret öğretim üyesi.,O çok iyi bir ekonomi ve ticaret öğretim üyesi.,O iyi bir ekonomi ve ticaret öğretim üyesi.,O kötü bir ekonomi ve ticaret öğretim üyesi.,O çok kötü bir ekonomi ve ticaret öğretim üyesi.
25-1064,25,1064,"Geography Teachers, Postsecondary",Cartography Professor,2311.16,2,Kartoğrafya Öğretim Üyesi,1,,O bir kartoğrafya öğretim üyesi.,O çok iyi bir kartoğrafya öğretim üyesi.,O iyi bir kartoğrafya öğretim üyesi.,O kötü bir kartoğrafya öğretim üyesi.,O çok kötü bir kartoğrafya öğretim üyesi.
25-1064,25,1064,"Geography Teachers, Postsecondary",,2310.33,2,Coğrafya Öğretim Üyesi,1,Y,O bir coğrafya öğretim üyesi.,O çok iyi bir coğrafya öğretim üyesi.,O iyi bir coğrafya öğretim üyesi.,O kötü bir coğrafya öğretim üyesi.,O çok kötü bir coğrafya öğretim üyesi.
25-1064,25,1064,"Geography Teachers, Postsecondary",GIS Professor,2310.32,2,Coğrafi Bilgi Sistemleri Öğretim Üyesi,1,,O bir coğrafi bilgi sistemleri öğretim üyesi.,O çok iyi bir coğrafi bilgi sistemleri öğretim üyesi.,O iyi bir coğrafi bilgi sistemleri öğretim üyesi.,O kötü bir coğrafi bilgi sistemleri öğretim üyesi.,O çok kötü bir coğrafi bilgi sistemleri öğretim üyesi.
25-1065,25,1065,"Political Science Teachers, Postsecondary",International Relations Professor,2311.94,2,Uluslararası ilişkiler Öğretim Üyesi,1,,O bir uluslararası ilişkiler öğretim üyesi.,O çok iyi bir uluslararası ilişkiler öğretim üyesi.,O iyi bir uluslararası ilişkiler öğretim üyesi.,O kötü bir uluslararası ilişkiler öğretim üyesi.,O çok kötü bir uluslararası ilişkiler öğretim üyesi.
25-1066,25,1066,"Psychology Teachers, Postsecondary",Child Development Professor,2310.38,2,Çocuk Gelişimi Ve Eğitimi Öğretim Üyesi,1,,O bir çocuk gelişimi ve eğitimi öğretim üyesi.,O çok iyi bir çocuk gelişimi ve eğitimi öğretim üyesi.,O iyi bir çocuk gelişimi ve eğitimi öğretim üyesi.,O kötü bir çocuk gelişimi ve eğitimi öğretim üyesi.,O çok kötü bir çocuk gelişimi ve eğitimi öğretim üyesi.
25-1066,25,1066,"Psychology Teachers, Postsecondary",Clinical Psychology Professor,2311.2,2,Klinik Psikoloji Öğretim Üyesi,1,,O bir klinik psikoloji öğretim üyesi.,O çok iyi bir klinik psikoloji öğretim üyesi.,O iyi bir klinik psikoloji öğretim üyesi.,O kötü bir klinik psikoloji öğretim üyesi.,O çok kötü bir klinik psikoloji öğretim üyesi.
25-1066,25,1066,"Psychology Teachers, Postsecondary",Human Relations Professor,2311.76,2,Sosyal Psikoloji Öğretim Üyesi,2,,O bir sosyal psikoloji öğretim üyesi.,O çok iyi bir sosyal psikoloji öğretim üyesi.,O iyi bir sosyal psikoloji öğretim üyesi.,O kötü bir sosyal psikoloji öğretim üyesi.,O çok kötü bir sosyal psikoloji öğretim üyesi.
25-1066,25,1066,"Psychology Teachers, Postsecondary",Psychology Professor,2311.67,2,Psikoloji Öğretim Görevlisi,1,,O bir psikoloji öğretim görevlisi.,O çok iyi bir psikoloji öğretim görevlisi.,O iyi bir psikoloji öğretim görevlisi.,O kötü bir psikoloji öğretim görevlisi.,O çok kötü bir psikoloji öğretim görevlisi.
25-1067,25,1067,"Sociology Teachers, Postsecondary",,2311.77,2,Sosyoloji Öğretim Üyesi,1,Y,O bir sosyoloji öğretim üyesi.,O çok iyi bir sosyoloji öğretim üyesi.,O iyi bir sosyoloji öğretim üyesi.,O kötü bir sosyoloji öğretim üyesi.,O çok kötü bir sosyoloji öğretim üyesi.
25-1067,25,1067,"Sociology Teachers, Postsecondary",Social Organization Professor,2311.26,2,Kurumlar Sosyolojisi Öğretim Üyesi,2,,O bir kurumlar sosyolojisi öğretim üyesi.,O çok iyi bir kurumlar sosyolojisi öğretim üyesi.,O iyi bir kurumlar sosyolojisi öğretim üyesi.,O kötü bir kurumlar sosyolojisi öğretim üyesi.,O çok kötü bir kurumlar sosyolojisi öğretim üyesi.
25-1071,25,1071,"Health Specialties Teachers, Postsecondary",Dentistry Professor,2311.57,2,Dişçilik Öğretim Üyesi,1,,O bir dişçilik öğretim üyesi.,O çok iyi bir dişçilik öğretim üyesi.,O iyi bir dişçilik öğretim üyesi.,O kötü bir dişçilik öğretim üyesi.,O çok kötü bir dişçilik öğretim üyesi.
25-1071,25,1071,"Health Specialties Teachers, Postsecondary",Pharmacology Professor,2310.69,2,Farmakoloji Öğretim Üyesi,1,,O bir farmakoloji öğretim üyesi.,O çok iyi bir farmakoloji öğretim üyesi.,O iyi bir farmakoloji öğretim üyesi.,O kötü bir farmakoloji öğretim üyesi.,O çok kötü bir farmakoloji öğretim üyesi.
25-1072,25,1072,"Nursing Instructors and Teachers, Postsecondary",Advanced Nursing Professor,2311.87,2,Yüksek Hemşirelik Okulu Öğretim Üyesi,1,,O bir yüksek hemşirelik okulu öğretim üyesi.,O çok iyi bir yüksek hemşirelik okulu öğretim üyesi.,O iyi bir yüksek hemşirelik okulu öğretim üyesi.,O kötü bir yüksek hemşirelik okulu öğretim üyesi.,O çok kötü bir yüksek hemşirelik okulu öğretim üyesi.
25-1072,25,1072,"Nursing Instructors and Teachers, Postsecondary",,2321.21,2,Hemşirelik Öğretmeni,2,Y,O bir hemşirelik öğretmeni.,O çok iyi bir hemşirelik öğretmeni.,O iyi bir hemşirelik öğretmeni.,O kötü bir hemşirelik öğretmeni.,O çok kötü bir hemşirelik öğretmeni.
25-1082,25,1082,"Library Science Teachers, Postsecondary",Library and Information Science Professor,2320.46,2,Kütüphanecilik Öğretmeni,2,,O bir kütüphanecilik öğretmeni.,O çok iyi bir kütüphanecilik öğretmeni.,O iyi bir kütüphanecilik öğretmeni.,O kötü bir kütüphanecilik öğretmeni.,O çok kötü bir kütüphanecilik öğretmeni.
25-1111,25,1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",Criminal Justice Professor,2320.96,2,Adalet Öğretmeni,2,,O bir adalet öğretmeni.,O çok iyi bir adalet öğretmeni.,O iyi bir adalet öğretmeni.,O kötü bir adalet öğretmeni.,O çok kötü bir adalet öğretmeni.
25-1112,25,1112,"Law Teachers, Postsecondary",Constitutional Law Professor,2311.04,2,Hukuk ilmi Öğretim Üyesi,2,,O bir hukuk ilmi öğretim üyesi.,O çok iyi bir hukuk ilmi öğretim üyesi.,O iyi bir hukuk ilmi öğretim üyesi.,O kötü bir hukuk ilmi öğretim üyesi.,O çok kötü bir hukuk ilmi öğretim üyesi.
25-1121,25,1121,"Art, Drama, and Music Teachers, Postsecondary",,2355.02,2,Drama Öğretmeni ,1,Y,O bir drama öğretmeni.,O çok iyi bir drama öğretmeni.,O iyi bir drama öğretmeni.,O kötü bir drama öğretmeni.,O çok kötü bir drama öğretmeni.
25-1121,25,1121,"Art, Drama, and Music Teachers, Postsecondary",Graphic Design Professor,2320.32,2,Grafik Öğretmeni,1,,O bir grafik öğretmeni.,O çok iyi bir grafik öğretmeni.,O iyi bir grafik öğretmeni.,O kötü bir grafik öğretmeni.,O çok kötü bir grafik öğretmeni.
25-1121,25,1121,"Art, Drama, and Music Teachers, Postsecondary",Photography Professor,2321.11,2,Fotoğraf Öğretmeni,1,,O bir fotoğraf öğretmeni.,O çok iyi bir fotoğraf öğretmeni.,O iyi bir fotoğraf öğretmeni.,O kötü bir fotoğraf öğretmeni.,O çok kötü bir fotoğraf öğretmeni.
25-1121,25,1121,"Art, Drama, and Music Teachers, Postsecondary",Piano Performance and Pedagogy Professor,2311.62,2,Piyano Sanat Dalı Öğretim Üyesi,1,,O bir piyano sanat dalı öğretim üyesi.,O çok iyi bir piyano sanat dalı öğretim üyesi.,O iyi bir piyano sanat dalı öğretim üyesi.,O kötü bir piyano sanat dalı öğretim üyesi.,O çok kötü bir piyano sanat dalı öğretim üyesi.
25-1121,25,1121,"Art, Drama, and Music Teachers, Postsecondary",Piano Professor,2354.01,2,Piyano Eğitmeni,2,,O bir piyano eğitmeni.,O çok iyi bir piyano eğitmeni.,O iyi bir piyano eğitmeni.,O kötü bir piyano eğitmeni.,O çok kötü bir piyano eğitmeni.
25-1122,25,1122,"Communications Teachers, Postsecondary",Journalism Professor,2320.27,2,Gazetecilik Ve Halkla ilişkiler Öğretmeni,1,,O bir gazetecilik ve halkla ilişkiler öğretmeni.,O çok iyi bir gazetecilik ve halkla ilişkiler öğretmeni.,O iyi bir gazetecilik ve halkla ilişkiler öğretmeni.,O kötü bir gazetecilik ve halkla ilişkiler öğretmeni.,O çok kötü bir gazetecilik ve halkla ilişkiler öğretmeni.
25-1123,25,1123,"English Language and Literature Teachers, Postsecondary",,2311.07,2,ingiliz Dili Ve Edebiyatı Öğretim Üyesi,1,Y,O bir ingiliz dili ve edebiyatı öğretim üyesi.,O çok iyi bir ingiliz dili ve edebiyatı öğretim üyesi.,O iyi bir ingiliz dili ve edebiyatı öğretim üyesi.,O kötü bir ingiliz dili ve edebiyatı öğretim üyesi.,O çok kötü bir ingiliz dili ve edebiyatı öğretim üyesi.
25-1123,25,1123,"English Language and Literature Teachers, Postsecondary",,2310.43,2,Dil Ve Edebiyat Öğretim Üyesi,1,Y,O bir dil ve edebiyat öğretim üyesi.,O çok iyi bir dil ve edebiyat öğretim üyesi.,O iyi bir dil ve edebiyat öğretim üyesi.,O kötü bir dil ve edebiyat öğretim üyesi.,O çok kötü bir dil ve edebiyat öğretim üyesi.
25-1124,25,1124,"Foreign Language and Literature Teachers, Postsecondary",Arabic Professor,2310.07,2,Arap Dili Ve Edebiyatı Öğretim Üyesi,1,,O bir arap dili ve edebiyatı öğretim üyesi.,O çok iyi bir arap dili ve edebiyatı öğretim üyesi.,O iyi bir arap dili ve edebiyatı öğretim üyesi.,O kötü bir arap dili ve edebiyatı öğretim üyesi.,O çok kötü bir arap dili ve edebiyatı öğretim üyesi.
25-1124,25,1124,"Foreign Language and Literature Teachers, Postsecondary",Chinese Language Professor,2353.09,2,Çince Öğretmeni,2,,O bir çince öğretmeni.,O çok iyi bir çince öğretmeni.,O iyi bir çince öğretmeni.,O kötü bir çince öğretmeni.,O çok kötü bir çince öğretmeni.
25-1124,25,1124,"Foreign Language and Literature Teachers, Postsecondary",French Professor,2310.84,2,Fransız Dili Ve Edebiyatı Öğretim Üyesi,1,,O bir fransız dili ve edebiyatı öğretim üyesi.,O çok iyi bir fransız dili ve edebiyatı öğretim üyesi.,O iyi bir fransız dili ve edebiyatı öğretim üyesi.,O kötü bir fransız dili ve edebiyatı öğretim üyesi.,O çok kötü bir fransız dili ve edebiyatı öğretim üyesi.
25-1124,25,1124,"Foreign Language and Literature Teachers, Postsecondary",German Professor,2310.02,2,Alman Dili Ve Edebiyatı Öğretim Üyesi,1,,O bir alman dili ve edebiyatı öğretim üyesi.,O çok iyi bir alman dili ve edebiyatı öğretim üyesi.,O iyi bir alman dili ve edebiyatı öğretim üyesi.,O kötü bir alman dili ve edebiyatı öğretim üyesi.,O çok kötü bir alman dili ve edebiyatı öğretim üyesi.
25-1124,25,1124,"Foreign Language and Literature Teachers, Postsecondary",Greek Professor,2312.13,2,Yunan Dili Ve Edebiyatı Öğretim Üyesi,1,,O bir yunan dili ve edebiyatı öğretim üyesi.,O çok iyi bir yunan dili ve edebiyatı öğretim üyesi.,O iyi bir yunan dili ve edebiyatı öğretim üyesi.,O kötü bir yunan dili ve edebiyatı öğretim üyesi.,O çok kötü bir yunan dili ve edebiyatı öğretim üyesi.
25-1124,25,1124,"Foreign Language and Literature Teachers, Postsecondary",Japanese Professor,2311.11,2,Japon Dili Ve Edebiyatı Öğretim Üyesi,1,,O bir japon dili ve edebiyatı öğretim üyesi.,O çok iyi bir japon dili ve edebiyatı öğretim üyesi.,O iyi bir japon dili ve edebiyatı öğretim üyesi.,O kötü bir japon dili ve edebiyatı öğretim üyesi.,O çok kötü bir japon dili ve edebiyatı öğretim üyesi.
25-1124,25,1124,"Foreign Language and Literature Teachers, Postsecondary",Russian Language Professor,2311.71,2,Rus Dili Ve Edebiyatı Öğretim Üyesi,1,,O bir rus dili ve edebiyatı öğretim üyesi.,O çok iyi bir rus dili ve edebiyatı öğretim üyesi.,O iyi bir rus dili ve edebiyatı öğretim üyesi.,O kötü bir rus dili ve edebiyatı öğretim üyesi.,O çok kötü bir rus dili ve edebiyatı öğretim üyesi.
25-1124,25,1124,"Foreign Language and Literature Teachers, Postsecondary",Spanish Literature Professor,2311.09,2,ispanyol Dili Ve Edebiyatı Öğretim Üyesi,1,,O bir ispanyol dili ve edebiyatı öğretim üyesi.,O çok iyi bir ispanyol dili ve edebiyatı öğretim üyesi.,O iyi bir ispanyol dili ve edebiyatı öğretim üyesi.,O kötü bir ispanyol dili ve edebiyatı öğretim üyesi.,O çok kötü bir ispanyol dili ve edebiyatı öğretim üyesi.
25-1125,25,1125,"History Teachers, Postsecondary",,2311.81,2,Tarih Öğretim Üyesi,1,Y,O bir tarih öğretim üyesi.,O çok iyi bir tarih öğretim üyesi.,O iyi bir tarih öğretim üyesi.,O kötü bir tarih öğretim üyesi.,O çok kötü bir tarih öğretim üyesi.
25-1126,25,1126,"Philosophy and Religion Teachers, Postsecondary",,2310.78,2,Felsefe Öğretim Üyesi,1,Y,O bir felsefe öğretim üyesi.,O çok iyi bir felsefe öğretim üyesi.,O iyi bir felsefe öğretim üyesi.,O kötü bir felsefe öğretim üyesi.,O çok kötü bir felsefe öğretim üyesi.
25-1192,25,1192,"Family and Consumer Sciences Teachers, Postsecondary",Family and Consumer Sciences Professor,2320.03,2,Aile Ve Tüketici Bilimleri Öğretmeni,1,,O bir aile ve tüketici bilimleri öğretmeni.,O çok iyi bir aile ve tüketici bilimleri öğretmeni.,O iyi bir aile ve tüketici bilimleri öğretmeni.,O kötü bir aile ve tüketici bilimleri öğretmeni.,O çok kötü bir aile ve tüketici bilimleri öğretmeni.
25-1192,25,1192,"Family and Consumer Sciences Teachers, Postsecondary",Home and Family Living Professor,2320.26,2,Ev idaresi Bilimi Öğretmeni,2,,O bir ev idaresi bilimi öğretmeni.,O çok iyi bir ev idaresi bilimi öğretmeni.,O iyi bir ev idaresi bilimi öğretmeni.,O kötü bir ev idaresi bilimi öğretmeni.,O çok kötü bir ev idaresi bilimi öğretmeni.
25-1192,25,1192,"Family and Consumer Sciences Teachers, Postsecondary",Home Economics Professor,2320.02,2,Aile Ekonomisi Ve Beslenme Öğretmeni,2,,O bir aile ekonomisi ve beslenme öğretmeni.,O çok iyi bir aile ekonomisi ve beslenme öğretmeni.,O iyi bir aile ekonomisi ve beslenme öğretmeni.,O kötü bir aile ekonomisi ve beslenme öğretmeni.,O çok kötü bir aile ekonomisi ve beslenme öğretmeni.
25-1193,25,1193,"Recreation and Fitness Studies Teachers, Postsecondary",Health and Physical Education Professor,2321.42,2,Sağlık Bilgisi Öğretmeni,2,,O bir sağlık bilgisi öğretmeni.,O çok iyi bir sağlık bilgisi öğretmeni.,O iyi bir sağlık bilgisi öğretmeni.,O kötü bir sağlık bilgisi öğretmeni.,O çok kötü bir sağlık bilgisi öğretmeni.
25-1193,25,1193,"Recreation and Fitness Studies Teachers, Postsecondary",Physical Education (PE) Professor,2310.1,2,Beden Eğitimi Ve Spor Öğretmenliği Öğretim Üyesi,1,,O bir beden eğitimi ve spor öğretmenliği öğretim üyesi.,O çok iyi bir beden eğitimi ve spor öğretmenliği öğretim üyesi.,O iyi bir beden eğitimi ve spor öğretmenliği öğretim üyesi.,O kötü bir beden eğitimi ve spor öğretmenliği öğretim üyesi.,O çok kötü bir beden eğitimi ve spor öğretmenliği öğretim üyesi.
25-1193,25,1193,"Recreation and Fitness Studies Teachers, Postsecondary",Swimming Professor,3422.42,3,Yüzme Eğitmeni,2,,O bir yüzme eğitmeni.,O çok iyi bir yüzme eğitmeni.,O iyi bir yüzme eğitmeni.,O kötü bir yüzme eğitmeni.,O çok kötü bir yüzme eğitmeni.
25-1194,25,1194,"Career/Technical Education Teachers, Postsecondary",Architectural Drafting Instructor,2320.04,2,Yapı Ressamlığı Öğretmeni,1,,O bir yapı ressamlığı öğretmeni.,O çok iyi bir yapı ressamlığı öğretmeni.,O iyi bir yapı ressamlığı öğretmeni.,O kötü bir yapı ressamlığı öğretmeni.,O çok kötü bir yapı ressamlığı öğretmeni.
25-1194,25,1194,"Career/Technical Education Teachers, Postsecondary",Automotive Technology Instructor,2320.63,2,Otomotiv Öğretmeni,1,,O bir otomotiv öğretmeni.,O çok iyi bir otomotiv öğretmeni.,O iyi bir otomotiv öğretmeni.,O kötü bir otomotiv öğretmeni.,O çok kötü bir otomotiv öğretmeni.
25-1194,25,1194,"Career/Technical Education Teachers, Postsecondary",Barbering Instructor,2359.54,2,Kuaförlük Usta Öğretici,1,,O bir kuaförlük usta öğretici.,O çok iyi bir kuaförlük usta öğretici.,O iyi bir kuaförlük usta öğretici.,O kötü bir kuaförlük usta öğretici.,O çok kötü bir kuaförlük usta öğretici.
25-1194,25,1194,"Career/Technical Education Teachers, Postsecondary",Computer-Aided Drafting and Design Instructor,2310.15,2,Bilgisayar Destekli Tasarım Öğretim Üyesi,1,,O bir bilgisayar destekli tasarım öğretim üyesi.,O çok iyi bir bilgisayar destekli tasarım öğretim üyesi.,O iyi bir bilgisayar destekli tasarım öğretim üyesi.,O kötü bir bilgisayar destekli tasarım öğretim üyesi.,O çok kötü bir bilgisayar destekli tasarım öğretim üyesi.
25-1194,25,1194,"Career/Technical Education Teachers, Postsecondary",Cosmetology Instructor,2320.44,2,Kuaförlük Ve Güzellik Bilgisi Öğretmeni,1,,O bir kuaförlük ve güzellik bilgisi öğretmeni.,O çok iyi bir kuaförlük ve güzellik bilgisi öğretmeni.,O iyi bir kuaförlük ve güzellik bilgisi öğretmeni.,O kötü bir kuaförlük ve güzellik bilgisi öğretmeni.,O çok kötü bir kuaförlük ve güzellik bilgisi öğretmeni.
25-1194,25,1194,"Career/Technical Education Teachers, Postsecondary",Electrical Technology Instructor,2310.52,2,Elektrik Makinaları Öğretim Üyesi,2,,O bir elektrik makinaları öğretim üyesi.,O çok iyi bir elektrik makinaları öğretim üyesi.,O iyi bir elektrik makinaları öğretim üyesi.,O kötü bir elektrik makinaları öğretim üyesi.,O çok kötü bir elektrik makinaları öğretim üyesi.
25-1194,25,1194,"Career/Technical Education Teachers, Postsecondary",Electronics Technology Instructor,2310.57,2,Elektronik Öğretim Üyesi,2,,O bir elektronik öğretim üyesi.,O çok iyi bir elektronik öğretim üyesi.,O iyi bir elektronik öğretim üyesi.,O kötü bir elektronik öğretim üyesi.,O çok kötü bir elektronik öğretim üyesi.
25-1194,25,1194,"Career/Technical Education Teachers, Postsecondary",HVAC Instructor,2360.33,2,soğutma Ve iklimlendirme Usta Öğretici,1,,O bir soğutma ve iklimlendirme usta öğretici.,O çok iyi bir soğutma ve iklimlendirme usta öğretici.,O iyi bir soğutma ve iklimlendirme usta öğretici.,O kötü bir soğutma ve iklimlendirme usta öğretici.,O çok kötü bir soğutma ve iklimlendirme usta öğretici.
25-1194,25,1194,"Career/Technical Education Teachers, Postsecondary",Industrial Electrical Technology Instructor,2320.23,2,Endüstriyel Elektronik Öğretmeni,2,,O bir endüstriyel elektronik öğretmeni.,O çok iyi bir endüstriyel elektronik öğretmeni.,O iyi bir endüstriyel elektronik öğretmeni.,O kötü bir endüstriyel elektronik öğretmeni.,O çok kötü bir endüstriyel elektronik öğretmeni.
25-1194,25,1194,"Career/Technical Education Teachers, Postsecondary",Industrial Maintenance Instructor,2359.94,2,Endüstriyel Bakım Onarım Usta Öğretici,1,,O bir endüstriyel bakım onarım usta öğretici.,O çok iyi bir endüstriyel bakım onarım usta öğretici.,O iyi bir endüstriyel bakım onarım usta öğretici.,O kötü bir endüstriyel bakım onarım usta öğretici.,O çok kötü bir endüstriyel bakım onarım usta öğretici.
25-1194,25,1194,"Career/Technical Education Teachers, Postsecondary",Masonry Instructor,2359.12,2,Duvarcılık Usta Öğretici,1,,O bir duvarcılık usta öğretici.,O çok iyi bir duvarcılık usta öğretici.,O iyi bir duvarcılık usta öğretici.,O kötü bir duvarcılık usta öğretici.,O çok kötü bir duvarcılık usta öğretici.
25-1194,25,1194,"Career/Technical Education Teachers, Postsecondary",Mechanical Maintenance Instructor,2311.38,2,Mekanik Öğretim Üyesi,2,,O bir mekanik öğretim üyesi.,O çok iyi bir mekanik öğretim üyesi.,O iyi bir mekanik öğretim üyesi.,O kötü bir mekanik öğretim üyesi.,O çok kötü bir mekanik öğretim üyesi.
25-1194,25,1194,"Career/Technical Education Teachers, Postsecondary",Residential Construction Instructor,2311.22,2,Konstrüksiyon Ve imalat Öğretim Üyesi,2,,O bir konstrüksiyon ve imalat öğretim üyesi.,O çok iyi bir konstrüksiyon ve imalat öğretim üyesi.,O iyi bir konstrüksiyon ve imalat öğretim üyesi.,O kötü bir konstrüksiyon ve imalat öğretim üyesi.,O çok kötü bir konstrüksiyon ve imalat öğretim üyesi.
25-1194,25,1194,"Career/Technical Education Teachers, Postsecondary",Skin Care Instructor,2359.08,2,Cilt Bakımı Ve Güzellik Usta Öğretici,1,,O bir cilt bakımı ve güzellik usta öğretici.,O çok iyi bir cilt bakımı ve güzellik usta öğretici.,O iyi bir cilt bakımı ve güzellik usta öğretici.,O kötü bir cilt bakımı ve güzellik usta öğretici.,O çok kötü bir cilt bakımı ve güzellik usta öğretici.
25-1194,25,1194,"Career/Technical Education Teachers, Postsecondary",Welding Instructor,2359.51,2,Kaynakçılık Usta Öğretici,1,,O bir kaynakçılık usta öğretici.,O çok iyi bir kaynakçılık usta öğretici.,O iyi bir kaynakçılık usta öğretici.,O kötü bir kaynakçılık usta öğretici.,O çok kötü bir kaynakçılık usta öğretici.
25-1199,25,1199,"Postsecondary Teachers, All Other",Flight Simulator Instructor,2149.21,2,Havacılık Simülatör Uzmanı,2,,O bir havacılık simülatör uzmanı.,O çok iyi bir havacılık simülatör uzmanı.,O iyi bir havacılık simülatör uzmanı.,O kötü bir havacılık simülatör uzmanı.,O çok kötü bir havacılık simülatör uzmanı.
25-2011,25,2011,"Preschool Teachers, Except Special Education",Preschool Teacher,2342.01,2,Okul Öncesi Öğretmeni,1,,O bir okul öncesi öğretmeni.,O çok iyi bir okul öncesi öğretmeni.,O iyi bir okul öncesi öğretmeni.,O kötü bir okul öncesi öğretmeni.,O çok kötü bir okul öncesi öğretmeni.
