2018 SOC Code (US),Major Code,Minor Code,2018 SOC Title (US),2018 SOC Direct Match Title (US),ISCO Major Code (TR),ISCO Minor Code (TR),He/She is a <occupation>. / O bir <occupation>.,He/She is a very good <occupation>. / O çok iyi bir <occupation>.,He/She is a good <occupation>. / O iyi bir <occupation>.,He/She is a bad <occupation>. / O kötü bir <occupation>.,He/She is a very bad <occupation>. / O çok kötü bir <occupation>.,He/She is a <occupation>. / O bir <occupation>.,He/She is a very good <occupation>. / O çok iyi bir <occupation>.,He/She is a good <occupation>. / O iyi bir <occupation>.,He/She is a bad <occupation>. / O kötü bir <occupation>.,He/She is a very bad <occupation>. / O çok kötü bir <occupation>.
19-5012,19,5012,Occupational Health and Safety Technicians,Environmental Health Technologist,3,Çevre Sağlığı Teknisyeni,He's an environmental health technician.,He's a very good environmental health technician.,He's a good environmental health technician.,He's a bad environmental health technician.,He's a terrible environmental health technician.,he,he,he,he,he
19-5012,19,5012,Occupational Health and Safety Technicians,Occupational Health and Safety Technologist,3,iş Sağlığı Ve Güvenliği Teknikeri,He's an occupational health and safety technician.,He's a very good occupational health and safety technician.,He's a good occupational health and safety technician.,He's a bad occupational health and safety technician.,He's a terrible occupational health and safety technician.,he,he,he,he,he
21-1011,21,1011,Substance Abuse and Behavioral Disorder Counselors,Substance Abuse Counselor,2,Madde Bağımlılığı Danışmanı,He's a substance abuse counselor.,He's a very good substance abuse counselor.,He's a good substance abuse counselor.,He's a bad substance abuse counselor.,He's a terrible substance abuse counselor.,he,he,he,he,he
21-1012,21,1012,"Educational, Guidance, and Career Counselors and Advisors",Career Counselor,2,Kariyer Danışmanı,He's a career adviser.,He's a very good career adviser.,He's a good career adviser.,He's a bad career counselor.,He's a terrible career adviser.,he,he,he,he,he
21-1012,21,1012,"Educational, Guidance, and Career Counselors and Advisors",Education Counselor,2,Eğitim Danışmanı,He's an education consultant.,He's a very good education consultant.,He's a good education consultant.,He's a bad education consultant.,He's a terrible education consultant.,he,he,he,he,he
21-1012,21,1012,"Educational, Guidance, and Career Counselors and Advisors",Guidance Counselor,2,Rehber Öğretmen,He's a guidance counselor.,He's a very good guidance counselor.,He's a good guidance counselor.,He's a bad guidance counselor.,He's a terrible guidance counselor.,he,he,he,he,he
21-1012,21,1012,"Educational, Guidance, and Career Counselors and Advisors",Vocational Adviser,2,Mesleki Rehberlik Danışmanı,He's a professional guidance counselor.,He's a very good professional guidance counselor.,He's a good professional guidance counselor.,He's a bad professional guidance counselor.,He's a terrible professional guidance counselor.,he,he,he,he,he
21-1013,21,1013,Marriage and Family Therapists,Family Counselor,2,Aile Danışmanı,He's a family counselor.,He's a very good family counselor.,He's a good family counselor.,He's a bad family counselor.,He's a terrible family counselor.,he,he,he,he,he
21-1021,21,1021,"Child, Family, and School Social Workers",C-CYFSW,2,Sosyal Çalışma Uzmanı,He's a social worker.,He's a very good social worker.,He's a good social worker.,He's a bad social worker.,He's a terrible social worker.,he,he,he,he,he
21-1021,21,1021,"Child, Family, and School Social Workers",Child Protective Services Social Worker,5,Çocuk Koruma ve Bakım Hizmetleri Sağlık Teknikeri,She's a child protection and care services health technician.,She's a very good child protection and care services health technician.,She's a good child protection and care services health technician.,He's a bad child protection and care health technician.,She's a terrible child protection and care health technician.,she,she,she,he,she
21-1021,21,1021,"Child, Family, and School Social Workers",Family Service Caseworker,2,Aile Sosyal Destek Personeli,He's a family outreach staff.,He's a very good family outreach staff.,He's a good family social support staff.,He's a bad family social support staff.,He's a very bad family outreach staff.,he,he,he,he,he
21-1022,21,1022,Healthcare Social Workers,Hospital Social Worker,2,Hastane Sosyal Hizmet Uzmanı,He's a hospital social worker.,He's a very good hospital social worker.,He's a good hospital social worker.,He's a bad hospital social worker.,He's a terrible hospital social worker.,he,he,he,he,he
21-1023,21,1023,Mental Health and Substance Abuse Social Workers,Psychiatric Social Worker,2,Psikiyatri Sosyal Çalışmacı,He's a psychiatric social workman.,He's a very good psychiatric social workman.,He's a good psychiatric social workman.,He's a bad psychiatric social workman.,He's a terrible psychiatric social workman.,he,he,he,he,he
21-1091,21,1091,Health Education Specialists,Certified Diabetes Educator,2,Diyabet Eğitim Hemşiresi,She's a diabetes education nurse.,She's a very good diabetes education nurse.,She's a good diabetes education nurse.,She's a bad diabetes education nurse.,She's a terrible diabetes education nurse.,she,she,she,she,she
21-1091,21,1091,Health Education Specialists,Health Educator,3,Sağlık Eğitimcisi,He's a health educator.,He's a very good health educator.,He's a good health educator.,He's a bad health educator.,He's a terrible health educator.,he,he,he,he,he
21-1094,21,1094,Community Health Workers,CHW,3,Toplum Sağlığı Çalışanı,He's a community health worker.,He's a very good public health worker.,He's a good public health worker.,He's a bad public health worker.,He's a terrible public health worker.,he,he,he,he,he
21-1099,21,1099,"Community and Social Service Specialists, All Other",Community Organization Worker,2,Sosyal Hizmet Uzmanı,He's a social worker.,He's a very good social worker.,He's a good social worker.,He's a bad social worker.,He's a terrible social worker.,he,he,he,he,he
23-1011,23,1011,Lawyers,Defense Attorney,2,Dava Vekili,He's a prosecuting attorney.,He's a very good prosecuting attorney.,He's a good prosecuting attorney.,He's a bad case attorney.,He's a terrible prosecuting attorney.,he,he,he,he,he
23-1011,23,1011,Lawyers,Legal Counsel,2,Hukuk Müşaviri,He's a legal counsel.,He's a very good legal counsel.,He's a good legal counsel.,He's a bad legal counsel.,He's a terrible legal counsel.,he,he,he,he,he
23-1011,23,1011,Lawyers,Probate Lawyer,2,Avukat,He's a lawyer.,He's a very good lawyer.,He's a good lawyer.,He's a bad lawyer.,He's a terrible lawyer.,he,he,he,he,he
23-1011,23,1011,Lawyers,Prosecutor,2,Savcı,He's a prosecutor.,He's a very good prosecutor.,He's a good prosecutor.,He's a bad prosecutor.,He's a terrible prosecutor.,he,he,he,he,he
23-1012,23,1012,Judicial Law Clerks,Judicial Clerk,3,Raportör,He's a rapporteur.,He's a very good rapporteur.,He's a good rapporteur.,He's a bad rapporteur.,He's a terrible rapporteur.,he,he,he,he,he
23-1023,23,1023,"Judges, Magistrate Judges, and Magistrates",Circuit Court Judge,2,Hakim ,He's a judge.,He's a very good judge.,He's a good judge.,He's a bad judge.,He's a terrible judge.,he,he,he,he,he
23-1023,23,1023,"Judges, Magistrate Judges, and Magistrates",Jurist,2,Hukukçu,He's a lawyer.,He's a very good lawyer.,He's a good lawyer.,He's a bad lawyer.,He's a terrible lawyer.,he,he,he,he,he
25-1011,25,1011,"Business Teachers, Postsecondary",Accounting Professor,2,işletme Öğretmeni,He's a business teacher.,He's a very good business teacher.,He's a good business teacher.,He's a bad business teacher.,He's a terrible business teacher.,he,he,he,he,he
25-1011,25,1011,"Business Teachers, Postsecondary",Banking and Finance Instructor,2,Finansman Öğretmeni,He's a finance teacher.,He's a very good finance teacher.,He's a good finance teacher.,He's a bad finance teacher.,He's a terrible finance teacher.,he,he,he,he,he
25-1011,25,1011,"Business Teachers, Postsecondary",Finance Professor,2,iktisat Öğretim Üyesi,He's an economics professor.,He's a very good economics professor.,He's a good economics professor.,He's a bad economics professor.,He's a terrible economics professor.,he,he,he,he,he
25-1011,25,1011,"Business Teachers, Postsecondary",Marketing Instructor,2,Pazarlama Öğretmeni,He's a marketing teacher.,He's a very good marketing teacher.,He's a good marketing teacher.,He's a bad marketing teacher.,He's a terrible marketing teacher.,he,he,he,he,he
25-1021,25,1021,"Computer Science Teachers, Postsecondary",Computer Information Systems Professor,2,Bilgisayar Bilimleri Öğretim Üyesi,He's a computer science professor.,He's a very good computer science professor.,He's a good computer science professor.,He's a bad computer science professor.,He's a very bad computer science professor.,he,he,he,he,he
25-1021,25,1021,"Computer Science Teachers, Postsecondary",Computer Programming Professor,2,Bilgisayar Yazılımı Öğretim Üyesi,He's a computer software professor.,He's a very good computer software professor.,He's a good computer software professor.,He's a bad computer software professor.,He's a very bad computer software professor.,he,he,he,he,he
25-1021,25,1021,"Computer Science Teachers, Postsecondary",Information Technology Professor,2,Bilişim Teknolojileri Öğretmeni,He's an IT teacher.,He's a very good information technology teacher.,He's a good IT teacher.,He's a bad IT teacher.,He's a terrible itinerary teacher.,he,he,he,he,he
25-1022,25,1022,"Mathematical Science Teachers, Postsecondary",Mathematics Professor,2,Matematik Öğretim Üyesi,He's a math professor.,He's a very good math professor.,He's a good math professor.,He's a bad math professor.,He's a terrible math professor.,he,he,he,he,he
25-1031,25,1031,"Architecture Teachers, Postsecondary",Architectural Design Professor,2,Yapı Tasarım Öğretmeni,He's a building design teacher.,He's a very good building design teacher.,He's a good building design teacher.,He's a bad building design teacher.,He's a terrible building design teacher.,he,he,he,he,he
25-1031,25,1031,"Architecture Teachers, Postsecondary",Architecture Professor,2,Mimarlık Öğretim Üyesi,He's an architecture professor.,He's a very good architecture professor.,He's a good architecture professor.,He's a bad architecture professor.,He's a terrible architecture professor.,he,he,he,he,he
25-1031,25,1031,"Architecture Teachers, Postsecondary",Interior Design Professor,2,iç Mekan Dekorasyon Öğretmeni,She's an interior decorating teacher.,She's a very good interior decorating teacher.,She's a good interior decorating teacher.,She's a bad interior decorating teacher.,She's a terrible interior decorating teacher.,she,she,she,she,she
25-1032,25,1032,"Engineering Teachers, Postsecondary",Chemical Engineering Professor,2,Kimya Mühendisliği Öğretim Üyesi,He's a chemical engineering professor.,He's a very good chemical engineering professor.,He's a good chemical engineering professor.,He's a bad chemical engineering professor.,He's a terrible chemical engineering professor.,he,he,he,he,he
25-1032,25,1032,"Engineering Teachers, Postsecondary",Civil Engineering Professor,2,inşaat Mühendisliği Öğretim Üyesi,He's a civil engineering professor.,He's a very good civil engineering professor.,He's a good civil engineering professor.,He's a bad civil engineering professor.,He's a terrible civil engineering professor.,he,he,he,he,he
25-1032,25,1032,"Engineering Teachers, Postsecondary",Electrical Engineering Professor,2,Elektrik Mühendisliği Öğretim Üyesi,He's an electrical engineering professor.,He's a very good electrical engineering professor.,He's a good electrical engineering professor.,He's a bad electrical engineering professor.,He's a terrible electrical engineering professor.,he,he,he,he,he
25-1032,25,1032,"Engineering Teachers, Postsecondary",Electronics Engineering Professor,2,Elektronik Mühendisliği Öğretim Üyesi,He's an electronic engineering professor.,He's a very good professor of electronic engineering.,He's a good professor of electronic engineering.,He's a bad electronics engineering professor.,He's a terrible professor of electronic engineering.,he,he,he,he,he
25-1032,25,1032,"Engineering Teachers, Postsecondary",Industrial Engineering Professor,2,Endüstri Mühendisliği Öğretim Üyesi,He's an industrial engineering professor.,He's a very good industrial engineering professor.,He's a good industrial engineering professor.,He's a bad industrial engineering professor.,He's a terrible industrial engineering professor.,he,he,he,he,he
25-1032,25,1032,"Engineering Teachers, Postsecondary",Manufacturing Engineering Professor,2,Malzeme Ve Üretim Teknolojisi Öğretim Üyesi,He's a professor of materials and manufacturing technology.,He's a very good professor of materials and manufacturing technology.,He's a good professor of materials and manufacturing technology.,He's a bad material and manufacturing technology professor.,He's a very bad professor of materials and manufacturing technology.,he,he,he,he,he
25-1032,25,1032,"Engineering Teachers, Postsecondary",Marine Engineering Professor,2,Gemi Makineleri işletme Mühendisliği Öğretim Üyesi,He's a professor of mechanical engineering.,He's a very good shipbuilding engineering professor.,He's a good shipbuilding engineering professor.,He's a bad shipbuilding engineering professor.,He's a very bad shipbuilding engineering professor.,he,he,he,he,he
25-1032,25,1032,"Engineering Teachers, Postsecondary",Mechanical Engineering Professor,2,Makine Mühendisliği Öğretim Üyesi,He's a mechanical engineering professor.,He's a very good mechanical engineering professor.,He's a good mechanical engineering professor.,He's a bad mechanical engineering professor.,He's a terrible mechanical engineering professor.,he,he,he,he,he
25-1041,25,1041,"Agricultural Sciences Teachers, Postsecondary",Agricultural Soil Conservation Professor,2,Ziraat Bilimleri Öğretim Üyesi,He's a professor of agricultural sciences.,He's a very good professor of agricultural sciences.,He's a good professor of agricultural sciences.,He's a bad professor of agricultural sciences.,He's a very bad professor of agricultural sciences.,he,he,he,he,he
25-1041,25,1041,"Agricultural Sciences Teachers, Postsecondary",Aquaculture and Fisheries Professor,2,Su Ürünleri Öğretmeni,He's a aquaculture teacher.,He's a very good aquaculture teacher.,He's a good aquaculture teacher.,He's a bad aquaculture teacher.,He's a terrible aquaculture teacher.,he,he,he,he,he
25-1042,25,1042,"Biological Science Teachers, Postsecondary",Biochemistry Professor,2,Biyokimya Öğretim Üyesi,He's a biochemistry professor.,He's a very good biochemistry professor.,He's a good biochemist.,He's a bad biochemist.,He's a terrible biochemist.,he,he,he,he,he
25-1042,25,1042,"Biological Science Teachers, Postsecondary",Botany Professor,2,Botanik Öğretim Üyesi,He's a botanical professor.,He's a very good botanical professor.,He's a good botanical professor.,He's a bad botanical professor.,He's a very bad botanical professor.,he,he,he,he,he
25-1042,25,1042,"Biological Science Teachers, Postsecondary",Embryology Professor,2,Biyoloji Öğretim Üyesi,He's a biology professor.,He's a very good biology professor.,He's a good biology professor.,He's a bad biology professor.,He's a terrible biology professor.,he,he,he,he,he
25-1042,25,1042,"Biological Science Teachers, Postsecondary",Zoology Professor,2,Zooloji Öğretim Üyesi,He's a zoology professor.,He's a very good zoology professor.,He's a good zoology professor.,He's a bad zoology professor.,He's a very bad zoology professor.,he,he,he,he,he
25-1043,25,1043,"Forestry and Conservation Science Teachers, Postsecondary",Ecology Professor,2,Ekoloji Öğretim Üyesi,He's an ecology professor.,He's a very good ecology professor.,He's a good ecology professor.,He's a bad ecology professor.,He's a very bad ecology professor.,he,he,he,he,he
25-1043,25,1043,"Forestry and Conservation Science Teachers, Postsecondary",Environmental Conservation Professor,2,Çevre Bilimleri Öğretim Üyesi,He's an environmental sciences professor.,He's a very good professor of environmental sciences.,He's a good professor of environmental sciences.,He's a bad environmental sciences professor.,He's a terrible professor of environmental science.,he,he,he,he,he
25-1051,25,1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",Geology Professor,2,Genel Jeoloji Öğretim Üyesi,He's a general geology professor.,He's a very good general geology professor.,He's a good general geology professor.,He's a bad general geology professor.,He's a very bad general geology professor.,he,he,he,he,he
25-1051,25,1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",Meteorology Professor,2,Meteoroloji Öğretmeni,He's a meteorologist.,He's a very good meteorologist.,He's a good meteorologist.,He's a bad meteorologist.,He's a terrible meteorologist.,he,he,he,he,he
25-1051,25,1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",Mineralogy Professor,2,Mineraloji Ve Petrografi Öğretim Üyesi,He's a professor of mineralogy and petrography.,He's a very good professor of mineralogy and petrography.,He's a good professor of mineralogy and petrography.,He's a bad professor of mineralogy and petrography.,He's a very bad professor of mineralogy and petrography.,he,he,he,he,he
25-1052,25,1052,"Chemistry Teachers, Postsecondary",Chemistry Professor,2,Analitik Kimya Öğretim Üyesi,He's a professor of analytical chemistry.,He's a very good professor of analytical chemistry.,He's a good analytical chemistry professor.,He's a bad analytical chemistry professor.,He's a terrible analytical chemistry professor.,he,he,he,he,he
25-1053,25,1053,"Environmental Science Teachers, Postsecondary",Environmental Science Professor,2,Çevre Bilimleri Öğretim Üyesi,He's an environmental sciences professor.,He's a very good professor of environmental sciences.,He's a good professor of environmental sciences.,He's a bad environmental sciences professor.,He's a terrible professor of environmental science.,he,he,he,he,he
25-1054,25,1054,"Physics Teachers, Postsecondary",Aerodynamics Professor,2,Fizik Bilimi Öğretim Üyesi,He's a professor of physical science.,He's a very good professor of physical science.,He's a good physical science professor.,He's a bad physical science professor.,He's a terrible physical science professor.,he,he,he,he,he
25-1054,25,1054,"Physics Teachers, Postsecondary",Thermodynamics Professor,2,Termodinamik Ve Enerji Öğretim Üyesi,He's a professor of thermodynamics and energy.,He's a very good professor of thermodynamics and energy.,He's a good professor of thermodynamics and energy.,He's a bad professor of thermodynamics and energy.,He's a terrible professor of thermodynamics and energy.,he,he,he,he,he
25-1061,25,1061,"Anthropology and Archeology Teachers, Postsecondary",Cultural Anthropology Professor,2,Antropoloji Öğretim Üyesi,He's an anthropology professor.,He's a very good anthropology professor.,He's a good anthropology professor.,He's a bad anthropology professor.,He's a terrible anthropology professor.,he,he,he,he,he
25-1061,25,1061,"Anthropology and Archeology Teachers, Postsecondary",Near East Archeology Professor,2,Arkeoloji Öğretim Üyesi,He's an archaeology professor.,He's a very good professor of archaeology.,He's a good professor of archaeology.,He's a bad professor of archaeology.,He's a terrible professor of archaeology.,he,he,he,he,he
25-1061,25,1061,"Anthropology and Archeology Teachers, Postsecondary",Sociocultural Anthropology Professor,2,Sosyal (Kültürel) Antropoloji Öğretim Üyesi,He's a professor of social (cultural) anthropology.,He is a very good professor of social (cultural) anthropology.,He's a good professor of social (cultural) anthropology.,He's a bad professor of social (cultural) anthropology.,He's a very bad professor of social (cultural) anthropology.,he,he,he,he,he
25-1062,25,1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",Ethnology Professor,2,Etnoloji Öğretim Üyesi,He's an ethnology professor.,He's a very good ethnology professor.,He's a good ethnology professor.,He's a bad ethnology professor.,He's a terrible ethnology professor.,he,he,he,he,he
25-1063,25,1063,"Economics Teachers, Postsecondary",Agricultural Economics Professor,2,Ekonomi Ve Ticaret Öğretim Üyesi,He's a professor of economics and commerce.,He's a very good economics and trade professor.,He's a good economics and trade professor.,He's a bad economics and trade professor.,He's a terrible economics and trade professor.,he,he,he,he,he
25-1064,25,1064,"Geography Teachers, Postsecondary",Cartography Professor,2,Kartoğrafya Öğretim Üyesi,He's a cartographic professor.,He's a very good cartographic lecturer.,He's a good cartographic professor.,He's a bad cartographic professor.,He's a terrible cartographic professor.,he,he,he,he,he
25-1064,25,1064,"Geography Teachers, Postsecondary",Geographic Information Systems Professor,2,Coğrafya Öğretim Üyesi,He's a geography professor.,He's a very good geography professor.,He's a good geography professor.,He's a bad geography professor.,He's a terrible geography professor.,he,he,he,he,he
25-1064,25,1064,"Geography Teachers, Postsecondary",GIS Professor,2,Coğrafi Bilgi Sistemleri Öğretim Üyesi,He's a professor of geographic information systems.,He's a very good professor of geographic information systems.,He's a good professor of geographic information systems.,He's a bad professor of geographic information systems.,He's a very bad professor of geographic information systems.,he,he,he,he,he
25-1065,25,1065,"Political Science Teachers, Postsecondary",International Relations Professor,2,Uluslararası ilişkiler Öğretim Üyesi,He's a professor of international relations.,He's a very good international relations professor.,He's a good international relations professor.,He's a bad international relations professor.,He's a very bad professor of international relations.,he,he,he,he,he
25-1066,25,1066,"Psychology Teachers, Postsecondary",Child Development Professor,2,Çocuk Gelişimi Ve Eğitimi Öğretim Üyesi,He's a professor of child development and education.,He's a very good professor of child development and education.,He's a good professor of child development and education.,He's a bad professor of child development and education.,He's a very bad professor of child development and education.,he,he,he,he,he
25-1066,25,1066,"Psychology Teachers, Postsecondary",Clinical Psychology Professor,2,Klinik Psikoloji Öğretim Üyesi,He's a clinical psychology professor.,He's a very good clinical psychology professor.,He's a good clinical psychology professor.,He's a bad clinical psychology professor.,He's a very bad clinical psychology professor.,he,he,he,he,he
25-1066,25,1066,"Psychology Teachers, Postsecondary",Human Relations Professor,2,Sosyal Psikoloji Öğretim Üyesi,He's a professor of social psychology.,He's a very good professor of social psychology.,He's a good social psychology professor.,He's a bad social psychology professor.,He's a terrible social psychology professor.,he,he,he,he,he
25-1066,25,1066,"Psychology Teachers, Postsecondary",Psychology Professor,2,Psikoloji Öğretim Görevlisi,He's a psychology lecturer.,He's a very good psychology lecturer.,He's a good psychology lecturer.,He's a bad psychology lecturer.,He's a terrible psychology lecturer.,he,he,he,he,he
25-1067,25,1067,"Sociology Teachers, Postsecondary",Comparative Sociology Professor,2,Sosyoloji Öğretim Üyesi,He's a sociology professor.,He's a very good sociology professor.,He's a good sociology professor.,He's a bad sociology professor.,He's a terrible sociology professor.,he,he,he,he,he
25-1067,25,1067,"Sociology Teachers, Postsecondary",Social Organization Professor,2,Kurumlar Sosyolojisi Öğretim Üyesi,He's a professor of sociology of institutions.,He's a very good professor of sociology of institutions.,He's a good sociology professor of institutions.,He's a bad sociology professor of institutions.,He's a very bad professor of sociology of institutions.,he,he,he,he,he
25-1071,25,1071,"Health Specialties Teachers, Postsecondary",Dentistry Professor,2,Dişçilik Öğretim Üyesi,He's a dentistry professor.,He's a very good dentistry professor.,He's a good dentistry professor.,He's a bad dentistry professor.,He's a terrible dentistry professor.,he,he,he,he,he
25-1071,25,1071,"Health Specialties Teachers, Postsecondary",Pharmacology Professor,2,Farmakoloji Öğretim Üyesi,He's a pharmacology professor.,He's a very good pharmacology professor.,He's a good pharmacology professor.,He's a bad pharmacology professor.,He's a terrible pharmacology professor.,he,he,he,he,he
25-1072,25,1072,"Nursing Instructors and Teachers, Postsecondary",Advanced Nursing Professor,2,Yüksek Hemşirelik Okulu Öğretim Üyesi,She's a senior nursing school professor.,She's a very good college of nursing professor.,She's a good college of nursing professor.,She's a bad college of nursing professor.,She's a terrible high school nurse.,she,she,she,she,she
25-1072,25,1072,"Nursing Instructors and Teachers, Postsecondary",Registered Nursing Professor,2,Hemşirelik Öğretmeni,She's a nursing teacher.,She's a very good nursing teacher.,She's a good nursing teacher.,She's a bad nursing teacher.,She's a terrible nursing teacher.,she,she,she,she,she
25-1082,25,1082,"Library Science Teachers, Postsecondary",Library and Information Science Professor,2,Kütüphanecilik Öğretmeni,He's a librarian teacher.,He's a very good librarian teacher.,He's a good librarian.,He's a bad librarian teacher.,He's a terrible librarian teacher.,he,he,he,he,he
25-1111,25,1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",Criminal Justice Professor,2,Adalet Öğretmeni,He's a justice teacher.,He's a very good justice teacher.,He's a good justice teacher.,He's a bad justice teacher.,He's a terrible justice teacher.,he,he,he,he,he
25-1112,25,1112,"Law Teachers, Postsecondary",Constitutional Law Professor,2,Hukuk ilmi Öğretim Üyesi,He's a professor of law science.,He's a very good law professor.,He's a good law professor.,He's a bad law professor.,He's a very bad law professor.,he,he,he,he,he
25-1121,25,1121,"Art, Drama, and Music Teachers, Postsecondary",Ballet Professor,2,Drama Öğretmeni ,She's a drama teacher.,She's a very good drama teacher.,She's a good drama teacher.,He's a bad drama teacher.,He's a terrible drama teacher.,she,she,she,he,he
25-1121,25,1121,"Art, Drama, and Music Teachers, Postsecondary",Graphic Design Professor,2,Grafik Öğretmeni,He's a graphics teacher.,He's a very good graphics teacher.,He's a good graphics teacher.,He's a bad graphic teacher.,He's a terrible graphic teacher.,he,he,he,he,he
25-1121,25,1121,"Art, Drama, and Music Teachers, Postsecondary",Photography Professor,2,Fotoğraf Öğretmeni,He's a photography teacher.,He's a very good photography teacher.,He's a good photography teacher.,He's a bad photography teacher.,He's a terrible photography teacher.,he,he,he,he,he
25-1121,25,1121,"Art, Drama, and Music Teachers, Postsecondary",Piano Performance and Pedagogy Professor,2,Piyano Sanat Dalı Öğretim Üyesi,He's a professor of piano art.,He's a very good piano art professor.,He's a good piano art professor.,He's a bad piano art professor.,He's a terrible piano art professor.,he,he,he,he,he
25-1121,25,1121,"Art, Drama, and Music Teachers, Postsecondary",Piano Professor,2,Piyano Eğitmeni,He's a piano instructor.,He's a very good piano instructor.,He's a good piano instructor.,He's a bad piano instructor.,He's a terrible piano instructor.,he,he,he,he,he
25-1122,25,1122,"Communications Teachers, Postsecondary",Journalism Professor,2,Gazetecilik Ve Halkla ilişkiler Öğretmeni,He's a journalism and public relations teacher.,He's a very good journalism and public relations teacher.,He's a good journalism and public relations teacher.,He's a bad journalism and public relations teacher.,He's a terrible journalism and public relations teacher.,he,he,he,he,he
25-1123,25,1123,"English Language and Literature Teachers, Postsecondary",Children's Literature Professor,2,ingiliz Dili Ve Edebiyatı Öğretim Üyesi,He's a professor of English language and literature.,He's a very good english language and literature professor.,He's a good english language and literature professor.,He's a bad English language and literature professor.,He's a terrible english language and literature professor.,he,he,he,he,he
25-1123,25,1123,"English Language and Literature Teachers, Postsecondary",Composition Professor,2,Dil Ve Edebiyat Öğretim Üyesi,He's a professor of language and literature.,He's a very good professor of language and literature.,He's a good professor of language and literature.,He's a bad language and literature professor.,He's a terrible professor of language and literature.,he,he,he,he,he
25-1124,25,1124,"Foreign Language and Literature Teachers, Postsecondary",Arabic Professor,2,Arap Dili Ve Edebiyatı Öğretim Üyesi,He's a professor of Arabic language and literature.,He's a very good arabic language and literature professor.,He's a good arabic language and literature professor.,He's a bad arabic language and literature professor.,He's a terrible arabic language and literature professor.,he,he,he,he,he
25-1124,25,1124,"Foreign Language and Literature Teachers, Postsecondary",Chinese Language Professor,2,Çince Öğretmeni,He's a Chinese teacher.,He's a very good Chinese teacher.,He's a good Chinese teacher.,He's a bad Chinese teacher.,He's a terrible Chinese teacher.,he,he,he,he,he
25-1124,25,1124,"Foreign Language and Literature Teachers, Postsecondary",French Professor,2,Fransız Dili Ve Edebiyatı Öğretim Üyesi,He's a professor of French language and literature.,He's a very good professor of French language and literature.,He's a good professor of French language and literature.,He's a bad professor of French language and literature.,He's a very bad professor of French language and literature.,he,he,he,he,he
25-1124,25,1124,"Foreign Language and Literature Teachers, Postsecondary",German Professor,2,Alman Dili Ve Edebiyatı Öğretim Üyesi,He's a professor of German language and literature.,He's a very good professor of German language and literature.,He's a good professor of German language and literature.,He's a bad professor of German language and literature.,He's a very bad professor of German language and literature.,he,he,he,he,he
25-1124,25,1124,"Foreign Language and Literature Teachers, Postsecondary",Greek Professor,2,Yunan Dili Ve Edebiyatı Öğretim Üyesi,He's a professor of Greek language and literature.,He's a very good professor of Greek language and literature.,He's a good professor of Greek language and literature.,He's a bad professor of Greek language and literature.,He's a very bad professor of Greek language and literature.,he,he,he,he,he
25-1124,25,1124,"Foreign Language and Literature Teachers, Postsecondary",Japanese Professor,2,Japon Dili Ve Edebiyatı Öğretim Üyesi,He's a professor of Japanese language and literature.,He's a very good professor of Japanese language and literature.,He's a good professor of Japanese language and literature.,He's a bad professor of Japanese language and literature.,He's a very bad professor of Japanese language and literature.,he,he,he,he,he
25-1124,25,1124,"Foreign Language and Literature Teachers, Postsecondary",Russian Language Professor,2,Rus Dili Ve Edebiyatı Öğretim Üyesi,He's a professor of Russian language and literature.,He's a very good professor of Russian language and literature.,He's a good professor of Russian language and literature.,He's a bad professor of Russian language and literature.,He's a very bad professor of Russian language and literature.,he,he,he,he,he
25-1124,25,1124,"Foreign Language and Literature Teachers, Postsecondary",Spanish Literature Professor,2,ispanyol Dili Ve Edebiyatı Öğretim Üyesi,He's a professor of Spanish language and literature.,He's a very good professor of Spanish language and literature.,He's a good professor of Spanish language and literature.,He's a bad Professor of Spanish language and literature.,He's a very bad professor of Spanish language and literature.,he,he,he,he,he
25-1125,25,1125,"History Teachers, Postsecondary",African History Professor,2,Tarih Öğretim Üyesi,He's a history professor.,He's a very good history professor.,He's a good history professor.,He's a bad history professor.,He's a terrible history professor.,he,he,he,he,he
25-1126,25,1126,"Philosophy and Religion Teachers, Postsecondary",Biblical Studies Professor,2,Felsefe Öğretim Üyesi,He's a philosophy professor.,He's a very good philosophy professor.,He's a good philosophy professor.,He's a bad philosophy professor.,He's a terrible philosophy professor.,he,he,he,he,he
25-1192,25,1192,"Family and Consumer Sciences Teachers, Postsecondary",Family and Consumer Sciences Professor,2,Aile Ve Tüketici Bilimleri Öğretmeni,She's a family and consumer science teacher.,He's a very good family and consumer science teacher.,He's a good family and consumer science teacher.,He's a bad family and consumer science teacher.,He's a terrible family and consumer science teacher.,she,he,he,he,he
25-1192,25,1192,"Family and Consumer Sciences Teachers, Postsecondary",Home and Family Living Professor,2,Ev idaresi Bilimi Öğretmeni,He's a home administration science teacher.,He's a very good home-management science teacher.,He's a good home-management science teacher.,He's a bad home-management science teacher.,He's a terrible home-management science teacher.,he,he,he,he,he
