2018 SOC Code (US),Major Code,Minor Code,2018 SOC Title (US),2018 SOC Direct Match Title (US),ISCO Major Code (TR),ISCO Minor Code (TR),He/She is a <occupation>. / O bir <occupation>.,He/She is a very good <occupation>. / O çok iyi bir <occupation>.,He/She is a good <occupation>. / O iyi bir <occupation>.,He/She is a bad <occupation>. / O kötü bir <occupation>.,He/She is a very bad <occupation>. / O çok kötü bir <occupation>.,He/She is a <occupation>. / O bir <occupation>.,He/She is a very good <occupation>. / O çok iyi bir <occupation>.,He/She is a good <occupation>. / O iyi bir <occupation>.,He/She is a bad <occupation>. / O kötü bir <occupation>.,He/She is a very bad <occupation>. / O çok kötü bir <occupation>.
25-1193,25,1193,"Recreation and Fitness Studies Teachers, Postsecondary",Swimming Professor,3,Yüzme Eğitmeni,He's a swimming instructor.,He is a very good swimming instructor.,He's a good swimming instructor.,He's a bad swimming instructor.,He's a very bad swimming instructor.,he,he,he,he,he
25-1194,25,1194,"Career/Technical Education Teachers, Postsecondary",Architectural Drafting Instructor,2,Yapı Ressamlığı Öğretmeni,He's a building painting teacher.,He's a very good building teacher.,He's a good building teacher.,He's a bad building teacher.,He's a very bad building teacher.,he,he,he,he,he
25-1194,25,1194,"Career/Technical Education Teachers, Postsecondary",Automotive Technology Instructor,2,Otomotiv Öğretmeni,He's an automotive teacher.,He's a very good automotive teacher.,He's a good automotive teacher.,He's a bad automotive teacher.,He's a very bad automotive teacher.,he,he,he,he,he
25-1194,25,1194,"Career/Technical Education Teachers, Postsecondary",Barbering Instructor,2,Kuaförlük Usta Öğretici,He's a hairdressing master tutorial.,He is a very good hairdressing master tutorial.,He's a good hairdressing master tutorial.,He's a bad hairdressing master tutorial.,He's a very bad hairdressing master tutorial.,he,he,he,he,he
25-1194,25,1194,"Career/Technical Education Teachers, Postsecondary",Computer-Aided Drafting and Design Instructor,2,Bilgisayar Destekli Tasarım Öğretim Üyesi,He's a computer-aided design lecturer.,He's a very good computer-aided design lecturer.,He's a good computer-aided design lecturer.,He's a bad computer-aided design lecturer.,He's a very bad computer-aided design lecturer.,he,he,he,he,he
25-1194,25,1194,"Career/Technical Education Teachers, Postsecondary",Cosmetology Instructor,2,Kuaförlük Ve Güzellik Bilgisi Öğretmeni,He's a hairdressing and beauty teacher.,He is a very good hairdressing and beauty teacher.,He's a good hairdressing and beauty teacher.,He's a bad hairdressing and beauty teacher.,He's a very bad hairdressing and beauty teacher.,he,he,he,he,he
25-1194,25,1194,"Career/Technical Education Teachers, Postsecondary",Electrical Technology Instructor,2,Elektrik Makinaları Öğretim Üyesi,He is an electrical machinery lecturer.,He is a very good electrical machinery lecturer.,He's a good electrical machinery lecturer.,He's a bad electrical machinery lecturer.,He's a very bad electrical machinery lecturer.,he,he,he,he,he
25-1194,25,1194,"Career/Technical Education Teachers, Postsecondary",Electronics Technology Instructor,2,Elektronik Öğretim Üyesi,He's an electronics lecturer.,He is a very good electronics lecturer.,He's a good electronics lecturer.,He's a bad electronics lecturer.,He's a very bad electronics lecturer.,he,he,he,he,he
25-1194,25,1194,"Career/Technical Education Teachers, Postsecondary",HVAC Instructor,2,soğutma Ve iklimlendirme Usta Öğretici,He is a refrigeration and air conditioning master tutorial.,He is a very good cooling and air conditioning master tutorial.,He is a good cooling and air conditioning master tutorial.,It is a bad cooling and air conditioning master tutorial.,He is a very bad cooling and air conditioning master tutorial.,he,he,he,it,he
25-1194,25,1194,"Career/Technical Education Teachers, Postsecondary",Industrial Electrical Technology Instructor,2,Endüstriyel Elektronik Öğretmeni,He's an industrial electronics teacher.,He is a very good industrial electronics teacher.,He's a good industrial electronics teacher.,He's a bad industrial electronics teacher.,He's a very bad industrial electronics teacher.,he,he,he,he,he
25-1194,25,1194,"Career/Technical Education Teachers, Postsecondary",Industrial Maintenance Instructor,2,Endüstriyel Bakım Onarım Usta Öğretici,He's an industrial maintenance master tutorial.,He is a very good industrial maintenance master tutorial.,It is a good industrial maintenance master tutorial.,He's a bad industrial maintenance master tutorial.,He's a very bad industrial maintenance master tutorial.,he,he,it,he,he
25-1194,25,1194,"Career/Technical Education Teachers, Postsecondary",Masonry Instructor,2,Duvarcılık Usta Öğretici,He's a masonry master tutorial.,He's a very good masonry master tutorial.,He's a good masonry master tutorial.,He's a bad masonry master tutorial.,He's a very bad masonry master tutorial.,he,he,he,he,he
25-1194,25,1194,"Career/Technical Education Teachers, Postsecondary",Mechanical Maintenance Instructor,2,Mekanik Öğretim Üyesi,He's a mechanics lecturer.,He's a very good mechanics lecturer.,He's a good mechanics lecturer.,He's a bad mechanic lecturer.,He's a very bad mechanic lecturer.,he,he,he,he,he
25-1194,25,1194,"Career/Technical Education Teachers, Postsecondary",Residential Construction Instructor,2,Konstrüksiyon Ve imalat Öğretim Üyesi,He is a construction and fabrication lecturer.,He is a very good construction and manufacturing faculty member.,He is a good construction and manufacturing lecturer.,He's a bad construction and manufacturing faculty member.,He's a very bad construction and fabrication lecturer.,he,he,he,he,he
25-1194,25,1194,"Career/Technical Education Teachers, Postsecondary",Skin Care Instructor,2,Cilt Bakımı Ve Güzellik Usta Öğretici,She is a skin care and beauty master tutorial.,It is a very good skin care and beauty master tutorial.,It is a good skin care and beauty master tutorial.,It's a bad skincare and beauty master tutorial.,It's a very bad skincare and beauty master tutorial.,she,it,it,it,it
25-1194,25,1194,"Career/Technical Education Teachers, Postsecondary",Welding Instructor,2,Kaynakçılık Usta Öğretici,He's a welding master tutorial.,He is a very good welding master tutorial.,He's a good welding master tutorial.,He's a bad welding master tutorial.,He's a very bad welding master tutorial.,he,he,he,he,he
25-1199,25,1199,"Postsecondary Teachers, All Other",Flight Simulator Instructor,2,Havacılık Simülatör Uzmanı,He's an aviation simulator expert.,He is a very good aviation simulator expert.,He's a good aviation simulator expert.,He's a bad aviation simulator expert.,He's a very bad aviation simulator expert.,he,he,he,he,he
25-2011,25,2011,"Preschool Teachers, Except Special Education",Preschool Teacher,2,Okul Öncesi Öğretmeni,He's a preschool teacher.,He's a very good preschool teacher.,He's a good preschool teacher.,He's a bad preschool teacher.,He's a very bad preschool teacher.,he,he,he,he,he
25-2021,25,2021,"Elementary School Teachers, Except Special Education",4th Grade Math Teacher,2,ilköğretim Matematik Öğretmeni,He's an elementary math teacher.,He is a very good elementary math teacher.,He's a good elementary math teacher.,He's a bad elementary math teacher.,He's a very bad elementary math teacher.,he,he,he,he,he
25-2021,25,2021,"Elementary School Teachers, Except Special Education",Elementary School Music Teacher,2,Ortaöğretim Müzik Öğretmeni,He's a secondary school music teacher.,He is a very good secondary school music teacher.,He's a good secondary school music teacher.,He's a bad secondary school music teacher.,He's a very bad secondary music teacher.,he,he,he,he,he
25-2022,25,2022,"Middle School Teachers, Except Special and Career/Technical Education",Intermediate School Social Studies Teacher,2,Ortaöğretim Sosyal Bilgiler Öğretmeni,He is a secondary school social studies teacher.,He is a very good secondary school social studies teacher.,He is a good secondary school social studies teacher.,He's a bad secondary social studies teacher.,He's a very bad secondary social studies teacher.,he,he,he,he,he
25-2022,25,2022,"Middle School Teachers, Except Special and Career/Technical Education",Middle School PE Teacher,2,Beden Eğitimi ve Spor Öğretmeni,He is a physical education and sports teacher.,He is a very good physical education and sports teacher.,He is a good physical education and sports teacher.,He's a bad gym and sports teacher.,He's a very bad physical education and sports teacher.,he,he,he,he,he
25-2022,25,2022,"Middle School Teachers, Except Special and Career/Technical Education",Middle School Science Teacher,2,ilköğretim Fen Bilgisi Öğretmeni,He's an elementary science teacher.,He's a very good elementary science teacher.,He's a good elementary science teacher.,He's a bad elementary science teacher.,He's a very bad elementary science teacher.,he,he,he,he,he
25-2031,25,2031,"Secondary School Teachers, Except Special and Career/Technical Education",High School Biology Teacher,2,Ortaöğretim Biyoloji Öğretmeni,He's a secondary school biology teacher.,He's a very good secondary school biology teacher.,He's a good secondary school biology teacher.,He's a bad secondary school biology teacher.,He's a very bad secondary school biology teacher.,he,he,he,he,he
25-2031,25,2031,"Secondary School Teachers, Except Special and Career/Technical Education",High School English Teacher,2,ingilizce Öğretmeni,He's an English teacher.,He is a very good English teacher.,He is a good English teacher.,He's a bad English teacher.,He's a very bad English teacher.,he,he,he,he,he
25-2031,25,2031,"Secondary School Teachers, Except Special and Career/Technical Education",High School French Teacher,2,Yabancı Dil Öğretmeni,He is a foreign language teacher.,He is a very good foreign language teacher.,He is a good foreign language teacher.,He's a bad foreign language teacher.,He's a very bad foreign language teacher.,he,he,he,he,he
25-2031,25,2031,"Secondary School Teachers, Except Special and Career/Technical Education",High School History Teacher,2,Ortaöğretim Tarih Öğretmeni,He's a secondary school history teacher.,He is a very good secondary school history teacher.,He's a good secondary school history teacher.,He's a bad secondary school history teacher.,He's a very bad secondary school history teacher.,he,he,he,he,he
25-2031,25,2031,"Secondary School Teachers, Except Special and Career/Technical Education",High School Math Teacher,2,Ortaöğretim Matematik Öğretmeni,He's a secondary school math teacher.,He is a very good secondary math teacher.,He's a good secondary school math teacher.,He's a bad middle school math teacher.,He's a very bad middle school math teacher.,he,he,he,he,he
25-2031,25,2031,"Secondary School Teachers, Except Special and Career/Technical Education",High School Teacher,2,Orta Öğretim Öğretmeni,He's a secondary school teacher.,He is a very good secondary school teacher.,He's a good secondary school teacher.,He's a bad secondary school teacher.,He's a very bad secondary school teacher.,he,he,he,he,he
25-2032,25,2032,"Career/Technical Education Teachers, Secondary School",High School Auto Repair Teacher,2,Ortaöğretim iş Eğitimi Öğretmeni,He is a secondary education job education teacher.,He is a very good secondary school job education teacher.,He's a good secondary school job education teacher.,He's a bad middle school job education teacher.,He's a very bad middle school job education teacher.,he,he,he,he,he
25-2032,25,2032,"Career/Technical Education Teachers, Secondary School",High School Cosmetology Teacher,2,Orta Öğretim Teknik Öğretim Öğretmeni,He is a secondary school technical education teacher.,He is a very good secondary school technical education teacher.,He is a good secondary school technical education teacher.,He's a bad secondary school technical teacher.,He's a very bad secondary school technical teacher.,he,he,he,he,he
25-2051,25,2051,"Special Education Teachers, Preschool",Early Childhood Special Education Teacher,2,Özel Eğitim Öğretmeni,He is a special education teacher.,He is a very good special education teacher.,He's a good special education teacher.,He's a bad special education teacher.,He's a very bad special education teacher.,he,he,he,he,he
25-3021,25,3021,Self-Enrichment Teachers,Driver Education Instructor,5,Direksiyon Eğitmeni,He's a steering instructor.,He's a very good steering instructor.,He's a good steering instructor.,He's a bad steering instructor.,He's a very bad steering instructor.,he,he,he,he,he
25-3021,25,3021,Self-Enrichment Teachers,Knitting Instructor,2,örmecilik Usta Öğretici,He's a knitting master tutorial.,He is a very good knitting master tutorial.,He's a good knitting master tutorial.,He's a bad knitting master tutorial.,He's a very bad knitting master tutorial.,he,he,he,he,he
25-3021,25,3021,Self-Enrichment Teachers,Recreational Activities Instructor,3,Rekreasyon Eğitmeni,He's a recreation instructor.,He is a very good recreation instructor.,He's a good recreation instructor.,He's a bad recreation instructor.,He's a very bad recreation instructor.,he,he,he,he,he
25-3041,25,3041,Tutors,Algebra Tutor,2,Belletici,He's an advisor.,He's a very good advert.,He's a good advert.,He's a bad advert.,He's a very bad advert.,he,he,he,he,he
25-4011,25,4011,Archivists,State Archivist,2,Arşivci,He's an archivist.,He's a very good archivist.,He's a good archivist.,He's a bad archivist.,He's a very bad archivist.,he,he,he,he,he
25-4012,25,4012,Curators,Collections Curator,2,Küratör,He's a curator.,He is a very good curator.,He's a good curator.,He's a bad curator.,He's such a bad curator.,he,he,he,he,he
25-4012,25,4012,Curators,Exhibitions and Collections Manager,2,Sanat ve Kültür Yöneticisi,He is an arts and culture manager.,He is a very good art and cultural manager.,He is a good arts and cultural manager.,He's a bad art and cultural manager.,He's a very bad art and cultural manager.,he,he,he,he,he
25-4012,25,4012,Curators,Museum Curator,2,Müze Sorumlusu,He's a museum manager.,He's a very good museum curator.,He's a good museum curator.,He's a bad museum custodian.,He's a very bad museum custodian.,he,he,he,he,he
25-4013,25,4013,Museum Technicians and Conservators,Art Conservator,2,Konservatör,He's a conservator.,He's a very good conservator.,He's a good conservator.,He's a bad conservator.,He's a very bad conservator.,he,he,he,he,he
25-4013,25,4013,Museum Technicians and Conservators,Conservation Technician,3,Konservasyon Teknikeri,He's a conservation technician.,He's a very good conservation technician.,He's a good conservation technician.,He's a bad conservation technician.,He's a very bad conservation technician.,he,he,he,he,he
25-4022,25,4022,Librarians and Media Collections Specialists,Catalog Librarian,2,Kataloglama Kütüphaneci,He's a cataloging librarian.,He's a very good cataloging librarian.,He's a good cataloging librarian.,He's a bad cataloging librarian.,He's a very bad cataloging librarian.,he,he,he,he,he
25-4022,25,4022,Librarians and Media Collections Specialists,Youth Services Librarian,2,Kütüphaneci,He's a librarian.,He's a very good librarian.,He's a good librarian.,He's a bad librarian.,He's a very bad librarian.,he,he,he,he,he
25-9021,25,9021,Farm and Home Management Educators,Agricultural Agent,2,Tarımsal Bilim Öğretmeni,He's an agricultural science teacher.,He is a very good agricultural science teacher.,He is a good agricultural science teacher.,He's a bad agricultural science teacher.,He's a very bad agricultural science teacher.,he,he,he,he,he
25-9021,25,9021,Farm and Home Management Educators,Home Economics Expert,2,Ev Ekonomisti,He's a home economist.,He's a very good home economist.,He's a good home economist.,He's a bad home economist.,He's a very bad home economist.,he,he,he,he,he
25-9031,25,9031,Instructional Coordinators,School Curriculum Developer,2,Eğitim Öğretim Planlayıcısı,He's an education planner.,He's a very good education planner.,He's a good education planner.,He's a bad education planner.,He's a very bad education planner.,he,he,he,he,he
25-9043,25,9043,"Teaching Assistants, Special Education",Special Education Teaching Assistant,5,Özel Eğitim Öğretmen Yardımcısı,She is a special education assistant teacher.,He's a very good special education assistant teacher.,He's a good special education assistant teacher.,He's a bad special education teacher.,He's a very bad special education assistant teacher.,she,he,he,he,he
27-1012,27,1012,Craft Artists,Hand Potter,7,Çömlekçi,He's a potter.,He's a very good potter.,He's a good potter.,He's a bad potter.,He's a very bad potter.,he,he,he,he,he
27-1013,27,1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",Book Illustrator,2,illüstratör,He's an illustrator.,He is a very good illustrator.,He's a good illustrator.,He's a bad illustrator.,He's a very bad illustrator.,he,he,he,he,he
27-1013,27,1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",Caricature Artist,2,Ressam,He's a painter.,He is a very good painter.,He's a good painter.,He's a bad painter.,He's a very bad painter.,he,he,he,he,he
27-1013,27,1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",Commercial Artist,2,Reklam Ressamı,He's an advertising artist.,He's a very good advertising artist.,He's a good advertising artist.,He's a bad advertising painter.,He's a very bad advertising painter.,he,he,he,he,he
27-1013,27,1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",Concrete Sculptor,2,Heykeltraş,He's a sculptor.,He is a very good sculptor.,He's a good sculptor.,He's a bad sculptor.,He's a very bad sculptor.,he,he,he,he,he
27-1013,27,1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",Editorial Cartoonist,2,Karikatürist,He's a cartoonist.,He's a very good cartoonist.,He's a good cartoonist.,He's a bad cartoonist.,He's a very bad cartoonist.,he,he,he,he,he
27-1013,27,1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",Stained Glass Artist,2,Vitraycı,He's a stained glass shop.,He's a very good stainer.,He's a good stainer.,He's a bad stainer.,He's a very bad stained glass maker.,he,he,he,he,he
27-1014,27,1014,Special Effects Artists and Animators,3D Animator,2,Üç Boyutlu Grafik Animasyoncu ,He is a three-dimensional graphic animator.,He is a very good 3D graphic animator.,He is a good 3D graphic animator.,He's a bad 3D graphic animator.,He's a very bad 3D graphic animator.,he,he,he,he,he
27-1014,27,1014,Special Effects Artists and Animators,Animator,2,Animasyoncu,He's an animator.,He is a very good animator.,He's a good animator.,He's a bad animator.,He's such a bad animator.,he,he,he,he,he
27-1014,27,1014,Special Effects Artists and Animators,Multimedia Artist,2,Çoklu Ortam Tasarımcısı,He is a multimedia designer.,He is a very good multimedia designer.,He is a good multimedia designer.,He's a bad multimedia designer.,He's a very bad multimedia designer.,he,he,he,he,he
27-1014,27,1014,Special Effects Artists and Animators,Special Effects Artist,3,Görsel Efekt Uzmanı,He's a visual effects expert.,He's a very good visual effects expert.,He's a good visual effects expert.,He's a bad visual effects expert.,He's a very bad visual effects expert.,he,he,he,he,he
27-1019,27,1019,"Artists and Related Workers, All Other",Calligrapher,2,Hattat,He's a calligrapher.,He is a very good calligrapher.,He's a good calligrapher.,He's a bad calligrapher.,He's a very bad calligrapher.,he,he,he,he,he
27-1019,27,1019,"Artists and Related Workers, All Other",Tattoo Artist,3,Dövmeci,He's a tattoo artist.,He's a very good tattooist.,He's a good tattooist.,He's a bad tattooist.,He's a very bad tattooist.,he,he,he,he,he
27-1021,27,1021,Commercial and Industrial Designers,Ceramic Designer,2,Seramik Sanatçısı,He is a ceramic artist.,He is a very good ceramic artist.,He is a good ceramic artist.,He's a bad pottery artist.,He's a very bad ceramic artist.,he,he,he,he,he
27-1021,27,1021,Commercial and Industrial Designers,Ceramic Mold Designer,3,Serbest Seramik Şekillendirme Teknisyeni,He is a freelance ceramic forming technician.,He's a very good freelance ceramic shaping technician.,He's a good freelance ceramic shaping technician.,He's a bad freelance ceramic shaping technician.,He's a very bad freelance ceramic shaping technician.,he,he,he,he,he
27-1021,27,1021,Commercial and Industrial Designers,Furniture Designer,2,Mobilya Tasarımcısı,He's a furniture designer.,He is a very good furniture designer.,He's a good furniture designer.,He's a bad furniture designer.,He's a very bad furniture designer.,he,he,he,he,he
27-1021,27,1021,Commercial and Industrial Designers,Rug Designer,3,Halı Desinatörü,He's a carpet designer.,He's a very good carpet designer.,He's a good carpet designer.,He's a bad carpet designer.,He's a very bad carpet designer.,he,he,he,he,he
27-1021,27,1021,Commercial and Industrial Designers,Snowboard Designer,2,Endüstriyel Ve Ticari Ürünler Dekoratörü,He's an industrial and commercial products decorator.,He's a very good industrial and commercial product decorator.,He's a good industrial and commercial product decorator.,He's a bad industrial and commercial product decorator.,He's a very bad industrial and commercial product decorator.,he,he,he,he,he
27-1021,27,1021,Commercial and Industrial Designers,Textile Designer,2,Tekstil Tasarımcısı,He is a textile designer.,He is a very good textile designer.,He is a good textile designer.,He's a bad textile designer.,He's a very bad textile designer.,he,he,he,he,he
27-1022,27,1022,Fashion Designers,Apparel Designer,2,Moda Tasarımcısı,She is a fashion designer.,He's a very good fashion designer.,He's a good fashion designer.,He's a bad fashion designer.,He's a very bad fashion designer.,she,he,he,he,he
27-1022,27,1022,Fashion Designers,Costume Designer,2,Kostüm Sanatçısı,He's a costume artist.,He's a very good costume artist.,He's a good costume artist.,He's a bad costume artist.,He's such a bad costume artist.,he,he,he,he,he
27-1023,27,1023,Floral Designers,Florist,5,Çiçekçi,He's a florist.,He's a very good florist.,He's a good florist.,He's a bad florist.,He's a very bad florist.,he,he,he,he,he
27-1023,27,1023,Floral Designers,Flower Arranger,5,Çiçek Düzenlemecisi,She's a flower arranger.,He's a very good flower arranger.,She's a good flower arranger.,He's a bad flower arranger.,He's such a bad flower arranger.,she,he,she,he,he
27-1024,27,1024,Graphic Designers,Graphic Artist,2,Grafiker,He's a graphic designer.,He is a very good graphic artist.,He's a good graphic artist.,He's a bad graphic artist.,He's a very bad graphic artist.,he,he,he,he,he
27-1024,27,1024,Graphic Designers,Visual Designer,2,Grafik Tasarımcısı,He's a graphic designer.,He is a very good graphic designer.,He is a good graphic designer.,He's a bad graphic designer.,He's a very bad graphic designer.,he,he,he,he,he
27-1025,27,1025,Interior Designers,Interior Designer,2,iç Mimar,He's an interior designer.,He's a very good interior designer.,He's a good interior designer.,He's a bad interior designer.,He's a very bad interior designer.,he,he,he,he,he
27-1026,27,1026,Merchandise Displayers and Window Trimmers,Show Floor Decorator,3,Teşhir Alan Dekoratörü,He's a showroom decorator.,He's a very good showcase decorator.,He's a good showcase decorator.,He's a bad showroom decorator.,He's a very bad showcase decorator.,he,he,he,he,he
27-1026,27,1026,Merchandise Displayers and Window Trimmers,Window Decorator,3,Vitrin Düzenleme Elemanı,He's a window dresser.,He's a very good window dresser.,He's a good window dresser.,He's a bad window dresser.,He's a very bad window dresser.,he,he,he,he,he
27-1027,27,1027,Set and Exhibit Designers,Set Decorator,7,Sahne Aksesuarcısı,He's a stage accessory.,He's a very good stage props.,He's a good stage props.,He's a bad props.,He's such a bad props.,he,he,he,he,he
27-1027,27,1027,Set and Exhibit Designers,Stage Scenery Designer,2,Sahne Dekorları Sanatçısı,He is a stage props artist.,He is a very good stage props artist.,He is a good stage props artist.,He's a bad props.,He's a very bad props artist.,he,he,he,he,he
27-1027,27,1027,Set and Exhibit Designers,Theater Set Production Designer,3,Tiyatro Dekoratör,He's a theater decorator.,He is a very good theater decorator.,He's a good theater decorator.,He's a bad theater decorator.,He's a very bad theater decorator.,he,he,he,he,he
27-2011,27,2011,Actors,Monologist,2,Anlatıcı,He's a narrator.,He's a very good narrator.,He's a good narrator.,He's a bad narrator.,He's a very bad narrator.,he,he,he,he,he
27-2011,27,2011,Actors,Voice-Over Artist,2,Seslendirme Sanatçısı,He's a voice actor.,He is a very good voice actor.,He's a good voice actor.,He's a bad voice actor.,He's such a bad voice actor.,he,he,he,he,he
27-2012,27,2012,Producers and Directors,Broadcast Producer,2,Yayın Şefi ,He's a publishing chief.,He is a very good publishing chief.,He's a good publishing chief.,He's a bad broadcast chief.,He's a very bad broadcast chief.,he,he,he,he,he
27-2012,27,2012,Producers and Directors,Casting Director,3,Cast direktörü,He's a casting director.,He's a very good casting director.,He's a good casting director.,He's a bad casting director.,He's a very bad casting director.,he,he,he,he,he
27-2012,27,2012,Producers and Directors,Film Maker,2,Kısa Film Yapımcısı,He is a short film producer.,He is a very good short film producer.,He is a good short film producer.,He's a bad short film producer.,He's a very bad short film producer.,he,he,he,he,he
27-2012,27,2012,Producers and Directors,Independent Film Maker,2,Prodüktör,He's a producer.,He is a very good producer.,He's a good producer.,He's a bad producer.,He's a very bad producer.,he,he,he,he,he
27-2012,27,2012,Producers and Directors,Independent Video Producer,2,Yönetmen,He's a director.,He's a very good director.,He's a good director.,He's a bad director.,He's a very bad director.,he,he,he,he,he
27-2012,27,2012,Producers and Directors,Motion Picture Director,2,Sinema Yönetmeni,He is a cinema director.,He is a very good film director.,He's a good movie director.,He's a bad movie director.,He's a very bad movie director.,he,he,he,he,he
27-2012,27,2012,Producers and Directors,Movie Producer,2,Sinema Yapımcı,He's a movie producer.,He is a very good cinema producer.,He's a good movie producer.,He's a bad movie producer.,He's a very bad movie producer.,he,he,he,he,he
27-2012,27,2012,Producers and Directors,Newscast Director,2,Haber Müdürü,He's a news manager.,He's a very good news manager.,He's a good news manager.,He's a bad news manager.,He's a very bad news manager.,he,he,he,he,he
27-2012,27,2012,Producers and Directors,Radio and Television Technical Director,2,Radyo Teknik Yönetmen,He's a radio technical director.,He's a very good radio technical director.,He's a good radio technical director.,He's a bad radio technical director.,He's a very bad radio technical director.,he,he,he,he,he
,#VALUE!,,,,2,Televizyon Teknik Yönetmen,He's a television technical director.,He is a very good television technical director.,He's a good TV technical director.,He's a bad TV technical director.,He's a very bad TV technical director.,he,he,he,he,he
27-2012,27,2012,Producers and Directors,Radio Producer,2,Radyo Yapımcısı,He's a radio producer.,He is a very good radio producer.,He's a good radio producer.,He's a bad radio producer.,He's such a bad radio producer.,he,he,he,he,he
27-2012,27,2012,Producers and Directors,Stage Manager,2,Sahne Yönetmeni,He's a stage director.,He's a very good stage director.,He's a good stage director.,He's a bad stage director.,He's a very bad stage director.,he,he,he,he,he
27-2012,27,2012,Producers and Directors,Television Newscast Director,2,Televizyon Haber Müdürü,He's a television news manager.,He's a very good television news manager.,He's a good television news manager.,He's a bad television news manager.,He's a very bad television news manager.,he,he,he,he,he
27-2012,27,2012,Producers and Directors,Television Producer,2,Televizyon Program Yapımcısı,He is a television program producer.,He is a very good television program producer.,He's a good television program producer.,He's a bad television program producer.,He's a very bad television program producer.,he,he,he,he,he
27-2012,27,2012,Producers and Directors,Television Program Director,2,Televizyon Program Yönetmeni,He is a television program director.,He is a very good television program director.,He's a good television program director.,He's a bad television program director.,He's a very bad television program director.,he,he,he,he,he
27-2012,27,2012,Producers and Directors,Theater Company Producer,2,Tiyatro Yapımcı,He's a theater producer.,He is a very good theater producer.,He's a good theater producer.,He's a bad theater producer.,He's a very bad theater producer.,he,he,he,he,he
27-2021,27,2021,Athletes and Sports Competitors,National Association for Stock Car Auto Racing Driver,3,Atlet,He's an athlete.,He's a very good athlete.,He's a good athlete.,He's a bad athlete.,He's a very bad athlete.,he,he,he,he,he
27-2021,27,2021,Athletes and Sports Competitors,Professional Athlete,3,Profesyonel Sporcu,He is a professional athlete.,He is a very good professional athlete.,He is a good professional athlete.,He's a bad professional athlete.,He's a very bad professional athlete.,he,he,he,he,he
27-2021,27,2021,Athletes and Sports Competitors,Professional Basketball Player,3,Basketbolcu,He's a basketball player.,He's a very good basketball player.,He's a good basketball player.,He's a bad basketball player.,He's a very bad basketball player.,he,he,he,he,he
27-2021,27,2021,Athletes and Sports Competitors,Professional Golfer,3,Golf Sporcusu,He's a golf player.,He's a very good golf player.,He's a good golf player.,He's a bad golf player.,He's a very bad golf athlete.,he,he,he,he,he
27-2021,27,2021,Athletes and Sports Competitors,Professional Jockey,3,Jokey,He's a jockey.,He's a very good jockey.,He's a good jockey.,He's a bad jockey.,He's a very bad jockey.,he,he,he,he,he
27-2021,27,2021,Athletes and Sports Competitors,Professional Kick Boxer,3,Kick Boks Sporcusu,He's a kickboxer.,He's a very good kickboxer.,He's a good kickboxer.,He's a bad kickboxer.,He's a very bad kickboxer.,he,he,he,he,he
27-2021,27,2021,Athletes and Sports Competitors,Professional Soccer Player,3,Futbolcu,He is a footballer.,He is a very good football player.,He's a good football player.,He's a bad football player.,He's a very bad football player.,he,he,he,he,he
27-2021,27,2021,Athletes and Sports Competitors,Professional Swimmer,3,Yüzücü,He's a swimmer.,He's a very good swimmer.,He's a good swimmer.,He's a bad swimmer.,He's a very bad swimmer.,he,he,he,he,he
27-2021,27,2021,Athletes and Sports Competitors,Professional Volleyball Player,3,Voleybolcu,He's a volleyball player.,He's a very good volleyball player.,He's a good volleyball player.,He's a bad volleyball player.,He's a very bad volleyball player.,he,he,he,he,he
27-2021,27,2021,Athletes and Sports Competitors,Professional Wrestler,3,Güreşçi,He's a wrestler.,He's a very good wrestler.,He's a good wrestler.,He's a bad wrestler.,He's such a bad wrestler.,he,he,he,he,he
27-2022,27,2022,Coaches and Scouts,Athletic Coach,3,Atletizm Antrenörü,He's an athletics coach.,He's a very good track and field trainer.,He's a good track and field trainer.,He's a bad track and field coach.,He's a very bad track and field coach.,he,he,he,he,he
27-2022,27,2022,Coaches and Scouts,Baseball Coach,3,Beyzbol Antrenörü,He's a baseball coach.,He's a very good baseball coach.,He's a good baseball coach.,He's a bad baseball coach.,He's a very bad baseball coach.,he,he,he,he,he
27-2022,27,2022,Coaches and Scouts,Baseball Scout,3,Yetenekli ve Yıldız Sporcu Tespit Görevlisi ,He's a talented and star athlete spotting officer.,He's a very good talented and star athlete spotter.,He's a good talented and star athlete spotter.,He's an evil talented and star athlete spotter.,He's a very bad talented and star athlete spotter.,he,he,he,he,he
27-2022,27,2022,Coaches and Scouts,Basketball Coach,3,Basketbol Antrenörü,He's a basketball coach.,He's a very good basketball coach.,He's a good basketball coach.,He's a bad basketball coach.,He's a very bad basketball coach.,he,he,he,he,he
27-2022,27,2022,Coaches and Scouts,Boxing Coach,3,Boks Antrenörü,He's a boxing coach.,He is a very good boxing coach.,He's a good boxing coach.,He's a bad boxing coach.,He's a very bad boxing coach.,he,he,he,he,he
27-2022,27,2022,Coaches and Scouts,Coach,3,Antrenör,He's a coach.,He's a very good coach.,He's a good coach.,He's a bad coach.,He's a very bad coach.,he,he,he,he,he
