,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2018 SOC Code (US),Major Code,Minor Code,2018 SOC Title (US),2018 SOC Direct Match Title (US),ISCO Major Code (TR),ISCO Minor Code (TR),,He/She is a <adj> <occupation>. / O <adj> bir <occupation>.,,,,1461,1455,1439,1487,1507
19-1042,19,1042,"Medical Scientists, Except Epidemiologists",Pharmacologist,2,Farmakolog,He's a pharmacologist.,He's a very good pharmacologist.,He's a good pharmacologist.,He's a bad pharmacologist.,He's a terrible pharmacologist.,he,he,he,he,he
19-2011,19,2011,Astronomers,Astrophysicist,2,Astronom,He's an astronomer.,He's a very good astronomer.,He's a good astronomer.,He's a bad astronomer.,He's a terrible astronomer.,he,he,he,he,he
19-2012,19,2012,Physicists,Computational Physicist,2,Fizikçi,He's a physicist.,He's a very good physicist.,He's a good physicist.,He's a bad physicist.,He's a terrible physicist.,he,he,he,he,he
19-2012,19,2012,Physicists,Health Physicist,2,Sağlık Fizikçisi,He's a health physicist.,He's a very good health physicist.,He's a good health physicist.,He's a bad health physicist.,He's a terrible health physicist.,he,he,he,he,he
19-2012,19,2012,Physicists,Nuclear Physicist,2,Nükleer Fizikçi,He's a nuclear physicist.,He's a very good nuclear physicist.,He's a good nuclear physicist.,He's a bad nuclear physicist.,He's a terrible nuclear physicist.,he,he,he,he,he
19-2021,19,2021,Atmospheric and Space Scientists,Meteorologist,2,Meteorolog,He's a meteorologist.,He's a very good meteorologist.,He's a good meteorologist.,He's a bad meteorologist.,He's a terrible meteorologist.,he,he,he,he,he
19-2021,19,2021,Atmospheric and Space Scientists,Weather Forecaster,3,Hava Gözlem Ve Tahmini Teknisyeni,He's an aerial observation and guessing technician.,He's a very good aerial observation and guessing technician.,He is a good aerial observation and estimate technician.,He's a bad weather observer and an estimated technician.,He's a very bad weather observer and an estimated technician.,he,he,he,he,he
19-2031,19,2031,Chemists,Agricultural Chemist,2,Kimyager,He's a chemist.,He's a very good chemist.,He's a good chemist.,He's a bad chemist.,He's a terrible chemist.,he,he,he,he,he
19-2031,19,2031,Chemists,Analytical Chemist,2,Tahlil Kimyager,He's a test chemist.,He's a very good test chemist.,He's a good test chemist.,He's a bad test chemist.,He's a terrible test chemist.,he,he,he,he,he
19-2031,19,2031,Chemists,Inorganic Chemist,2,inorganik Kimyager,He's an inorganic chemist.,He's a very good inorganic chemist.,He's a good inorganic chemist.,He's a bad inorganic chemist.,He's a terrible inorganic chemist.,he,he,he,he,he
19-2031,19,2031,Chemists,Laboratory Chemist,3,Kimya Laboratuvarı Görevlisi,He's a chemistry lab attendant.,He's a very good chemistry lab attendant.,He's a good chemistry lab attendant.,He's a bad chemistry lab attendant.,He's a terrible chemical laboratory officer.,he,he,he,he,he
19-2031,19,2031,Chemists,Organic Chemist,2,Organik Kimyager,He's an organic chemist.,He's a very good organic chemist.,He's a good organic chemist.,He's a bad organic chemist.,He's a terrible organic chemist.,he,he,he,he,he
19-2032,19,2032,Materials Scientists,Plastics Scientist,2,Malzeme Bilimi ve Mühendisi,He's a material science and an engineer.,He's a very good material science and engineer.,He's a good material science and engineer.,He's a bad material science and engineer.,He's a terrible material science and engineer.,he,he,he,he,he
19-2041,19,2041,"Environmental Scientists and Specialists, Including Health",Water Pollution Scientist,2,Deniz Kirliliği Önleme Uzmanı,He's a marine pollution prevention expert.,He's a very good marine pollution prevention expert.,He's a good marine pollution prevention expert.,He's a bad marine pollution prevention expert.,He's a very bad marine pollution prevention expert.,he,he,he,he,he
19-2042,19,2042,"Geoscientists, Except Hydrologists and Geographers",Geodesist,2,Jeodezi Mühendisi,He's a geodesy engineer.,He's a very good geodesic engineer.,He's a good geodesic engineer.,He's a bad geodesic engineer.,He's a terrible geodesy engineer.,he,he,he,he,he
19-2042,19,2042,"Geoscientists, Except Hydrologists and Geographers",Paleontologist,2,Fosil Bilimci,He's a fossil scientist.,He's a very good fossil scientist.,He's a good fossil scientist.,He's a bad fossil scientist.,He's a terrible fossil scientist.,he,he,he,he,he
19-2043,19,2043,Hydrologists,Hydrogeologist,2,Hidrojeoloji Mühendisi,He's a hydrogeological engineer.,He's a very good hydrogeological engineer.,He's a good hydrogeological engineer.,He's a bad hydrogeological engineer.,He's a terrible hydrogeological engineer.,he,he,he,he,he
19-2043,19,2043,Hydrologists,Isotope Hydrologist,2,Hidrolog,He's a hydrologist.,He's a very good hydrologist.,He's a good hydrologist.,He's a bad hydrologist.,He's a terrible hydrologist.,he,he,he,he,he
19-3011,19,3011,Economists,Agricultural Economist,2,Ekonomist,He's an economist.,He is a very good economist.,He is a good economist.,He's a bad economist.,He's a terrible economist.,he,he,he,he,he
19-3011,19,3011,Economists,Econometrician,2,Ekonometrist,He's an economist.,He's a very good economist.,He's a good economist.,He's a bad economist.,He's a very bad economist.,he,he,he,he,he
19-3011,19,3011,Economists,Labor Economist,2,Çalışma Ekonomisti,He was a work economist.,He was a very good working economist.,He was a good working economist.,He was a poor working economist.,He was a very bad working economist.,he,he,he,he,he
19-3022,19,3022,Survey Researchers,Pollster,3,Kamuoyu Araştırmacısı,He's a public researcher.,He's a very good public researcher.,He's a good public researcher.,He's a bad public researcher.,He's a terrible public researcher.,he,he,he,he,he
19-3033,19,3033,Clinical and Counseling Psychologists,Geropsychologists,2,Psikolojik Danışman,He's a psychological consultant.,He's a very good psychological counselor.,He's a good psychological adviser.,He's a bad psychological consultant.,He's a terrible psychological consultant.,he,he,he,he,he
19-3039,19,3039,"Psychologists, All Other",Sports Psychologist,2,Psikolog,He's a psychologist.,He's a very good psychologist.,He's a good psychologist.,He's a bad psychologist.,He's a terrible psychologist.,he,he,he,he,he
19-3041,19,3041,Sociologists,Criminologist,2,Sosyolog,He's a sociologist.,He's a very good sociologist.,He's a good sociologist.,He's a bad sociologist.,He's a terrible sociologist.,he,he,he,he,he
19-3051,19,3051,Urban and Regional Planners,City Planner,2,Şehir Plancısı,He's a city planner.,He's a very good urban planner.,He's a good city planner.,He's a bad urban planner.,He's a very bad urban planner.,he,he,he,he,he
19-3051,19,3051,Urban and Regional Planners,Regional Planner,2,il Planlama Uzmanı,He's a state planning expert.,He's a very good urban planning expert.,He's a good town planning expert.,He's a bad urban planning expert.,He's a very bad urban planning expert.,he,he,he,he,he
19-3091,19,3091,Anthropologists and Archeologists,Anthropologist,2,Antropolog,He's an anthropologist.,He's a very good anthropologist.,He's a good anthropologist.,He's a bad anthropologist.,He's a terrible anthropologist.,he,he,he,he,he
19-3091,19,3091,Anthropologists and Archeologists,Archaeologist,2,Arkeolog,He's an archeologist.,He's a very good archeologist.,He's a good archeologist.,He's a bad archeologist.,He's a terrible archeologist.,he,he,he,he,he
19-3091,19,3091,Anthropologists and Archeologists,Ethnoarchaeologist,2,Sosyal Antropolog,He's a social anthropologist.,He's a very good social anthropologist.,He's a good social anthropologist.,He's a bad social anthropologist.,He's a terrible social anthropologist.,he,he,he,he,he
19-3091,19,3091,Anthropologists and Archeologists,Physical Anthropologist,2,Fiziki Antropolog,He's a physicist anthropologist.,He's a very good physical anthropologist.,He's a good physical anthropologist.,He's a bad physical anthropologist.,He's a terrible physical anthropologist.,he,he,he,he,he
19-3092,19,3092,Geographers,Biogeographer,2,Coğrafyacı,He's a geographer.,He's a very good geographer.,He's a good geographer.,He's a bad geographer.,He's a terrible geographer.,he,he,he,he,he
19-3092,19,3092,Geographers,Geomorphologist,2,Jeomorfolog,He's a geomorphologist.,He's a very good geomorphologist.,He's a good geomorphologist.,He's a bad geomorphologist.,He's a terrible geomorphologist.,he,he,he,he,he
19-3092,19,3092,Geographers,GIS Geographer,2,Coğrafi Bilgi Sistemleri Uzmanı,He's a geo-information system expert.,He's a very good geographic information systems expert.,He's a good geographic information system expert.,He's a bad geographic information system expert.,He's a very bad geographic information system expert.,he,he,he,he,he
19-3093,19,3093,Historians,Genealogist,2,Tarihçi,He's a historian.,He's a very good historian.,He's a good historian.,He's a bad historian.,He's a terrible historian.,he,he,he,he,he
19-3094,19,3094,Political Scientists,Government Affairs Researcher,2,Siyaset Bilimci,He's a political scientist.,He is a very good political scientist.,He is a good political scientist.,He's a bad political scientist.,He's a terrible political scientist.,he,he,he,he,he
19-3099,19,3099,"Social Scientists and Related Workers, All Other",Demographer,2,Demograf,It's a demographic.,That's a very good demographic.,That's a good demographic.,That's a bad demographic.,That's a very bad demographic.,it,that,that,that,that
19-3099,19,3099,"Social Scientists and Related Workers, All Other",Ethnologist,2,Etnolog,He's an ethnologist.,He's a very good ethnologist.,He's a good ethnologist.,He's a bad ethnologist.,He's a terrible ethnologist.,he,he,he,he,he
19-3099,19,3099,"Social Scientists and Related Workers, All Other",Linguist,2,Dilbilimci,He's a linguist.,He's a very good linguist.,He's a good linguist.,He's a bad linguist.,He's a terrible linguist.,he,he,he,he,he
19-3099,19,3099,"Social Scientists and Related Workers, All Other",Philologist,2,Filolog ,He's a philologist.,He's a very good philologist.,He's a good philologist.,He's a bad philologist.,He's a terrible philologist.,he,he,he,he,he
19-3099,19,3099,"Social Scientists and Related Workers, All Other",Social Scientist,2,insan ve Toplum Bilimcisi,He's a human and community scientist.,He's a very good human and community scientist.,He's a good human and community scientist.,He's a bad human and community scientist.,He's a terrible human and community scientist.,he,he,he,he,he
19-4012,19,4012,Agricultural Technicians,Agronomy Technician,3,Tarla Bitkileri Teknisyeni,He's a field plant technician.,He's a very good field plant technician.,He's a good field plant technician.,He's a bad farm plant technician.,He's a very bad field plant technician.,he,he,he,he,he
19-4012,19,4012,Agricultural Technicians,Artificial Breeding Technician,3,Ziraat Teknisyeni,He's an agricultural technician.,He's a very good agricultural technician.,He's a good agricultural technician.,He's a bad agricultural technician.,He's a terrible agricultural technician.,he,he,he,he,he
19-4012,19,4012,Agricultural Technicians,Feed Mill Lab Technician,3,Besin Teknolojisi Teknisyeni,He's a food technology technician.,He's a very good food technology technician.,He's a good food technology technician.,He's a bad food technology technician.,He's a terrible food technology technician.,he,he,he,he,he
19-4012,19,4012,Agricultural Technicians,Feed Research Technician,3,Yem Teknolojisi ve Hayvan Besleme Teknikeri,He's a bait technology and an animal feed technician.,He's a very good decoy technology and animal feed technique.,He's a good decoy technology and animal feed technique.,He's a bad decoy technology and animal feed technique.,He's a terrible bait technology and animal feed technique.,he,he,he,he,he
19-4012,19,4012,Agricultural Technicians,Seed Analyst,3,Tohumculuk Teknikeri,He's a seed technician.,He's a very good seed technician.,He's a good seed technician.,He's a bad seed technician.,He's a terrible seed technician.,he,he,he,he,he
19-4013,19,4013,Food Science Technicians,Food Quality Control Technician,3,Gıda Kontrol Teknisyeni,He's a food control technician.,He's a very good food control technician.,He's a good food control technician.,He's a bad food control technician.,He's a terrible food control technician.,he,he,he,he,he
19-4021,19,4021,Biological Technicians,Biochemistry Technician,3,Biyokimya Teknikeri,He's a biochemical technician.,He's a very good biochemistry technician.,He's a good biochemistry technician.,He's a bad biochemistry technician.,He's a terrible biochemistry technician.,he,he,he,he,he
19-4021,19,4021,Biological Technicians,Biology Laboratory Assistant,3,Biyoloji Laboratuvar Teknisyeni,He's a biology lab technician.,He's a very good biology lab technician.,He's a good biology lab technician.,He's a bad biology lab technician.,He's a terrible biology lab technician.,he,he,he,he,he
19-4021,19,4021,Biological Technicians,Marine Fisheries Technician,3,Su Ürünleri Teknisyeni,He's a water supply technician.,He's a very good hydro technician.,He's a good hydro technician.,He's a bad hydro technician.,He's a terrible hydro technician.,he,he,he,he,he
19-4021,19,4021,Biological Technicians,Wildlife Technician,2,Yaban Hayatı Teknikeri,He's a wildlife technician.,He's a very good wildlife technician.,He's a good wildlife technician.,He's a bad wildlife technician.,He's a terrible wildlife technician.,he,he,he,he,he
19-4031,19,4031,Chemical Technicians,Assayer,3,Kimya Teknikeri,He's a chemistry technician.,He's a very good chemist.,He's a good chemist.,He's a bad chemistry technician.,He's a terrible chemistry technician.,he,he,he,he,he
19-4031,19,4031,Chemical Technicians,Chemical Laboratory Technician,3,Kimya Laboratuvarı Teknisyeni,He's a chemistry lab technician.,He's a very good chemical laboratory technician.,He's a good chemical lab technician.,He's a bad chemistry lab technician.,He's a terrible chemical lab technician.,he,he,he,he,he
19-4042,19,4042,"Environmental Science and Protection Technicians, Including Health",Environmental Science Technician,3,Çevre Koruma ve Kontrol Teknikeri,He's an environmental protection and control technician.,He's a very good environmental protection and control technician.,He's a good environmental protection and control technician.,He's a bad environmental protection and control technician.,He's a terrible environmental protection and control technician.,he,he,he,he,he
19-4043,19,4043,"Geological Technicians, Except Hydrologic Technicians",Mining Technician,3,Maden Teknisyeni,He's a mining technician.,He's a very good mining technician.,He's a good mining technician.,He's a bad mining technician.,He's a terrible miner.,he,he,he,he,he
19-4051,19,4051,Nuclear Technicians,Radiation Protection Technician,3,Radyasyon Güvenliği Teknikeri,He's a radiation safety technician.,He's a very good radiation safety technician.,He's a good radiation safety technician.,He's a bad radiation safety technician.,He's a terrible radiation safety technician.,he,he,he,he,he
19-4071,19,4071,Forest and Conservation Technicians,Forest Technician,3,Orman Teknikeri,He's a jungle technician.,He's a very good jungle technician.,He's a good jungle technician.,He's a bad jungle technician.,He's a terrible jungle technician.,he,he,he,he,he
19-4092,19,4092,Forensic Science Technicians,Ballistic Technician,3,Adli Tıp Teknikeri,He's a forensic technician.,He's a very good forensics technician.,He's a good forensics technician.,He's a bad forensics technician.,He's a terrible forensics technician.,he,he,he,he,he
19-4092,19,4092,Forensic Science Technicians,Crime Scene Technician,5,Olay Yeri inceleme Polisi,He's a crime scene cop.,He's a very good crime scene investigator.,He's a good crime scene investigator.,He's a bad crime scene cop.,He's a terrible crime scene cop.,he,he,he,he,he
19-5011,19,5011,Occupational Health and Safety Specialists,Certified Industrial Hygienist,2,iş Güvenliği Uzmanı,He's a job security expert.,He's a very good business security expert.,He's a good business safety expert.,He's a bad business safety expert.,He's a very bad business safety expert.,he,he,he,he,he
19-5011,19,5011,Occupational Health and Safety Specialists,Certified Professional Ergonomist,2,Meslek Sağlığı Hemşiresi,She's a vocational health nurse.,He's a very good health nurse.,She's a good vocational health nurse.,He's a poor vocational health nurse.,She's a very bad vocational health nurse.,she,he,she,he,she
19-5011,19,5011,Occupational Health and Safety Specialists,Occupational Safety and Health Inspector,3,iş Sağlığı ve Güvenliği Kontrolörü,He's a health and safety controller.,He's a very good health and safety controller.,He's a good health and safety controller.,He's a bad business health and safety controller.,He's a very bad business health and safety controller.,he,he,he,he,he
19-5012,19,5012,Occupational Health and Safety Technicians,Construction Health and Safety Technician,3,inşaat iş Sağlığı ve Güvenliği Elemanı,He's a construction health and safety worker.,He's a very good construction health and safety worker.,He's a good construction health and safety guy.,He's a bad construction health and safety guy.,He's a very bad construction health and safety worker.,he,he,he,he,he
19-5012,19,5012,Occupational Health and Safety Technicians,Environmental Health Technologist,3,Çevre Sağlığı Teknisyeni,He's an environmental health technician.,He's a very good environmental health technician.,He's a good environmental health technician.,He's a bad environmental health technician.,He's a terrible environmental health technician.,he,he,he,he,he
19-5012,19,5012,Occupational Health and Safety Technicians,Occupational Health and Safety Technologist,3,iş Sağlığı Ve Güvenliği Teknikeri,He's a health and safety technician.,He's a very good health and safety technician.,He's a good health and safety technician.,He's a bad business health and safety technician.,He's a very bad business health and safety technician.,he,he,he,he,he
21-1011,21,1011,Substance Abuse and Behavioral Disorder Counselors,Substance Abuse Counselor,2,Madde Bağımlılığı Danışmanı,He's a drug addiction consultant.,He's a very good drug addiction consultant.,He's a good drug addiction consultant.,He's a bad drug addiction consultant.,He's a very bad drug addiction consultant.,he,he,he,he,he
21-1012,21,1012,"Educational, Guidance, and Career Counselors and Advisors",Career Counselor,2,Kariyer Danışmanı,He's a career counselor.,He's a very good career counselor.,He's a good career counselor.,He's a bad career counselor.,He's a terrible career counselor.,he,he,he,he,he
21-1012,21,1012,"Educational, Guidance, and Career Counselors and Advisors",Education Counselor,2,Eğitim Danışmanı,He's an education consultant.,He's a very good education adviser.,He's a good education adviser.,He's a bad education adviser.,He's a very bad education counselor.,he,he,he,he,he
21-1012,21,1012,"Educational, Guidance, and Career Counselors and Advisors",Guidance Counselor,2,Rehber Öğretmen,She's a guidebook teacher.,She's a very good guide teacher.,She's a good guide teacher.,He's a bad guide teacher.,He's a terrible guide teacher.,she,she,she,he,he
21-1012,21,1012,"Educational, Guidance, and Career Counselors and Advisors",Vocational Adviser,2,Mesleki Rehberlik Danışmanı,He's a professional guidance counselor.,He's a very good business guidance counselor.,He's a good professional guidance counselor.,He's a bad business guidance counselor.,He's a terrible professional guidance counselor.,he,he,he,he,he
21-1013,21,1013,Marriage and Family Therapists,Family Counselor,2,Aile Danışmanı,He's a family counselor.,He's a very good family counselor.,He's a good family counselor.,He's a bad family counselor.,He's a terrible family counselor.,he,he,he,he,he
21-1021,21,1021,"Child, Family, and School Social Workers",C-CYFSW,2,Sosyal Çalışma Uzmanı,He's a social worker.,He's a very good social worker.,He's a good social worker.,He's a bad social worker.,He's a terrible social worker.,he,he,he,he,he
21-1021,21,1021,"Child, Family, and School Social Workers",Child Protective Services Social Worker,5,Çocuk Koruma ve Bakım Hizmetleri Sağlık Teknikeri,He's a child-protection and care health technician.,He's a very good child protection and care health technician.,He's a good child protection and care health technician.,He's a bad child-protection and care health technician.,He's a terrible child protection and care health technician.,he,he,he,he,he
21-1021,21,1021,"Child, Family, and School Social Workers",Family Service Caseworker,2,Aile Sosyal Destek Personeli,He's a family social support staff.,He's a very good family social support staff.,He's a good family social support staff.,He's a bad family social support staff.,He's a very bad family social support staff.,he,he,he,he,he
21-1022,21,1022,Healthcare Social Workers,Hospital Social Worker,2,Hastane Sosyal Hizmet Uzmanı,He's a hospital social worker.,He's a very good hospital social worker.,He's a good hospital social worker.,He's a bad hospital social worker.,He's a terrible hospital social worker.,he,he,he,he,he
21-1023,21,1023,Mental Health and Substance Abuse Social Workers,Psychiatric Social Worker,2,Psikiyatri Sosyal Çalışmacı,He's a psychiatric social worker.,He's a very good psychiatric social worker.,He's a good psychiatrist social worker.,He's a bad psychiatrist social worker.,He's a terrible psychiatrist social worker.,he,he,he,he,he
21-1091,21,1091,Health Education Specialists,Certified Diabetes Educator,2,Diyabet Eğitim Hemşiresi,He's a diabetic education nurse.,He's a very good diabetic education nurse.,He's a good diabetic education nurse.,He's a bad diabetic education nurse.,He's a terrible diabetic education nurse.,he,he,he,he,he
21-1091,21,1091,Health Education Specialists,Health Educator,3,Sağlık Eğitimcisi,He's a health educator.,He's a very good health educator.,He's a good health educator.,He's a bad health educator.,He's a terrible health educator.,he,he,he,he,he
21-1094,21,1094,Community Health Workers,CHW,3,Toplum Sağlığı Çalışanı,He's a public health worker.,He's a very good public health worker.,He's a good public health worker.,He's a bad public health worker.,He's a very bad public health worker.,he,he,he,he,he
21-1099,21,1099,"Community and Social Service Specialists, All Other",Community Organization Worker,2,Sosyal Hizmet Uzmanı,He's a social worker.,He's a very good social worker.,He's a good social worker.,He's a bad social worker.,He's a terrible social worker.,he,he,he,he,he
23-1011,23,1011,Lawyers,Defense Attorney,2,Dava Vekili,He's a lawmaker.,He's a very good case attorney.,He's a good case attorney.,He's a bad case attorney.,He's a terrible case attorney.,he,he,he,he,he
23-1011,23,1011,Lawyers,Legal Counsel,2,Hukuk Müşaviri,He's a legal counselor.,He's a very good legal counsel.,He is a good legal counsel.,He's a bad legal counselor.,He's a terrible legal counselor.,he,he,he,he,he
23-1011,23,1011,Lawyers,Probate Lawyer,2,Avukat,He's a lawyer.,He's a very good lawyer.,He's a good lawyer.,He's a bad lawyer.,He's a terrible lawyer.,he,he,he,he,he
23-1011,23,1011,Lawyers,Prosecutor,2,Savcı,He's a prosecutor.,He's a very good prosecutor.,He's a good prosecutor.,He's a bad prosecutor.,He's a terrible prosecutor.,he,he,he,he,he
23-1012,23,1012,Judicial Law Clerks,Judicial Clerk,3,Raportör,He's a rapporteur.,He is a very good rapporteur.,She is a good rapporteur.,He's a bad rapporteur.,He's a terrible rapporteur.,he,he,she,he,he
23-1023,23,1023,"Judges, Magistrate Judges, and Magistrates",Circuit Court Judge,2,Hakim ,He's a judge.,He's a very good judge.,He's a good judge.,He's a bad judge.,He's a terrible judge.,he,he,he,he,he
23-1023,23,1023,"Judges, Magistrate Judges, and Magistrates",Jurist,2,Hukukçu,He's a lawyer.,He's a very good lawyer.,He's a good lawyer.,He's a bad lawyer.,He's a terrible lawyer.,he,he,he,he,he
25-1011,25,1011,"Business Teachers, Postsecondary",Accounting Professor,2,işletme Öğretmeni,He's a business teacher.,He's a very good business teacher.,He's a good business teacher.,He's a bad business teacher.,He's a very bad business teacher.,he,he,he,he,he
25-1011,25,1011,"Business Teachers, Postsecondary",Banking and Finance Instructor,2,Finansman Öğretmeni,She's a funding teacher.,She's a very good funding teacher.,She's a good funding teacher.,He's a bad funding teacher.,He's a very bad funding teacher.,she,she,she,he,he
25-1011,25,1011,"Business Teachers, Postsecondary",Finance Professor,2,iktisat Öğretim Üyesi,He's an economics professor.,He's a very good economics professor.,He is a good economics professor.,He's a bad economics professor.,He's a very bad economics professor.,he,he,he,he,he
25-1011,25,1011,"Business Teachers, Postsecondary",Marketing Instructor,2,Pazarlama Öğretmeni,He's a marketing teacher.,He's a very good marketing teacher.,He's a good marketing teacher.,He's a bad marketing teacher.,He's a very bad marketing teacher.,he,he,he,he,he
25-1021,25,1021,"Computer Science Teachers, Postsecondary",Computer Information Systems Professor,2,Bilgisayar Bilimleri Öğretim Üyesi,He is a computer science professor.,He is a very good computer science professor.,He is a good computer science professor.,He is a poor computer science professor.,He's a terrible computer science professor.,he,he,he,he,he
25-1021,25,1021,"Computer Science Teachers, Postsecondary",Computer Programming Professor,2,Bilgisayar Yazılımı Öğretim Üyesi,He is a computer software professor.,He is a very good computer software professor.,He is a good computer software professor.,He is a poor computer software professor.,He is a very bad computer software professor.,he,he,he,he,he
25-1021,25,1021,"Computer Science Teachers, Postsecondary",Information Technology Professor,2,Bilişim Teknolojileri Öğretmeni,She's an IT technology teacher.,She's a very good information technology teacher.,She's a good information technology teacher.,She's a bad information technology teacher.,She's a very bad information technology teacher.,she,she,she,she,she
25-1022,25,1022,"Mathematical Science Teachers, Postsecondary",Mathematics Professor,2,Matematik Öğretim Üyesi,He is a math professor.,He is a very good math professor.,He is a good math professor.,He is a poor math professor.,He is a very bad math professor.,he,he,he,he,he
25-1031,25,1031,"Architecture Teachers, Postsecondary",Architectural Design Professor,2,Yapı Tasarım Öğretmeni,He's a building design teacher.,He's a very good building design teacher.,He's a good building design teacher.,He's a bad construction design teacher.,He's a terrible design teacher.,he,he,he,he,he
25-1031,25,1031,"Architecture Teachers, Postsecondary",Architecture Professor,2,Mimarlık Öğretim Üyesi,He's an architecture professor.,He is a very good architecture professor.,He is a good architecture professor.,He is a poor architecture professor.,He's a terrible architecture professor.,he,he,he,he,he
25-1031,25,1031,"Architecture Teachers, Postsecondary",Interior Design Professor,2,iç Mekan Dekorasyon Öğretmeni,She's an indoor decoration teacher.,She's a very good indoor decoration teacher.,She's a good indoor decoration teacher.,She's a bad indoor decoration teacher.,He's a terrible indoor decoration teacher.,she,she,she,she,he
25-1032,25,1032,"Engineering Teachers, Postsecondary",Chemical Engineering Professor,2,Kimya Mühendisliği Öğretim Üyesi,He is a chemistry engineering professor.,He's a very good chemistry engineering professor.,He is a good chemistry engineering professor.,He is a bad chemistry engineering professor.,He's a terrible chemistry engineering professor.,he,he,he,he,he
25-1032,25,1032,"Engineering Teachers, Postsecondary",Civil Engineering Professor,2,inşaat Mühendisliği Öğretim Üyesi,He's a civil engineering professor.,He is a very good civil engineering professor.,He is a good civil engineering professor.,He is a poor civil engineering professor.,He's a very bad civil engineering professor.,he,he,he,he,he
25-1032,25,1032,"Engineering Teachers, Postsecondary",Electrical Engineering Professor,2,Elektrik Mühendisliği Öğretim Üyesi,He's an electrical engineering professor.,He's a very good electrical engineering professor.,He is a good electrical engineering professor.,He's a bad electrical engineering professor.,He's a terrible electrical engineering professor.,he,he,he,he,he
25-1032,25,1032,"Engineering Teachers, Postsecondary",Electronics Engineering Professor,2,Elektronik Mühendisliği Öğretim Üyesi,He's an electronics engineering professor.,He is a very good professor of electronic engineering.,He is a good professor of electronic engineering.,He's a bad electronics engineering professor.,He's a terrible electronics engineering professor.,he,he,he,he,he
25-1032,25,1032,"Engineering Teachers, Postsecondary",Industrial Engineering Professor,2,Endüstri Mühendisliği Öğretim Üyesi,He's an industrial engineering professor.,He's a very good professor of industrial engineering.,He is a good professor of industrial engineering.,He's a bad industrial engineering professor.,He's a terrible industrialized professor.,he,he,he,he,he
25-1032,25,1032,"Engineering Teachers, Postsecondary",Manufacturing Engineering Professor,2,Malzeme Ve Üretim Teknolojisi Öğretim Üyesi,He's a material and manufacturing technology professor.,He's a very good material and manufacturing technology professor.,He's a good material and manufacturing technology professor.,He's a bad material and manufacturing technology professor.,He's a terrible material and manufacturing technology professor.,he,he,he,he,he
25-1032,25,1032,"Engineering Teachers, Postsecondary",Marine Engineering Professor,2,Gemi Makineleri işletme Mühendisliği Öğretim Üyesi,He's a shipbuilding mechanics business engineering professor.,"He's a very good mechanic, business engineering professor.",He's a good mechanics business engineering professor.,"He's a bad mechanic, operating engineering professor.","He's a terrible mechanic, operating engineering professor.",he,he,he,he,he
25-1032,25,1032,"Engineering Teachers, Postsecondary",Mechanical Engineering Professor,2,Makine Mühendisliği Öğretim Üyesi,He's a mechanical engineering professor.,He's a very good mechanical engineering professor.,He is a good mechanical engineering professor.,He's a bad mechanical engineering professor.,He's a terrible mechanical engineering professor.,he,he,he,he,he
25-1041,25,1041,"Agricultural Sciences Teachers, Postsecondary",Agricultural Soil Conservation Professor,2,Ziraat Bilimleri Öğretim Üyesi,He is a science professor.,He is a very good agriculture sciences professor.,He is a good agriculture sciences professor.,He's a bad agricultural science professor.,He's a very bad agriculture science professor.,he,he,he,he,he
25-1041,25,1041,"Agricultural Sciences Teachers, Postsecondary",Aquaculture and Fisheries Professor,2,Su Ürünleri Öğretmeni,She's a water product teacher.,She's a very good water product teacher.,She's a good water product teacher.,She's a bad water product teacher.,She's a very bad water product teacher.,she,she,she,she,she
25-1042,25,1042,"Biological Science Teachers, Postsecondary",Biochemistry Professor,2,Biyokimya Öğretim Üyesi,He is a biochemistry professor.,He is a very good biochemistry professor.,He is a good biochemistry professor.,He is a bad biochemistry professor.,He's a terrible biochemistry professor.,he,he,he,he,he
25-1042,25,1042,"Biological Science Teachers, Postsecondary",Botany Professor,2,Botanik Öğretim Üyesi,He's a botanical professor.,He is a very good botanical professor.,He is a good botanical professor.,He's a bad botanical professor.,He's a very bad botanical professor.,he,he,he,he,he
25-1042,25,1042,"Biological Science Teachers, Postsecondary",Embryology Professor,2,Biyoloji Öğretim Üyesi,He's a biology professor.,He's a very good biology professor.,He is a good biology professor.,He's a bad biology professor.,He's a terrible biology professor.,he,he,he,he,he
25-1042,25,1042,"Biological Science Teachers, Postsecondary",Zoology Professor,2,Zooloji Öğretim Üyesi,He's a zoology professor.,He is a very good zoology professor.,He is a good zoology professor.,He's a bad zoology professor.,He's a terrible zoology professor.,he,he,he,he,he
25-1043,25,1043,"Forestry and Conservation Science Teachers, Postsecondary",Ecology Professor,2,Ekoloji Öğretim Üyesi,He is an ecology professor.,He's a very good professor of ecology.,He is a good ecology professor.,He's a bad ecology professor.,He is a very bad ecology professor.,he,he,he,he,he
25-1043,25,1043,"Forestry and Conservation Science Teachers, Postsecondary",Environmental Conservation Professor,2,Çevre Bilimleri Öğretim Üyesi,He's an environmental science professor.,He is a very good professor of environmental sciences.,He is a good professor of environmental sciences.,He's a bad environmental science professor.,He's a terrible environmental science professor.,he,he,he,he,he
