,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2018 SOC Code (US),Major Code,Minor Code,2018 SOC Title (US),2018 SOC Direct Match Title (US),ISCO Major Code (TR),ISCO Minor Code (TR),Translation (AWS),,,,,,,,,
19-3033,19,3033,Clinical and Counseling Psychologists,Geropsychologists,2,Psikolojik Danışman,He's a counselor.,He's a very good counselor.,He's a good counselor.,He's a bad counselor.,He's a terrible counselor.,he,he,he,he,he
19-3039,19,3039,"Psychologists, All Other",Sports Psychologist,2,Psikolog,He's a psychologist.,He's a very good psychologist.,He's a good psychologist.,He's a bad psychologist.,He's a terrible psychologist.,he,he,he,he,he
19-3041,19,3041,Sociologists,Criminologist,2,Sosyolog,He's a sociologist.,He's a very good sociologist.,He's a good sociologist.,He's a bad sociologist.,He's a terrible sociologist.,he,he,he,he,he
19-3051,19,3051,Urban and Regional Planners,City Planner,2,Şehir Plancısı,He's a city planner.,He's a very good city planner.,He's a good city planner.,He's a bad city planner.,He's a terrible city planner.,he,he,he,he,he
19-3051,19,3051,Urban and Regional Planners,Regional Planner,2,il Planlama Uzmanı,He's a provincial planning expert.,He's a very good provincial planning expert.,He's a good provincial planning expert.,He's a bad provincial planning expert.,He's a bad provincial planning expert.,he,he,he,he,he
19-3091,19,3091,Anthropologists and Archeologists,Anthropologist,2,Antropolog,He's an anthropologist.,He's a very good anthropologist.,He's a good anthropologist.,He's a bad anthropologist.,He's a terrible anthropologist.,he,he,he,he,he
19-3091,19,3091,Anthropologists and Archeologists,Archaeologist,2,Arkeolog,He's an archaeologist.,He's a very good archaeologist.,He's a good archaeologist.,He's a bad archaeologist.,He's a terrible archaeologist.,he,he,he,he,he
19-3091,19,3091,Anthropologists and Archeologists,Ethnoarchaeologist,2,Sosyal Antropolog,He's a social anthropologist.,He's a very good social anthropologist.,He's a good social anthropologist.,He's a bad social anthropologist.,He's a very bad social anthropologist.,he,he,he,he,he
19-3091,19,3091,Anthropologists and Archeologists,Physical Anthropologist,2,Fiziki Antropolog,He's a physical anthropologist.,He's a very good physical anthropologist.,He's a good physical anthropologist.,He's a bad physical anthropologist.,He's a bad physical anthropologist.,he,he,he,he,he
19-3092,19,3092,Geographers,Biogeographer,2,Coğrafyacı,He's a geographer.,He's a very good geographer.,He's a good geographer.,He's a bad geographer.,He's a very bad geographer.,he,he,he,he,he
19-3092,19,3092,Geographers,Geomorphologist,2,Jeomorfolog,He's a geomorphologist.,He's a very good geomorphologist.,He's a good geomorphologist.,He's a bad geomorphologist.,He's a terrible geomorphologist.,he,he,he,he,he
19-3092,19,3092,Geographers,GIS Geographer,2,Coğrafi Bilgi Sistemleri Uzmanı,He's a geographic information systems specialist.,He is a very good geographic information systems specialist.,He's a good geographic information systems specialist.,He's a bad geographic information systems expert.,He's a very bad geographic information systems specialist.,he,he,he,he,he
19-3093,19,3093,Historians,Genealogist,2,Tarihçi,He's a historian.,He's a very good historian.,He's a good historian.,He's a bad historian.,He's a terrible historian.,he,he,he,he,he
19-3094,19,3094,Political Scientists,Government Affairs Researcher,2,Siyaset Bilimci,He's a political scientist.,He's a very good political scientist.,He's a good political scientist.,He's a bad political scientist.,He's a terrible political scientist.,he,he,he,he,he
19-3099,19,3099,"Social Scientists and Related Workers, All Other",Demographer,2,Demograf,He's a demographer.,He's a very good demographer.,He's a good demographer.,He's a bad demographer.,He's a terrible demographer.,he,he,he,he,he
19-3099,19,3099,"Social Scientists and Related Workers, All Other",Ethnologist,2,Etnolog,He's an ethnologist.,He's a very good ethnologist.,He's a good ethnologist.,He's a bad ethnologist.,He's a very bad ethnologist.,he,he,he,he,he
19-3099,19,3099,"Social Scientists and Related Workers, All Other",Linguist,2,Dilbilimci,He's a linguist.,He's a very good linguist.,He's a good linguist.,He's a bad linguist.,He's a terrible linguist.,he,he,he,he,he
19-3099,19,3099,"Social Scientists and Related Workers, All Other",Philologist,2,Filolog ,He's a philologist.,He's a very good philologist.,He's a good philologist.,He's a bad philologist.,He's a terrible philologist.,he,he,he,he,he
19-3099,19,3099,"Social Scientists and Related Workers, All Other",Social Scientist,2,insan ve Toplum Bilimcisi,He's a human and social scientist.,He's a very good person and a sociologist.,He's a good person and a sociologist.,He's a bad person and a sociologist.,He's a very bad person and a sociologist.,he,he,he,he,he
19-4012,19,4012,Agricultural Technicians,Agronomy Technician,3,Tarla Bitkileri Teknisyeni,He's a field crops technician.,He's a very good field crops technician.,He's a good field crops technician.,He's a bad field crops technician.,He's a very bad field crops technician.,he,he,he,he,he
19-4012,19,4012,Agricultural Technicians,Artificial Breeding Technician,3,Ziraat Teknisyeni,He's an agricultural technician.,He's a very good agricultural technician.,He's a good agricultural technician.,He's a bad agricultural technician.,He's a bad agricultural technician.,he,he,he,he,he
19-4012,19,4012,Agricultural Technicians,Feed Mill Lab Technician,3,Besin Teknolojisi Teknisyeni,He's a nutritional technology technician.,He's a very good nutritional technology technician.,He's a good nutritional technology technician.,He's a bad nutritional technology technician.,He's a bad nutritional technology technician.,he,he,he,he,he
19-4012,19,4012,Agricultural Technicians,Feed Research Technician,3,Yem Teknolojisi ve Hayvan Besleme Teknikeri,He's a feed technology and animal feeding technician.,He is a very good feed technology and animal feeding technician.,He's a good feed technology and animal feeding technician.,He's a bad feed technology and animal feeding technician.,He's a very bad feed technology and animal feeding technician.,he,he,he,he,he
19-4012,19,4012,Agricultural Technicians,Seed Analyst,3,Tohumculuk Teknikeri,He's a seed technician.,He's a very good seeding technician.,He's a good seeding technician.,He's a bad seed technician.,He's a very bad seeding technician.,he,he,he,he,he
19-4013,19,4013,Food Science Technicians,Food Quality Control Technician,3,Gıda Kontrol Teknisyeni,He's a food control technician.,He's a very good food control technician.,He's a good food control technician.,He's a bad food control technician.,He's a bad food control technician.,he,he,he,he,he
19-4021,19,4021,Biological Technicians,Biochemistry Technician,3,Biyokimya Teknikeri,He's a biochemistry technician.,He's a very good biochemistry technician.,He's a good biochemistry technician.,He's a bad biochemistry technician.,He's a bad biochemistry technician.,he,he,he,he,he
19-4021,19,4021,Biological Technicians,Biology Laboratory Assistant,3,Biyoloji Laboratuvar Teknisyeni,He's a biology lab technician.,He's a very good biology lab technician.,He's a good biology lab technician.,He's a bad biology lab technician.,He's a bad biology lab technician.,he,he,he,he,he
19-4021,19,4021,Biological Technicians,Marine Fisheries Technician,3,Su Ürünleri Teknisyeni,He's an aquaculture technician.,He's a very good aquaculture technician.,He's a good aquaculture technician.,He's a bad aquaculture technician.,He's a bad aquaculture technician.,he,he,he,he,he
19-4021,19,4021,Biological Technicians,Wildlife Technician,2,Yaban Hayatı Teknikeri,He's a wildlife technician.,He's a very good wildlife technician.,He's a good wildlife technician.,He's a bad wildlife technician.,He's a terrible wildlife technician.,he,he,he,he,he
19-4031,19,4031,Chemical Technicians,Assayer,3,Kimya Teknikeri,He's a chemistry technician.,He's a very good chemistry technician.,He's a good chemistry technician.,He's a bad chemistry technician.,He's a bad chemistry technician.,he,he,he,he,he
19-4031,19,4031,Chemical Technicians,Chemical Laboratory Technician,3,Kimya Laboratuvarı Teknisyeni,He's a chemistry lab technician.,He's a very good chemistry lab technician.,He's a good chemistry lab technician.,He's a bad chemistry lab technician.,He's a bad chemistry lab technician.,he,he,he,he,he
19-4042,19,4042,"Environmental Science and Protection Technicians, Including Health",Environmental Science Technician,3,Çevre Koruma ve Kontrol Teknikeri,He's an environmental protection and control technician.,He's a very good environmental protection and control technician.,He's a good environmental protection and control technician.,He's a bad environmental protection and control technician.,He's a very bad environmental protection and control technician.,he,he,he,he,he
19-4043,19,4043,"Geological Technicians, Except Hydrologic Technicians",Mining Technician,3,Maden Teknisyeni,He's a mining technician.,He's a very good mining technician.,He's a good mining technician.,He's a bad mining technician.,He's a terrible mining technician.,he,he,he,he,he
19-4051,19,4051,Nuclear Technicians,Radiation Protection Technician,3,Radyasyon Güvenliği Teknikeri,He's a radiation safety technician.,He's a very good radiation safety technician.,He's a good radiation safety technician.,He's a bad radiation safety technician.,He's a very bad radiation safety technician.,he,he,he,he,he
19-4071,19,4071,Forest and Conservation Technicians,Forest Technician,3,Orman Teknikeri,He's a forest technician.,He's a very good forest technician.,He's a good forest technician.,He's a bad forest technician.,He's a terrible forest technician.,he,he,he,he,he
19-4092,19,4092,Forensic Science Technicians,Ballistic Technician,3,Adli Tıp Teknikeri,He's a forensic technician.,He's a very good forensic technician.,He's a good forensic technician.,He's a bad forensic technician.,He's a bad forensic technician.,he,he,he,he,he
19-4092,19,4092,Forensic Science Technicians,Crime Scene Technician,5,Olay Yeri inceleme Polisi,He's a crime scene investigation cop.,He's a very good crime scene investigation cop.,He's a good crime scene investigation cop.,He's a bad crime scene investigation cop.,He's a terrible crime scene investigation cop.,he,he,he,he,he
19-5011,19,5011,Occupational Health and Safety Specialists,Certified Industrial Hygienist,2,iş Güvenliği Uzmanı,He's an occupational safety expert.,He's a very good job safety expert.,He's a good job safety expert.,He's a bad job safety expert.,He's a bad job safety expert.,he,he,he,he,he
19-5011,19,5011,Occupational Health and Safety Specialists,Certified Professional Ergonomist,2,Meslek Sağlığı Hemşiresi,She's an occupational health nurse.,She's a very good occupational health nurse.,She's a good occupational health nurse.,She's a bad occupational health nurse.,She's a very bad occupational health nurse.,she,she,she,she,she
19-5011,19,5011,Occupational Health and Safety Specialists,Occupational Safety and Health Inspector,3,iş Sağlığı ve Güvenliği Kontrolörü,He's an occupational health and safety controller.,He's a very good occupational health and safety controller.,He's a good occupational health and safety controller.,He's a bad occupational health and safety controller.,He's a very bad occupational health and safety controller.,he,he,he,he,he
19-5012,19,5012,Occupational Health and Safety Technicians,Construction Health and Safety Technician,3,inşaat iş Sağlığı ve Güvenliği Elemanı,He is a construction worker of occupational health and safety.,He is a very good construction occupational health and safety element.,He is a good construction occupational health and safety element.,He is a bad construction occupational health and safety element.,He is a very bad construction occupational health and safety element.,he,he,he,he,he
19-5012,19,5012,Occupational Health and Safety Technicians,Environmental Health Technologist,3,Çevre Sağlığı Teknisyeni,He's an environmental health technician.,He's a very good environmental health technician.,He's a good environmental health technician.,He's a bad environmental health technician.,He's a bad environmental health technician.,he,he,he,he,he
19-5012,19,5012,Occupational Health and Safety Technicians,Occupational Health and Safety Technologist,3,iş Sağlığı Ve Güvenliği Teknikeri,He's an occupational health and safety technician.,He's a very good occupational health and safety technician.,He's a good occupational health and safety technician.,He's a bad occupational health and safety technician.,He's a very bad occupational health and safety technician.,he,he,he,he,he
21-1011,21,1011,Substance Abuse and Behavioral Disorder Counselors,Substance Abuse Counselor,2,Madde Bağımlılığı Danışmanı,He's a substance addiction advisor.,He's a very good substance addiction advisor.,He's a good substance addiction advisor.,He's a bad substance addiction advisor.,He's a very bad substance addiction advisor.,he,he,he,he,he
21-1012,21,1012,"Educational, Guidance, and Career Counselors and Advisors",Career Counselor,2,Kariyer Danışmanı,He's a career counselor.,He's a very good career counselor.,He's a good career counselor.,He's a bad career counselor.,He's a terrible career counselor.,he,he,he,he,he
21-1012,21,1012,"Educational, Guidance, and Career Counselors and Advisors",Education Counselor,2,Eğitim Danışmanı,He's an educational consultant.,He's a very good training consultant.,He's a good training consultant.,He's a bad education consultant.,He's a very bad education consultant.,he,he,he,he,he
21-1012,21,1012,"Educational, Guidance, and Career Counselors and Advisors",Guidance Counselor,2,Rehber Öğretmen,He's a guide teacher.,He's a very good guide teacher.,He's a good guide teacher.,He's a bad guide teacher.,He's a terrible guide teacher.,he,he,he,he,he
21-1012,21,1012,"Educational, Guidance, and Career Counselors and Advisors",Vocational Adviser,2,Mesleki Rehberlik Danışmanı,He's a professional guidance counselor.,He's a very good professional guidance counselor.,He's a good professional guidance counselor.,He's a bad professional guidance counselor.,He's a very bad professional guidance counselor.,he,he,he,he,he
21-1013,21,1013,Marriage and Family Therapists,Family Counselor,2,Aile Danışmanı,He's a family counselor.,He's a very good family counselor.,He's a good family counselor.,He's a bad family counselor.,He's a terrible family counselor.,he,he,he,he,he
21-1021,21,1021,"Child, Family, and School Social Workers",C-CYFSW,2,Sosyal Çalışma Uzmanı,He's a social worker.,He's a very good social worker.,He's a good social worker.,He's a bad social worker.,He's a very bad social worker.,he,he,he,he,he
21-1021,21,1021,"Child, Family, and School Social Workers",Child Protective Services Social Worker,5,Çocuk Koruma ve Bakım Hizmetleri Sağlık Teknikeri,He is a child protection and care services health technician.,He is a very good child protection and care services health technician.,He is a good child protection and care services health technician.,He's a bad child protection and care services health technician.,He is a very bad child protection and care services health technician.,he,he,he,he,he
21-1021,21,1021,"Child, Family, and School Social Workers",Family Service Caseworker,2,Aile Sosyal Destek Personeli,He's a family social support staff.,He's a very good family social support staff.,He's a good family social support staff.,He's a bad family social support staff.,He's a very bad family social support staff.,he,he,he,he,he
21-1022,21,1022,Healthcare Social Workers,Hospital Social Worker,2,Hastane Sosyal Hizmet Uzmanı,He's a hospital social worker.,He's a very good hospital social worker.,He's a good hospital social worker.,He's a bad hospital social worker.,He's a very bad hospital social worker.,he,he,he,he,he
21-1023,21,1023,Mental Health and Substance Abuse Social Workers,Psychiatric Social Worker,2,Psikiyatri Sosyal Çalışmacı,He's a psychiatric social worker.,He's a very good psychiatric social worker.,He's a good psychiatric social worker.,He's a bad psychiatric social worker.,He's a very bad psychiatric social worker.,he,he,he,he,he
21-1091,21,1091,Health Education Specialists,Certified Diabetes Educator,2,Diyabet Eğitim Hemşiresi,She's a diabetes education nurse.,She's a very good diabetes education nurse.,She's a good diabetes education nurse.,She's a bad diabetes education nurse.,She's a very bad diabetes education nurse.,she,she,she,she,she
21-1091,21,1091,Health Education Specialists,Health Educator,3,Sağlık Eğitimcisi,He's a health educator.,He's a very good health educator.,He's a good health educator.,He's a bad health educator.,He's a bad health educator.,he,he,he,he,he
21-1094,21,1094,Community Health Workers,CHW,3,Toplum Sağlığı Çalışanı,He's a community health worker.,He's a very good public health worker.,He's a good public health worker.,He's a bad public health worker.,He's a very bad public health worker.,he,he,he,he,he
21-1099,21,1099,"Community and Social Service Specialists, All Other",Community Organization Worker,2,Sosyal Hizmet Uzmanı,He's a social worker.,He's a very good social worker.,He's a good social worker.,He's a bad social worker.,He's a very bad social worker.,he,he,he,he,he
23-1011,23,1011,Lawyers,Defense Attorney,2,Dava Vekili,He's an attorney.,He's a very good lawmaker.,He's a good lawmaker.,He's a bad lawmaker.,He's a terrible lawmaker.,he,he,he,he,he
23-1011,23,1011,Lawyers,Legal Counsel,2,Hukuk Müşaviri,He's a legal counselor.,He's a very good legal counselor.,He's a good legal counselor.,He's a bad legal counselor.,He's a terrible legal counselor.,he,he,he,he,he
23-1011,23,1011,Lawyers,Probate Lawyer,2,Avukat,He's a lawyer.,He's a very good lawyer.,He's a good lawyer.,He's a bad lawyer.,He's a terrible lawyer.,he,he,he,he,he
23-1011,23,1011,Lawyers,Prosecutor,2,Savcı,He's a prosecutor.,He's a very good prosecutor.,He's a good prosecutor.,He's a bad prosecutor.,He's a terrible prosecutor.,he,he,he,he,he
23-1012,23,1012,Judicial Law Clerks,Judicial Clerk,3,Raportör,He's a reporter.,He's a very good reporter.,He's a good reporter.,He's a bad reporter.,He's a terrible reporter.,he,he,he,he,he
23-1023,23,1023,"Judges, Magistrate Judges, and Magistrates",Circuit Court Judge,2,Hakim ,He's a judge.,He's a very good judge.,He's a good judge.,He's a bad judge.,He's a terrible judge.,he,he,he,he,he
23-1023,23,1023,"Judges, Magistrate Judges, and Magistrates",Jurist,2,Hukukçu,He's a jurist.,He's a very good jurist.,He's a good lawyer.,He's a bad lawyer.,He's a terrible jurist.,he,he,he,he,he
25-1011,25,1011,"Business Teachers, Postsecondary",Accounting Professor,2,işletme Öğretmeni,He's a business teacher.,He's a very good business teacher.,He's a good business teacher.,He's a bad business teacher.,He's a bad business teacher.,he,he,he,he,he
25-1011,25,1011,"Business Teachers, Postsecondary",Banking and Finance Instructor,2,Finansman Öğretmeni,He's a finance teacher.,He's a very good finance teacher.,He's a good finance teacher.,He's a bad finance teacher.,He's a terrible finance teacher.,he,he,he,he,he
25-1011,25,1011,"Business Teachers, Postsecondary",Finance Professor,2,iktisat Öğretim Üyesi,He's an economics lecturer.,He's a very good economics lecturer.,He's a good economics lecturer.,He's a bad economics lecturer.,He's a bad economics lecturer.,he,he,he,he,he
25-1011,25,1011,"Business Teachers, Postsecondary",Marketing Instructor,2,Pazarlama Öğretmeni,He's a marketing teacher.,He's a very good marketing teacher.,He's a good marketing teacher.,He's a bad marketing teacher.,He's a terrible marketing teacher.,he,he,he,he,he
25-1021,25,1021,"Computer Science Teachers, Postsecondary",Computer Information Systems Professor,2,Bilgisayar Bilimleri Öğretim Üyesi,He's a computer science lecturer.,He's a very good computer science lecturer.,He's a good computer science lecturer.,He's a bad computer science lecturer.,He's a very bad computer science lecturer.,he,he,he,he,he
25-1021,25,1021,"Computer Science Teachers, Postsecondary",Computer Programming Professor,2,Bilgisayar Yazılımı Öğretim Üyesi,He's a computer software lecturer.,He's a very good computer software lecturer.,He's a good computer software lecturer.,He's a bad computer software lecturer.,He's a very bad computer software lecturer.,he,he,he,he,he
25-1021,25,1021,"Computer Science Teachers, Postsecondary",Information Technology Professor,2,Bilişim Teknolojileri Öğretmeni,He's an IT teacher.,He's a very good information technology teacher.,He's a good information technology teacher.,He's a bad IT teacher.,He's a bad information technology teacher.,he,he,he,he,he
25-1022,25,1022,"Mathematical Science Teachers, Postsecondary",Mathematics Professor,2,Matematik Öğretim Üyesi,He's a math lecturer.,He's a very good math lecturer.,He's a good math lecturer.,He's a bad math lecturer.,He's a bad math lecturer.,he,he,he,he,he
25-1031,25,1031,"Architecture Teachers, Postsecondary",Architectural Design Professor,2,Yapı Tasarım Öğretmeni,He's a building design teacher.,He's a very good building design teacher.,He's a good building design teacher.,He's a bad building design teacher.,He's a very bad building design teacher.,he,he,he,he,he
25-1031,25,1031,"Architecture Teachers, Postsecondary",Architecture Professor,2,Mimarlık Öğretim Üyesi,He's an architectural lecturer.,He's a very good architectural lecturer.,He's a good architectural lecturer.,He's a bad architectural lecturer.,He's a bad architectural lecturer.,he,he,he,he,he
25-1031,25,1031,"Architecture Teachers, Postsecondary",Interior Design Professor,2,iç Mekan Dekorasyon Öğretmeni,She's an interior decoration teacher.,She is a very good interior decoration teacher.,He's a good interior decoration teacher.,He's a bad interior decoration teacher.,He's a very bad interior decoration teacher.,she,she,he,he,he
25-1032,25,1032,"Engineering Teachers, Postsecondary",Chemical Engineering Professor,2,Kimya Mühendisliği Öğretim Üyesi,He's a chemical engineering lecturer.,He's a very good chemical engineering lecturer.,He's a good chemical engineering lecturer.,He's a bad chemical engineering lecturer.,He's a bad chemical engineering lecturer.,he,he,he,he,he
25-1032,25,1032,"Engineering Teachers, Postsecondary",Civil Engineering Professor,2,inşaat Mühendisliği Öğretim Üyesi,He's a civil engineering lecturer.,He's a very good civil engineering lecturer.,He's a good civil engineering lecturer.,He's a bad civil engineering lecturer.,He's a bad civil engineering lecturer.,he,he,he,he,he
25-1032,25,1032,"Engineering Teachers, Postsecondary",Electrical Engineering Professor,2,Elektrik Mühendisliği Öğretim Üyesi,He's an electrical engineering lecturer.,He's a very good electrical engineering lecturer.,He's a good electrical engineering lecturer.,He's a bad electrical engineering lecturer.,He's a bad electrical engineering lecturer.,he,he,he,he,he
25-1032,25,1032,"Engineering Teachers, Postsecondary",Electronics Engineering Professor,2,Elektronik Mühendisliği Öğretim Üyesi,He's an electronic engineering lecturer.,He's a very good lecturer in electronics engineering.,He's a good electronics engineering lecturer.,He's a bad electronics engineering lecturer.,He's a bad electronics engineering lecturer.,he,he,he,he,he
25-1032,25,1032,"Engineering Teachers, Postsecondary",Industrial Engineering Professor,2,Endüstri Mühendisliği Öğretim Üyesi,He's an industrial engineering lecturer.,He's a very good industrial engineering lecturer.,He's a good industrial engineering lecturer.,He's a bad industrial engineering lecturer.,He's a bad industrial engineering lecturer.,he,he,he,he,he
25-1032,25,1032,"Engineering Teachers, Postsecondary",Manufacturing Engineering Professor,2,Malzeme Ve Üretim Teknolojisi Öğretim Üyesi,He is a lecturer in materials and manufacturing technology.,He is a very good material and manufacturing technology lecturer.,He is a good material and manufacturing technology lecturer.,He's a bad material and a lecturer in manufacturing technology.,He's a very bad material and manufacturing technology lecturer.,he,he,he,he,he
25-1032,25,1032,"Engineering Teachers, Postsecondary",Marine Engineering Professor,2,Gemi Makineleri işletme Mühendisliği Öğretim Üyesi,He's a ship machinery business engineering lecturer.,He is a very good ship machinery business engineering lecturer.,He's a good ship machinery business engineering lecturer.,He's a bad ship machinery business engineering lecturer.,He's a very bad ship machinery business engineering lecturer.,he,he,he,he,he
25-1032,25,1032,"Engineering Teachers, Postsecondary",Mechanical Engineering Professor,2,Makine Mühendisliği Öğretim Üyesi,He's a mechanical engineering lecturer.,He's a very good mechanical engineering lecturer.,He's a good mechanical engineering lecturer.,He's a bad mechanical engineering lecturer.,He's a bad mechanical engineering lecturer.,he,he,he,he,he
25-1041,25,1041,"Agricultural Sciences Teachers, Postsecondary",Agricultural Soil Conservation Professor,2,Ziraat Bilimleri Öğretim Üyesi,He's an agricultural sciences lecturer.,He's a very good agricultural sciences lecturer.,He's a good agricultural sciences lecturer.,He's a bad agricultural sciences lecturer.,He's a very bad agricultural sciences lecturer.,he,he,he,he,he
25-1041,25,1041,"Agricultural Sciences Teachers, Postsecondary",Aquaculture and Fisheries Professor,2,Su Ürünleri Öğretmeni,He's a seafood teacher.,He's a very good teacher of aquaculture.,He's a good teacher of aquaculture.,He's a bad seafood teacher.,He's a terrible aquaculture teacher.,he,he,he,he,he
25-1042,25,1042,"Biological Science Teachers, Postsecondary",Biochemistry Professor,2,Biyokimya Öğretim Üyesi,He's a biochemistry lecturer.,He's a very good biochemistry lecturer.,He's a good biochemistry lecturer.,He's a bad biochemistry lecturer.,He's a bad biochemistry lecturer.,he,he,he,he,he
25-1042,25,1042,"Biological Science Teachers, Postsecondary",Botany Professor,2,Botanik Öğretim Üyesi,He's a botanical lecturer.,He's a very good botanical lecturer.,He's a good botanical lecturer.,He's a bad botanical lecturer.,He's a bad botanical lecturer.,he,he,he,he,he
25-1042,25,1042,"Biological Science Teachers, Postsecondary",Embryology Professor,2,Biyoloji Öğretim Üyesi,He's a biology lecturer.,He's a very good biology lecturer.,He's a good biology lecturer.,He's a bad biology lecturer.,He's a bad biology lecturer.,he,he,he,he,he
25-1042,25,1042,"Biological Science Teachers, Postsecondary",Zoology Professor,2,Zooloji Öğretim Üyesi,He's a zoology lecturer.,He's a very good zoology lecturer.,He's a good zoology lecturer.,He's a bad zoology lecturer.,He's a terrible zoology lecturer.,he,he,he,he,he
25-1043,25,1043,"Forestry and Conservation Science Teachers, Postsecondary",Ecology Professor,2,Ekoloji Öğretim Üyesi,He's an ecology lecturer.,He's a very good ecology lecturer.,He's a good ecology lecturer.,He's a bad ecology lecturer.,He's a bad ecology lecturer.,he,he,he,he,he
25-1043,25,1043,"Forestry and Conservation Science Teachers, Postsecondary",Environmental Conservation Professor,2,Çevre Bilimleri Öğretim Üyesi,He's an environmental sciences faculty member.,He's a very good environmental science lecturer.,He's a good environmental science lecturer.,He's a bad environmental science lecturer.,He's a very bad environmental science lecturer.,he,he,he,he,he
25-1051,25,1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",Geology Professor,2,Genel Jeoloji Öğretim Üyesi,He's a general geology lecturer.,He's a very good general geology lecturer.,He's a good general geology lecturer.,He's a bad general geology lecturer.,He's a bad general geology lecturer.,he,he,he,he,he
25-1051,25,1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",Meteorology Professor,2,Meteoroloji Öğretmeni,He's a meteorological teacher.,He's a very good meteorological teacher.,He's a good meteorological teacher.,He's a bad meteorological teacher.,He's a terrible meteorological teacher.,he,he,he,he,he
25-1051,25,1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",Mineralogy Professor,2,Mineraloji Ve Petrografi Öğretim Üyesi,He's a mineralogy and petrography lecturer.,He is a very good mineralogy and petrography lecturer.,He's a good mineralogy and petrography lecturer.,He's a bad mineralogy and petrography lecturer.,He's a very bad mineralogy and petrography lecturer.,he,he,he,he,he
25-1052,25,1052,"Chemistry Teachers, Postsecondary",Chemistry Professor,2,Analitik Kimya Öğretim Üyesi,He's an analytical chemistry lecturer.,He's a very good analytical chemistry lecturer.,He's a good analytical chemistry lecturer.,He's a bad analytical chemistry lecturer.,He's a bad analytical chemistry lecturer.,he,he,he,he,he
25-1053,25,1053,"Environmental Science Teachers, Postsecondary",Environmental Science Professor,2,Çevre Bilimleri Öğretim Üyesi,He's an environmental sciences faculty member.,He's a very good environmental science lecturer.,He's a good environmental science lecturer.,He's a bad environmental science lecturer.,He's a very bad environmental science lecturer.,he,he,he,he,he
25-1054,25,1054,"Physics Teachers, Postsecondary",Aerodynamics Professor,2,Fizik Bilimi Öğretim Üyesi,He's a physics lecturer.,He's a very good physics lecturer.,He's a good physics lecturer.,He's a bad physics lecturer.,He's a bad physics lecturer.,he,he,he,he,he
25-1054,25,1054,"Physics Teachers, Postsecondary",Thermodynamics Professor,2,Termodinamik Ve Enerji Öğretim Üyesi,He's a thermodynamics and energy lecturer.,He's a very good thermodynamics and energy lecturer.,He's a good thermodynamics and energy lecturer.,He's a bad thermodynamics and energy lecturer.,He's a very bad thermodynamics and energy lecturer.,he,he,he,he,he
25-1061,25,1061,"Anthropology and Archeology Teachers, Postsecondary",Cultural Anthropology Professor,2,Antropoloji Öğretim Üyesi,He's an anthropology lecturer.,He's a very good anthropology lecturer.,He's a good anthropology lecturer.,He's a bad anthropology lecturer.,He's a bad anthropology lecturer.,he,he,he,he,he
25-1061,25,1061,"Anthropology and Archeology Teachers, Postsecondary",Near East Archeology Professor,2,Arkeoloji Öğretim Üyesi,He's an archaeology lecturer.,He's a very good archaeology lecturer.,He's a good archaeology lecturer.,He's a bad archaeology lecturer.,He's a bad archaeology lecturer.,he,he,he,he,he
25-1061,25,1061,"Anthropology and Archeology Teachers, Postsecondary",Sociocultural Anthropology Professor,2,Sosyal (Kültürel) Antropoloji Öğretim Üyesi,He is a social (cultural) anthropology lecturer.,He is a very good social (cultural) anthropology lecturer.,He is a good social (cultural) anthropology lecturer.,He is a bad social (cultural) anthropology lecturer.,He is a very bad social (cultural) anthropology lecturer.,he,he,he,he,he
25-1062,25,1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",Ethnology Professor,2,Etnoloji Öğretim Üyesi,He's an ethnology lecturer.,He's a very good ethnology lecturer.,He's a good ethnology lecturer.,He's a bad ethnology lecturer.,He's a very bad ethnology lecturer.,he,he,he,he,he
25-1063,25,1063,"Economics Teachers, Postsecondary",Agricultural Economics Professor,2,Ekonomi Ve Ticaret Öğretim Üyesi,He's an economics and commerce lecturer.,He is a very good lecturer in economics and commerce.,He's a good economics and commerce lecturer.,He's a bad economics and commerce lecturer.,He's a very bad economics and commerce lecturer.,he,he,he,he,he
25-1064,25,1064,"Geography Teachers, Postsecondary",Cartography Professor,2,Kartoğrafya Öğretim Üyesi,He's a cartography lecturer.,He's a very good cartography lecturer.,He's a good cartography lecturer.,He's a bad cartography lecturer.,He's a bad cartography lecturer.,he,he,he,he,he
25-1064,25,1064,"Geography Teachers, Postsecondary",Geographic Information Systems Professor,2,Coğrafya Öğretim Üyesi,He's a geography lecturer.,He's a very good geography lecturer.,He's a good geography lecturer.,He's a bad geography lecturer.,He's a bad geography lecturer.,he,he,he,he,he
25-1064,25,1064,"Geography Teachers, Postsecondary",GIS Professor,2,Coğrafi Bilgi Sistemleri Öğretim Üyesi,He is a geographical information systems lecturer.,He is a very good geographic information systems lecturer.,He's a good geographic information systems lecturer.,He's a bad geographic information systems lecturer.,He's a very bad geographic information systems lecturer.,he,he,he,he,he
