"Source: https://esube.iskur.gov.tr/Meslek/meslek.aspx -> click on ""Tüm meslek listesini görmek için tıklayınız",
ISCO-08 KODU,MESLEK ADI
5221.09,Saatçi
5221.1,Odun Kömür Satıcısı (Mahrukatçı)
5221.11,Bakkal
5221.12,Ayakkabıcı-Ayakkabı Satış Yeri İşletme Sahibi
5221.13,Hırdavatçı
5221.14,Perdeci-İşletme Sahibi
5221.15,Kuruyemişçi
5221.16,Turşucu
5221.17,Hurdacı(Dükkan Sahibi)
5221.18,Oyuncakçı-Satış
5221.19,Aktar (Baharatçı)
5221.2,Sakatatçı
5221.21,Kuyumcu
5221.22,Ev Eksenli Çalışan
5221.23,Sahaf
5221.25,Tuhafiyeci
5221.26,Zirai Ürünler Satıcısı
5221.27,Kantin ve Açık Alan İşletmecisi
5221.28,Börekçi-Dükkan Sahibi
5221.29,Kahvehane/kıraathane İşletmecisi
5221.3,Dondurmacı
5222.01,Reyon Şefi
5222.02,Satış Pazarlama Şefi
5222.04,Satış Şefi (Hırdavat/El Aletleri)
5222.05,Satış Şefi (Isıtma-Soğutma Malzemeleri)
5222.06,Satış Şefi (Ahşap Malzemeler)
5222.07,Satış Şefi (Kağıt-Ambalaj)
5222.08,Satış Şefi (Beyaz Eşya)
5222.09,Satış Şefi (Boya Ve Malzemeleri)
5222.1,Satış Şefi (Seramik Ürünler)
5222.11,Satış Şefi (Bahçe Malzemeleri)
5222.12,Satış Şefi (Mobilya-Ev Gereçleri)
5222.13,Satış Şefi (Banyo-Batarya)
5222.14,Satış Şefi (Yer Döşemeleri)
5222.15,Satış Şefi (Aydınlatma Malzemeleri)
5222.16,Satış Şefi (Dekorasyon Malzemeleri)
5222.17,Mağaza Sorumlusu/şefi
5223.01,Ahşap Malzemeler Satış Elemanı
5223.02,Av Malzemeleri Satış Elemanı
5223.03,"Ayakkabı, Deri Ve Yan Ürünleri Satış Elemanı"
5223.04,Aydınlatma Malzemeleri Satış Elemanı
5223.05,Bahçe Malzemeleri Satış Elemanı
5223.06,Bayrak / Flama Satış Elemanı
5223.07,Beyaz Eşya Ürünleri Satış Elemanı
5223.08,Beyaz Eşya Yedek Parça Satış Elemanı
5223.09,Bilgisayar Satış Elemanı
5223.1,Boya Satış Elemanı
5223.11,Cep Telefonu Ve Aksesuarları Satış Elemanı
5223.12,Çanta Satış Elemanı
5223.13,Çiçek Düzenleyicisi
5223.14,Çiçek Satış Elemanı
5223.15,Çocuk Kıyafetleri Satış Elemanı
5223.16,Dekorasyon Malzemeleri Satış Elemanı
5223.17,Kuaför Malzemeleri Satış Elemanı
5223.18,Dondurma Satış Elemanı
5223.19,Ekmek Satış Elemanı
5223.2,El Sanatları Ürünleri Satış Elemanı
5223.21,Elektrik Ve Elektronik Malzemeleri Satış Elemanı
5223.22,Endüstriyel Temizlik Makineleri Satış Elemanı
5223.23,Et Ve Et Ürünleri Satış Elemanı
5223.24,Fotokopi Makinesi Satış Elemanı
5223.25,Gelinlik Satıcısı
5223.26,Giyim Ve Giyim Aksesuarları Satış Elemanı
5223.27,Gömlek Satış Elemanı
5223.28,Güvenlik Sistemleri Satış Elemanı
5223.29,Hac Malzemeleri Satış Elemanı
5223.3,Hırdavat Malzemeleri Satış Elemanı
5223.31,Isıtma-Soğutma Ürünleri Satış Elemanı
5223.32,İç Giyim Satış Elemanı
5223.33,İnşaat Malzemeleri Satış Elemanı
5223.34,İş Kıyafetleri Satış Elemanı
5223.35,Kamera Ve Fotoğraf Makineleri Satış Elemanı
5223.36,Kırtasiye Ve Kitap Satış Elemanı
5223.37,Kozmetik Ürünleri Satış Elemanı
5223.38,Kömür Satış Elemanı
5223.39,Kumaş Satış Elemanı
5223.4,Kuruyemiş Satış Elemanı
5223.41,Madeni Yağ Satış Elemanı
5223.42,Meyve Ve Sebze Satış Elemanı
5223.43,Mobilya Satış Elemanı
5223.44,Modül-Kart Satış Elemanı
5223.45,Motosiklet Satış Elemanı
5223.46,Müzik Aletleri Satış Elemanı
5223.47,Orman Ürünleri Satış Elemanı
5223.48,Oto Aksesuarları Satış Elemanı
5223.49,Zirai Ürünler Satış Elemanı
5223.5,Oto Lastiği Ve Jant Satış Elemanı
5223.51,Oto Satış Elemanı
5223.52,Oto Yedek Parça Satış Elemanı
5223.53,Oyuncak Satış Elemanı
5223.54,Perakende Satış Elemanı (Gıda)
5223.55,Perde Ve Mefruşat (Ev Tekstil) Satış Elemanı
5223.56,Pişmaniye Satış Elemanı
5223.57,Restoran Programı Satış Elemanı
5223.58,Reyon Görevlisi
5223.59,Saat Satış Elemanı
5223.6,Saat-Elektrikli Aletler Ve Elektronik Araçlar Satış Elemanı
5223.61,Sanayi Makineleri Satış Elemanı
5223.62,Perakende Satış Elemanı (Tezgahtar)
5223.63,Satış Danışmanı (Çelik Kapı)
5223.64,Bijuteri Ürünleri Satış Elemanı
5223.65,Hamile Giyim Satış Elemanı
5223.66,Parfümeri Satış Elemanı
5223.67,Spor Kıyafetleri Satış Elemanı
5223.68,Su Ve Deniz Ürünleri Satış Elemanı
5223.69,Süt Ve Süt Ürünleri Satış Elemanı
5223.7,Şapka Satış Elemanı
5223.71,Şarküteri Ürünleri Satış Elemanı
5223.72,Şekerleme Satış Elemanı
5223.73,Pastane Ürünleri Satış Elemanı
5223.74,Tıbbi Araçlar Satış Elemanı
5223.75,Yangın Söndürme Tüpü Satış Elemanı
5223.76,Yer Döşemeleri Satış Elemanı
5223.77,Yumurta Satış Elemanı
5223.78,Züccaciye Satış Elemanı
5223.79,Su Satış ve Dağıtım Elemanı (Damacana)
5223.8,Satış Elemanı (Toptan)
5223.81,Tarım Ürünleri Satış Elemanı
5223.82,Gümüş Eşya Satış Elemanı
5223.83,Temizlik Malzemeleri Satış Elemanı
5223.84,Simit Satış Elemanı
5223.85,Satış Görevlisi
5223.86,Sıhhi Tesisat Malzemeleri Satış Elemanı
5223.87,Fantezi Ürünleri Satış Elemanı
5223.88,Davetiye Satış Elemanı
5223.89,Seramik Satış Elemanı
5223.9,Vitrin Kuyumcusu (Satış Elemanı)
5223.91,Eczane İşçisi
5223.92,Market Elemanı
5230.01,Bilet Satış Elemanı (Gişe/banko)
5230.02,Diğer Kasadarlar
5230.03,Kasa Sorumlusu/Şefi
5230.04,Kasiyer
5230.05,Bilet Satış Elemanı (Banliyö Tren İstasyonu)
5230.06,Bilet Satış Elemanı (Uçak)
5241.01,Diğer Servis İşçileri (Manken Ve Model)
5241.02,Manken
5241.03,Canlı Model
5242.01,Tanıtım Sorumlusu (Alışveriş Merkezi)
5242.02,Kongre Ve Fuar Hostesi
5242.03,Satış Reklamcısı (Demonstratör)
5242.04,Satış Danışmanı / Uzmanı
5242.05,Promosyon Ürünleri Satış Elemanı
5242.06,Evcil Hayvan Ve Malzemeleri Satış Elemanı
5242.07,Satış Destek Elemanı (Mörş)
5242.08,Mücevherat Satış Temsilcisi
5242.09,Yazılım Satış Uzmanı
5242.1,Satış Danışmanı / Uzmanı Yardımcısı
5242.11,Kredi Kartı Pazarlama Elemanı
5242.12,Halı Açıcı
5242.13,Mekan Süsleme Elemanı
5242.14,Ürün Tanıtım Görevlisi
5242.15,Tüketici Hizmetleri Elemanı
5243.01,Kapıdan Kapıya Satış Temsilcisi
5243.02,Pazarlamacı (Telefonla)
5244.01,Sipariş Alıcı
5244.02,Tele-Satış Elemanı
5245.01,Akaryakıt Satış Elemanı (Pompacı)
5245.02,Lpg Satış Elemanı (Pompacı)
5245.03,Akaryakıt İstasyon Sorumlusu
5245.04,Akaryakıt ve Otogaz İkmal ve Dolum Elemanı
5245.05,Oto Cam Filmi Uygulama Ustası
5246.01,Yiyecek Servis Tezgahı Çalışanı
5249.03,Oto Kiralama Danışmanı
5311.01,Çocuk Bakıcısı/Çocuk Bakım Elemanı
5311.02,Evde Çocuk Bakım Elemanı
5311.03,Çocuk Bakım Elemanı (Özel Eğitim Gerektiren Bireyler)
5311.04,Çocuk Koruma ve Bakım Hizmetleri Sağlık Teknikeri
5312.01,Çocuk Gelişimi Sağlık Teknikeri
5312.02,Erken Çocuklukta Öğretmen Yardımcısı/Çocuk Bakıcısı
5312.03,Çocuk Gelişimi ve Eğitimi Elemanı
5312.04,Özel Eğitimde Yardımcı Personel / Öğretmen Yardımcısı
5321.01,Evde Hasta Bakımı Sağlık Teknikeri
5321.02,Hasta Bakımı Teknisyeni
5321.03,Hasta ve Yaşlı Bakım Elemanı
5321.04,Yaşlı Bakımı Sağlık Teknikeri
5321.05,Yaşlı Bakım Teknisyeni
5321.06,Engelli Bakımı ve Rehabilitasyon Sağlık Teknikeri
5321.07,Klinik Destek Elemanı (Hastane)
5321.08,Sağlık Bakım Teknisyeni
5322.01,Öz Bakıma Destek Elemanı
5322.03,Hasta Ve Yaşlı Refakatçisi
5322.05,Hasta Refakatçisi
5322.06,Yaşlı Refakatçisi
5329.01,Hastane Hizmetlisi
5329.02,Engelli Bakıcısı
5329.03,Sterilizasyon Görevlisi
5329.06,Sipariş Hazırlama Görevlisi (Ecza Deposu)
5329.07,Kaplıca Çamurcusu
5411.01,"Diğer,itfaiyeciler Ve İlgili İşçiler"
5411.02,İtfaiye Başçavuşu
5411.03,İtfaiye Onbaşısı
5411.04,İtfaiye Zabıta Memuru
5411.05,İtfaiyeci
5411.06,İtfaiyeci (Uçak Kazası)
5411.07,Orman İtfaiyecisi
5411.08,Yangından Mal Kurtarma Mütehassısı
5411.09,İtfaiye Çavuşu
5411.1,Yangın İlk Müdahale İşçisi
5412.01,Asayiş Polisi
5412.02,Koruyucu Güvenlik Memuru
5412.03,Terörle Mücadele Polisi
5412.04,Trafik Polisi
5412.05,Polis Memuru
5412.06,Özel Harekat Polisi
5412.07,Bomba Uzmanı (Polis)
5412.08,Çevik Kuvvet Polisi
5412.09,Eğitim Polisi
5412.1,Güvenlikpolisi
5412.11,Mali Polis
5412.12,Narkotik Polisi
5412.13,Olay Yeri İnceleme Polisi
5412.14,Organize Suçlarla Mücadele Polisi
5412.15,Çocuk Polisi
5413.01,İnfaz ve Koruma Memuru
5414.01,Lobi Karşılama Görevlisi (Otel)
5414.02,Güvenlik Görevlisi
5414.03,Savunma Ve Güvenlik Meslek Elemanı
5414.04,Güvenlik Görevlisi (Eğitim Kurumları)
5414.05,Güvenlik Görevlisi (Hastane)
5414.06,Güvenlik Görevlisi (Tren)
5414.07,Güvenlik Görevlisi (Banka)
5414.08,Vardiya Amiri - Güvenlik Hizmetleri
5414.09,Güvenlik Görevlisi (Silahlı)
5414.1,Yakın Koruma (Bodyguart)
5414.11,Güvenlik Görevlisi (Silahsız)
5414.12,Özel Güvenlik ve Koruma Meslek Elemanı
5414.13,Bekçi
5414.14,X-Ray Operatörü (Güvenlik)
5414.15,İnşaat Bekçisi
5414.16,Güvenlik Görevlisi (Kayak Pisti)
5414.17,Güvenlik Amiri/Sorumlusu
5414.18,Güvenlik Korucusu
5414.19,Özel Güvenlik (Gemi Adamı)
5414.2,Özel Güvenlik (Sualtı Adamı/Dalgıç)
5419.01,Cankurtaran
5419.02,Afet Müdahale Elemanı
5419.03,Diğer Koruyucu Güvenlik Elemanları
5419.04,Orman Muhafaza Memuru
5419.05,Kır Bekçisi
5419.06,Sivil Savunma Uzmanı
5419.07,Arama Kurtarma Teknisyeni
5419.08,Sivil Savunma Amiri
5419.09,Arama Kurtarma Uzmanı
5419.1,Atış Nezaretçisi
6111.01,Çiftçi (Tarla Ürünleri)
6111.02,Pamuk Yetiştiricisi
6111.03,Buğday Yetiştiricisi
6111.04,Pirinç Yetiştiricisi
6111.05,Bamya Yetiştiricisi
6111.06,Susam Yetiştiricisi
6111.07,Tarla Bitkileri Yetiştiricisi
6111.08,Zirai Sulamacı
6111.09,Arpa Yetiştiricisi
6111.1,Ayçiçeği  Yetiştiricisi
6111.11,Fiğ Yetiştiricisi
6111.12,Karpuz Yetiştiricisi
6111.13,Kavun Yetiştiricisi
6111.14,Mercimek Yetiştiricisi
6111.15,Mısır Yetiştiricisi
6111.16,Nohut Yetiştiricisi
6111.17,Patates Yetiştiricisi
6111.18,Soğan Yetiştiricisi
6111.19,Şeker Pancarı Yetiştiricisi
6111.2,Haşhaş Yetiştiricisi
6111.21,Yonca Yetiştiricisi
6111.22,Toprak İşleme İşçisi
6111.23,Silaj İşçisi
6111.24,Sebze Yetiştiricisi
6111.25,Organik Tarım Ürünler Üreticisi
6111.26,İlaçlamacı (Bitki Zararlıları ile Mücadele)
6111.27,Serin İklim Tahılları Yetiştiricisi
6111.28,Yulaf Yetiştiricisi
6111.29,Tritikale Yetiştiricisi
6111.3,Domates Yetiştiricisi
6111.31,Sarımsak Yetiştiricisi
6111.32,Baklagil Yem Bitkileri Yetiştiricisi
6111.33,Buğdaygil Yem Bitkileri Yetiştiricisi
6111.34,Açık Tohumlu Bitki Yetiştiricisi
6111.35,Fide Yetiştiricisi
6111.36,Örtü Altı Domates Yetiştiricisi
6111.37,Bakla Yetiştiricisi
6111.38,Bezelye Yetiştiricisi
6111.39,Biber Yetiştiricisi
6111.4,Brokoli Yetiştiricisi
6111.41,Brüksel Lahanası Yetiştiricisi
6111.42,Enginar Yetiştiricisi
6111.43,Fasulye Yetiştiricisi
6111.44,Havuç Yetiştiricisi
6111.45,Ispanak Yetiştiricisi
6111.46,Hıyar Yetiştiricisi
6111.47,Kabak Yetiştiricisi
6111.48,Karnabahar Yetiştiricisi
6111.49,Kereviz Yetiştiricisi
6111.5,Lahana Yetiştiricisi
6111.51,Patlıcan Yetiştiricisi
6111.52,Pırasa Yetiştiricisi
6111.53,Turp Yetiştiricisi
6111.54,Örtü Altı Sebze Yetiştiricisi
6111.55,Baklagil Sebzeler Yetiştiricisi
6111.56,Kolza Yetiştiricisi
6111.57,Aspir Yetiştiricisi
6111.58,Yağ Bitkileri Yetiştiricisi
6111.59,Yemeklik Dane Baklagil Yetiştiricisi
6111.6,Zambakgil Sebzeler Yetiştiricisi
6111.61,Börülce Yetiştiricisi
6112.01,Ağaç Çentikçisi (Kauçuk Hariç)
6112.02,Çay Yetiştiricisi
6112.03,"Çiftçi (Meyve Bahçesi, Üzüm Bağı,ilgili Ağaç Ve Fidanlık Ürünleri)"
6112.04,"Diğer Meyve Bahçesi, Üzüm Bağı Ve İlgili Ağaç Ve Fidanlık İşçileri"
6112.05,Asma Yetiştiricisi
6112.06,Zeytin Yetiştiricisi
6112.07,Fındık Yetiştiricisi
6112.08,Antep Fıstığı Yetiştiricisi
6112.09,Meyve Ağaçları Budamacısı
6112.1,Endüstriyel Meyve Ve Sebze Yetiştiricisi
6112.11,Tıbbi Ve Aromatik Bitkiler Yetiştiricisi
6112.12,Meyve Yetiştiricisi
6112.13,Budamacı
6112.14,Sığla Yağı İşçisi
6112.15,Ceviz Yetiştiricisi
6112.16,Meyve Bahçesi İşçisi
6112.17,Çilek Yetiştiricisi
6112.18,Zeytin Ağacı Budamacısı
6112.19,Meyve Bahçesi Gübreleme İşçisi
6112.2,Yer Fıstığı Yetiştiricisi
6112.21,Soya Yetiştiricisi
6112.22,Kiraz Yetiştiricisi
6112.23,Elma Yetiştiricisi
6112.24,Vişne Yetiştiricisi
6112.25,Turunçgil Yetiştiricisi
6112.26,Dut Yetiştiricisi
6112.27,Erik Yetiştiricisi
6112.28,Greyfurt Yetiştiricisi
6112.29,İncir Yetiştiricisi
6112.3,Kayısı Yetiştiricisi
6112.31,Kestane Yetiştiricisi
6112.32,Kivi Yetiştiricisi
6112.33,Limon Yetiştiricisi
6112.34,Malta Eriği Yetiştiricisi
6112.35,Mandarin Yetiştiricisi
6112.36,Muz Yetiştiricisi
6112.37,Nar Yetiştiricisi
6112.38,Badem Yetiştiricisi
6112.39,Portakal Yetiştiricisi
6112.4,Şeftali Yetiştiricisi
6112.41,Trabzon Hurması Yetiştiricisi
6112.42,Avokado Yetiştiricisi
6112.43,Ahududu Yetiştiricisi
6112.44,Armut Yetiştiricisi
6112.45,Böğürtlen Yetiştiricisi
6112.46,Aromatik Bitki Yetiştiricisi
6112.47,Sert Çekirdekli Meyve Yetiştiricisi
6112.48,Yumuşak Çekirdekli Meyve Yetiştiricisi
6112.49,İğne Yapraklı Ağaçlar Yetiştiricisi
6112.5,Sert Kabuklu Meyve Yetiştiricisi
6112.51,Üzümsü Meyve Yetiştiricisi
6112.52,Yaprağını Döken Süs Ağaçları Yetiştiricisi
6112.53,Fındık Budamacı
6113.01,Süs Bitkileri Yetiştiricisi
6113.02,Gül Yetiştirme İşçisi
6113.03,Çiftçi (Bahçıvan)
6113.04,Diğer Fidanlık İşçileri Ve Bahçıvanlar
6113.05,Fidan Yetiştiricisi
6113.06,Seracı
6113.07,Peyzaj Bahçıvanı
6113.08,Çiçek Yetiştirme İşçisi
6113.09,Toprak/ Zemin Tesviye İşçisi
6113.1,Bahçıvan
6113.11,Tarım Çavuşu
6113.12,Tarım Kısım Şefi
6113.13,Mantar Yetiştiricisi
6113.14,Lale Yetiştirme İşçisi
6113.15,"Aşıcı (Bağ, Bahçe Ve Meyve Ağaçları)"
6113.16,Dikim İşçisi (Bahçecilik)
6113.17,İç Mekan Süs Bitkileri Yetiştiricisi
6113.18,Dış Mekan Bitkileri Yetiştiricisi
6113.19,Kesme Çiçek Yetiştiricisi
6113.2,Bağ Budama İşçisi
6113.21,Florakültör
6113.22,Bahçe Bakım Elemanı(Park Bahçe ve Koruların Bakımı)
6113.23,Söküm İşçisi (Bahçecilik)
6113.24,Eğrelti Yetiştiricisi
6113.25,Hüsnüyusuf Yetiştiricisi
6113.26,Kapalı Tohumlu Bitki Yetiştiricisi
6113.27,Karanfil Yetiştiricisi
6113.28,Kasımpatı Yetiştiricisi
6113.29,Nergis Yetiştiricisi
6113.3,Orkide Yetiştiricisi
6113.31,Otsu Yer Örtücüler Yetiştiricisi
6113.32,Sarılıcı- Tırmanıcı Bitkiler Yetiştiricisi
6113.33,Sümbül Yetiştiricisi
6113.34,Süs Ağaçları Yetiştiricisi
6113.35,Gerbera Yetiştiricisi
6113.36,Süs Çalıları Yetiştiricisi
6113.37,Şebboy Yetiştiricisi
6113.38,Bağ Fidanı Yetiştiricisi
6113.39,Bağ Aşılamacı
6113.4,Çelik Aşı ve Doku Kültürü Yöntemiyle Kesme Çiçek Yetiştiricisi
6113.41,Çiçekleri Gösterişli İç Mekân Süs Bitkileri Yetiştiricisi
6113.42,Çiçeklerinden Faydalanılan İlaç ve Baharat Bitkileri Yetiştiricisi
6113.43,Çok Yıllık Çiçek Yetiştiricisi
6113.44,Tek Yıllık Çiçek Yetiştiricisi
6113.45,Dekoratif Yapraklı İç Mekân Süs Bitkileri Yetiştiricisi
6113.46,Endüstri Bitkileri Yetiştiricisi
6113.47,İlaç ve Baharat Bitkileri Yetiştiricisi
6113.48,Çayır Mera ve Yem Bitkileri Yetiştiricisi
6113.49,Kaya Bahçesi Bitkileri Yetiştiricisi
6113.5,Kesme Yeşillik Yetiştiricisi
6113.51,Keyif Bitkileri Yetiştiricisi
6113.52,Küçük Ağaç ve Çalılar Yetiştiricisi
6113.53,Lif Bitkileri Yetiştiricisi
6113.54,Meyve Ağaçlarında Aşılamacı
6113.55,Meyve Fidanı Üreticisi
6113.56,Meyvelerinden Faydalanılan İlaç Ve Baharat Bitkileri Yetiştircisi
6113.57,Sarmaşık Ve Sürünücü Bitkiler Yetiştircisi
6113.58,Sebze Fidesi Üreticisi
6113.59,Soğanlı Kesme Çiçek Yetiştiricisi
6113.6,Su Kenarı Ve Su İçi Süs Bitkileri Yetiştiricisi
6113.61,Sukulent Etli Yapraklı İç Mekân Süs Bitkileri Yetiştiricisi
6113.62,Süs Bitkileri Fidesi Yetiştiricisi
6113.63,Süs Bitkilerinde Budamacı
6113.64,Şeker Ve Nişasta Bitkileri Yetiştiricisi
6113.65,Şemsiye Çiçekli Sebzeler Yetiştiricisi
6113.66,Tahıl Yetiştiricisi
6113.67,Çit Bitkileri Yetiştiricisi
6113.68,Tohumla Üretilen Kesme Çiçek Yetiştiricisi
6113.69,Tohumlarından Faydalanılan İlaç Ve Baharat Bitkileri Yetiştiricisi
6113.7,Yapraklarından Faydalanılan İlaç Ve Baharat Bitkileri Yetiştiricisi
6113.71,Safran Yetiştiricisi
6114.01,Tütün Yetiştiricisi
6114.02,Meyve Ve Sebze Yetiştiricisi (Sera)
6114.03,Sebze Yetiştirme İşçisi (Topraksız Tarım)
6121.01,Atçılık İşletmeciliği Meslek Elemanı
6121.02,Çiftçi (Hayvancılık)
6121.03,Süt Hayvanları Yetiştiricisi
6121.04,Hara İşçisi
6121.05,Domuz Yetiştiricisi
6121.06,Keçi Yetiştiricisi
6121.07,Sığır Yetiştiricisi
6121.08,Koyun Yetiştiricisi
6121.09,Sağım İşçisi (Elle)
6121.1,Sağım İşçisi (Makine İle)
6121.11,Süthane İşçisi
6121.12,Çoban/Sürü Yönetim Elemanı (Küçükbaş Hayvan)
6121.13,Çoban/Sürü Yönetim Elemanı (Büyükbaş Hayvan)
6121.14,Kırkıcı
6121.15,Diğer Süthane İşçileri
6121.16,Diğer Süthane/mandıra İşçileri
6121.17,Seyis
6121.18,Süt Sığırı Yetiştiricisi
6121.19,At Yetiştiricisi
6121.2,Köpek Yetiştiricisi
6121.21,Hayvan Bakıcısı
6121.22,Celep
6121.23,Manda Yetiştiricisi
6122.01,Çiftçi (Kümes Hayvanları)
6122.02,Diğer Kümes Hayvanları İşçileri
6122.03,Kuluçka Tesisi İşçisi
6122.04,Kümes Hayvanları Yetiştirme İşçisi (Genel)
6122.05,Tavşan Yetiştirme İşçisi
6122.06,Kümes Bakım İşçisi
6122.07,Kümes Hayvanları Toplama İşçisi
6122.08,Kümes Hayvanları Yükleme İşçisi
6122.09,Yumurtacı Tavuk Yetiştiricisi
6122.1,Deve Kuşu Yetiştiricisi
6122.11,Hindi Yetiştiricisi
6122.12,Kaz ve Öredek Yetiştiricisi
6122.13,Bıldırcın ve Keklik Yetiştiricisi
6122.14,Etlik ve Damızlık Tavuk Yetiştiricisi
6122.15,Güvercin Yetiştiricisi
6122.16,Çinçilla Yetiştiricisi
6123.01,Arıcı
6123.02,İpek Böcekçiliği İşçisi
6129.01,Diğer Hayvan Yetiştirme İşçileri
6129.02,Diğer Uzman Çiftçiler (Hayvan)
6129.03,Hayvan Yetiştirme İşçisi (Kürklü Hayvanlar)
6129.04,Sperm Alma İşçisi
6129.05,Salyangoz Yetiştiricisi
6129.06,Kültür Solucanı Yetiştiricisi ve Vermikompost (Solucan Dışkısı)Üreticisi
6130.01,Çiftçi (Pazara Yönelik)
6130.02,Çiftlik İşçisi (Genel)
6130.03,Diğer Hayvan Yetiştiricileri Ve Tarım İşçileri
6130.05,Çiftlik Nezaretçisi (Kahya)
6210.01,Ağaç Kesme ve Boylama Operatörü
6210.02,Ağaç Tahmin Ve İşaretleyicisi (Maktacı)
6210.03,Diğer Orman İşçileri
6210.04,Diğer Tomrukçular
6210.05,Nehir Sürücüsü-Tomrukçuluk
6210.06,Orman Nezaretçisi
6210.07,Tırmanıcı-Tomrukçuluk
6210.08,Tomrukçu
6210.09,Sürütme ve Yükleme İşçisi
6210.1,Orman Ürünleri İstifleme İşçisi
6210.11,Odun Kömürü Ocakçısı-Orman
6210.12,Orman Gözetleme ve Haberleşme İşçisi
6221.01,Deniz Balıkları Üreticisi
6221.02,İstiridye Çiftliği İşçisi
6221.03,Tatlı Su Balıkları Üreticisi
6221.04,Alabalık Yetiştiricisi
6221.05,Su Ürünleri İşlemecisi
6221.06,Su Ürünleri Üreticisi
6221.07,Akvaryum Balıkları Üreticisi
6222.01,Balıkçı Gemisi Kaptanı
6222.02,Diğer Balıkçılar
6222.03,İç Sular Ve Kıyı Balıkçısı
6223.01,Açık Deniz Balıkçısı
6224.01,Avcı (Ateşli Silah-Tuzakla)
6224.02,Diğer Avcılar
6310.01,Sabun İmalatçısı (Geleneksel Yöntemlerle)
6310.02,Mis Sabun Üretim İşçisi
6320.01,Kendi Geçimine Yönelik Çiftlik Hayvanı Yetiştiricisi
6330.01,Çiftçi (Kendi Geçimine Yönelik) -Karma Bitki Ve Çiftlik Hayvanları
6340.01,Kendi Geçimine Yönelik Balıkçı
6340.02,Kendi Geçimine Yönelik Dalgıç
6340.03,Kendi Geçimine Yönelik Toplayıcı
6340.04,Kendi Geçimine Yönelik Tuzakçı
6340.05,Mantar Toplayıcısı
7111.01,Ev İnşaatçıları (Ev Ve Benzeri Küçük Yapılar)
7111.02,İnşaat Ustası
7112.01,Derz İşçisi
7112.02,"Diğer Tuğla Örücüler, Taş Duvarcılar"
7112.03,Duvarcı
7112.04,Kaldırım İşçisi
7112.05,Moloz Döşeyici
7112.06,Taş Duvarcı-İnşaat
7112.07,Tuğla Örücü (Ateş Tuğlası)
7112.08,Tuğla Örücü (Baca İnşaatı)
7112.09,Şömine Ustası
7112.1,Tandır Ocağı Ustası
7112.11,Tuğla Baca Bakım-Onarımcısı
7112.12,Refrakter Ustası
7112.13,Refrakterci
7112.14,Baca-Yağlı Kanal Temizleme Personeli
7113.01,Diğer Taş Kesme Ve Oyma İşçileri
7113.02,Matkap İşçisi (Taş)
7113.03,"Taş Ayırıcı (Mermer, Granit)"
7113.04,Taş Harf Oyma İşçisi (Elle)
7113.05,Taş Oyma İşçisi (Elle)
7113.06,Taş Parçalayıcısı
7113.07,Taş Perdah İşçisi (Elle)
7113.08,Taş Taşlama İşçisi
7113.09,Taş Yontma İşçisi
7113.1,Yontma Ve İnşa İşçisi-Abide
7113.11,Taş Yapı Ustası (Restorasyon)
7113.12,Minare Ustası
7113.13,Mermer İşçisi
7113.14,Mermerci Ve Süsleme Taşçısı
7113.15,Mezar Yapım Ustası
7113.16,Granit Döşeme Ustası
7113.17,Mermer-Doğaltaş Özel İmalat Elemanı
7114.01,Beton Direk Kalıp Hazırlama İşçisi
7114.02,Beton Direk Kalıp Açma İşçisi
7114.03,Beton Direk Ve Travers Demiri İşçisi
7114.04,Betonarme Demircisi
7114.05,Betonarmeci
7114.06,"Diğer Betonarmeciler, Şap İşçileri Ve Mozaik (Terrazo) İşçileri"
7114.07,İnşaat Kalıpçısı (Ahşap)
7114.08,Mozaik Ustası
7114.09,Şap İşçisi
7114.1,Tünel Kalıpçı-İnşaat
7114.11,Beton Ve Betonarme Kalıpçısı
7114.12,Mastar İşçisi (Beton Dökümü)
7114.13,Gaz Beton Kalıp Temizleme Ve Yağlama İşçisi
7114.14,Gazbeton Ayıklama/paketleme İşçisi
7114.15,Panel Kalıpçı
7114.16,Ön Dökümlü Beton Üretim Hattı Sorumlusu
7114.17,Ön Dökümlü Beton Eleman Montajcısı
7114.18,Ön Dökümlü Beton Kürcüsü
7114.19,Ön Dökümlü Beton Öngermecisi
7114.2,Ahşap Kalıpçı
7115.01,Ahşap Doğrama Ve Kaplamacısı
7115.02,Ahşap Üst Yüzey İşlemcisi
7115.03,Ahşap Şekillendirmeci
7115.04,Ağaç Gemi Yapım İşçisi
7115.05,Ağaç Kayık Yapım İşçisi
7115.06,Ahşap Doğrama İmalatçısı
7115.07,Atölye Marangozu
7115.08,Diğer Marangozlar Ve Doğramacılar
7115.09,Gemi Doğramacısı
7115.1,Gemi Marangozu
7115.11,İnşaat Marangozu
7115.12,Marangoz
7115.13,Marangoz-Makinelerin Ağaç Aksamı
7115.14,Akrilik Tezgah Ustası
7115.15,Sahne Ve Stüdyo Marangozu
7115.16,Uçak Doğramacısı
7115.17,Yol Marangozu
7115.18,Sahne Aksesuarcısı
7115.19,Butaforcu (Sahne Sanatları)
7115.2,Sahne Makinisti (Set İşçisi)
7115.21,Çerçeve İmalatçısı(Plastik/Ahşap/Metal)
7115.22,Ahşap Yat Ve Tekne Yapımcısı
7115.23,Fiberglasçı
7115.24,Ahşap Ambalaj İşçisi
7115.25,Maran Ustası
