Source: https://www.bls.gov/soc/2018/home.htm - Direct match tile file,,,,
U.S. Bureau of Labor Statistics,,,,
On behalf of the Office of Management and Budget (OMB) and the Standard Occupational Classification Policy Committee (SOCPC),,,,
,,,,
"November 2017 (Updated April 15, 2020)",,,,
,,,,
***Questions should be emailed to soc@bls.gov***,,,,
,,,,
2018 SOC Code,2018 SOC Title,2018 SOC Direct Match Title,Illustrative Example,
17-2199,"Engineers, All Other",Coastal Engineer,,
17-2199,"Engineers, All Other",Corrosion Control Engineer,,
17-2199,"Engineers, All Other",Mathematical Engineer,,
17-2199,"Engineers, All Other",Mechatronics Engineer,,
17-2199,"Engineers, All Other",Metrologist,x,
17-2199,"Engineers, All Other",Ocean Engineer,,
17-2199,"Engineers, All Other",Optical Engineer,x,
17-2199,"Engineers, All Other",Ordnance Engineer,x,
17-2199,"Engineers, All Other",Photonics Engineer,x,
17-2199,"Engineers, All Other",Salvage Engineer,x,
17-3011,Architectural and Civil Drafters,Architectural Drafter,,
17-3011,Architectural and Civil Drafters,Building Drafter,x,
17-3011,Architectural and Civil Drafters,Civil Computer-Aided Design and Drafting Technician,x,
17-3011,Architectural and Civil Drafters,Civil Drafter,,
17-3011,Architectural and Civil Drafters,Structural Drafter,x,
17-3012,Electrical and Electronics Drafters,Circuit Board Drafter,,
17-3012,Electrical and Electronics Drafters,Electrical Computer Aided Design and Drafting Technician,x,
17-3012,Electrical and Electronics Drafters,Electrical Drafter,,
17-3012,Electrical and Electronics Drafters,Electrical Systems Drafter,x,
17-3012,Electrical and Electronics Drafters,Electronic Drafter,,
17-3012,Electrical and Electronics Drafters,Printed Circuit Board Drafter,x,
17-3013,Mechanical Drafters,Aeronautical Drafter,x,
17-3013,Mechanical Drafters,Automotive Design Drafter,x,
17-3013,Mechanical Drafters,Die Designer,,
17-3013,Mechanical Drafters,Gage Designer,,
17-3013,Mechanical Drafters,Mechanical Design Drafter,,
17-3013,Mechanical Drafters,Tool and Die Designer,x,
17-3013,Mechanical Drafters,Tool Designer,,
17-3019,"Drafters, All Other",Blueprint Tracer,x,
17-3019,"Drafters, All Other",Drafting Layout Worker,,
17-3019,"Drafters, All Other",Draughtsman,,
17-3019,"Drafters, All Other",Geological Drafter,x,
17-3019,"Drafters, All Other",Marine Drafter,x,
17-3021,Aerospace Engineering and Operations Technologists and Technicians,Aerospace Engineering and Operations Technologist,,
17-3021,Aerospace Engineering and Operations Technologists and Technicians,Altitude Chamber Technician,x,
17-3021,Aerospace Engineering and Operations Technologists and Technicians,Flight Data Technician,x,
17-3021,Aerospace Engineering and Operations Technologists and Technicians,Wind Tunnel Technician,x,
17-3022,Civil Engineering Technologists and Technicians,Civil Engineering Technician,,
17-3022,Civil Engineering Technologists and Technicians,Civil Engineering Technologist,,
17-3022,Civil Engineering Technologists and Technicians,Concrete Engineering Technician,,
17-3022,Civil Engineering Technologists and Technicians,Geotechnical Engineering Technician,x,
17-3022,Civil Engineering Technologists and Technicians,Highway Engineering Technician,x,
17-3022,Civil Engineering Technologists and Technicians,Structural Engineering Technician,x,
17-3022,Civil Engineering Technologists and Technicians,Transportation Engineering Technician,,
17-3023,Electrical and Electronic Engineering Technologists and Technicians,Electrical and Electronic Engineering Technologist,,
17-3023,Electrical and Electronic Engineering Technologists and Technicians,Electrical Design Technician,x,
17-3023,Electrical and Electronic Engineering Technologists and Technicians,Electrical Engineering Technician,,
17-3023,Electrical and Electronic Engineering Technologists and Technicians,Electrical Power Station Technician,,
17-3023,Electrical and Electronic Engineering Technologists and Technicians,Electronic Instrument Testing Technician,,
17-3023,Electrical and Electronic Engineering Technologists and Technicians,Lighting Engineering Technician,x,
17-3023,Electrical and Electronic Engineering Technologists and Technicians,Programmable Logic Controller Programmer,,
17-3023,Electrical and Electronic Engineering Technologists and Technicians,Semiconductor Development Technician,x,
17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,Electo-Mechanical and Mechatronics Technologist,,
17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,Mechatronics Technician,x,
17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,Remotely Piloted Vehicle Engineering Technician,x,
17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,Robotics Testing Technician,x,
17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,Unmanned Aerial Vehicle Operator,,
17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,Unmanned Air Systems Operator,x,
17-3025,Environmental Engineering Technologists and Technicians,Air Analysis Engineering Technician,x,
17-3025,Environmental Engineering Technologists and Technicians,Environmental Engineering Technologist,,
17-3025,Environmental Engineering Technologists and Technicians,Environmental Remediation Engineering Technician,x,
17-3025,Environmental Engineering Technologists and Technicians,Environmental Technician,,
17-3025,Environmental Engineering Technologists and Technicians,Pollution Control Engineering Technician,x,
17-3026,Industrial Engineering Technologists and Technicians,Industrial Engineering Technician,,
17-3026,Industrial Engineering Technologists and Technicians,Industrial Engineering Technologist,,
17-3026,Industrial Engineering Technologists and Technicians,Motion Study Technician,x,
17-3026,Industrial Engineering Technologists and Technicians,Production Control Technologist,x,
17-3026,Industrial Engineering Technologists and Technicians,Time Study Technician,x,
17-3026,Industrial Engineering Technologists and Technicians,Time Study Technologist,,
17-3027,Mechanical Engineering Technologists and Technicians,Gyroscopic Engineering Technician,x,
17-3027,Mechanical Engineering Technologists and Technicians,Heat Transfer Technician,x,
17-3027,Mechanical Engineering Technologists and Technicians,Hydraulic Technician,,
17-3027,Mechanical Engineering Technologists and Technicians,Mechanical Engineering Technician,,
17-3027,Mechanical Engineering Technologists and Technicians,Mechanical Engineering Technologist,,
17-3027,Mechanical Engineering Technologists and Technicians,Optomechanical Technician,x,
17-3028,Calibration Technologists and Technicians,Calibration Technician,x,
17-3028,Calibration Technologists and Technicians,Calibration Technologist,x,
17-3028,Calibration Technologists and Technicians,Hydrometer Calibrator,x,
17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",Agricultural Engineering Technician,x,
17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",Agricultural Engineering Technologist,,
17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",Biomedical Engineering Technician,x,
17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",Biomedical Engineering Technologist,,
17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",Chemical Engineering Technician,,
17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",Chemical Engineering Technologist,,
17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",Marine Engineering Technician,,
17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",Marine Engineering Technologist,,
17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",Materials Engineering Technician,,
17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",Materials Engineering Technologist,,
17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",Metallurgical Engineering Technician,x,
17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",Metallurgical Engineering Technologist,,
17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",Non-Destructive Testing Specialist,,
17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",Nuclear Engineering Technician,,
17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",Nuclear Engineering Technologist,,
17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",Optical Engineering Technician,x,
17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",Optical Engineering Technologist,,
17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",Ordnance Engineering Technician,,
17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",Ordnance Engineering Technologist,,
17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",Radar Technicians,x,
17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",Salvage Engineering Technician,,
17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",Salvage Engineering Technologist,,
17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",Sonar Technicians,x,
17-3031,Surveying and Mapping Technicians,Cartographic Aide,,
17-3031,Surveying and Mapping Technicians,Cartographic Technician,x,
17-3031,Surveying and Mapping Technicians,Field Map Technician,x,
17-3031,Surveying and Mapping Technicians,Geophysical Prospecting Surveying Technician,,
17-3031,Surveying and Mapping Technicians,GIS Mapping Technician,x,
17-3031,Surveying and Mapping Technicians,Mapping Technician,,
17-3031,Surveying and Mapping Technicians,Mineral Surveying Technician,,
17-3031,Surveying and Mapping Technicians,Surveying Technician,,
17-3031,Surveying and Mapping Technicians,Topography Technician,,
19-1011,Animal Scientists,Animal Geneticist,,
19-1011,Animal Scientists,Animal Nutritionist,x,
19-1011,Animal Scientists,Beef Cattle Nutritionist,,
19-1011,Animal Scientists,Dairy Scientist,x,
19-1011,Animal Scientists,Poultry Scientist,x,
19-1011,Animal Scientists,Swine Genetics Researcher,,
19-1012,Food Scientists and Technologists,Dairy Bacteriologist,x,
19-1012,Food Scientists and Technologists,Enologist,x,
19-1012,Food Scientists and Technologists,Food Preservation Scientist,,
19-1012,Food Scientists and Technologists,Food Processing Scientist,,
19-1012,Food Scientists and Technologists,Food Safety Scientist,x,
19-1012,Food Scientists and Technologists,Food Scientist,,
19-1012,Food Scientists and Technologists,Food Technologist,,
19-1013,Soil and Plant Scientists,Agriculturist,,
19-1013,Soil and Plant Scientists,Agronomist,,
19-1013,Soil and Plant Scientists,Arboreal Scientist,x,
19-1013,Soil and Plant Scientists,Crop Nutrition Scientist,,
19-1013,Soil and Plant Scientists,Floriculturist,,
19-1013,Soil and Plant Scientists,Horticulturist,x,
19-1013,Soil and Plant Scientists,Plant Physiologist,x,
19-1013,Soil and Plant Scientists,Plant Scientist,,
19-1013,Soil and Plant Scientists,Pomologist,,
19-1013,Soil and Plant Scientists,Soil Fertility Extension Specialist,,
19-1013,Soil and Plant Scientists,Soil Scientist,,
19-1013,Soil and Plant Scientists,Viticulturist,,
19-1021,Biochemists and Biophysicists,Biochemist,,
19-1021,Biochemists and Biophysicists,Biological Chemist,x,
19-1021,Biochemists and Biophysicists,Biophysicist,,
19-1021,Biochemists and Biophysicists,Clinical Biochemist,x,
19-1021,Biochemists and Biophysicists,Physical Biochemist,x,
19-1022,Microbiologists,Bacteriologist,x,
19-1022,Microbiologists,Clinical Microbiologist,,
19-1022,Microbiologists,Medical Microbiologist,,
19-1022,Microbiologists,Microbiological Analyst,,
19-1022,Microbiologists,Public Health Microbiologist,x,
19-1022,Microbiologists,Quality Control Microbiologist,,
19-1022,Microbiologists,Virologist,x,
19-1023,Zoologists and Wildlife Biologists,Aquatic Biologist,,
19-1023,Zoologists and Wildlife Biologists,Entomologist,,
19-1023,Zoologists and Wildlife Biologists,Fish Culturist,,
19-1023,Zoologists and Wildlife Biologists,Fishery Biologist,,
19-1023,Zoologists and Wildlife Biologists,Herpetologist,x,
19-1023,Zoologists and Wildlife Biologists,Ichthyologist,x,
19-1023,Zoologists and Wildlife Biologists,Lepidopterist,,
19-1023,Zoologists and Wildlife Biologists,Marine Biologist,x,
19-1023,Zoologists and Wildlife Biologists,Migratory Game Bird Biologist,,
19-1023,Zoologists and Wildlife Biologists,Ornithologist,x,
19-1023,Zoologists and Wildlife Biologists,Protozoologist,,
19-1023,Zoologists and Wildlife Biologists,Wildlife Biologist,,
19-1029,"Biological Scientists, All Other",Biologist,,
19-1029,"Biological Scientists, All Other",Bryologist,,
19-1029,"Biological Scientists, All Other",Embryologist,x,
19-1029,"Biological Scientists, All Other",Osteologist,x,
19-1029,"Biological Scientists, All Other",Paleobotanist,x,
19-1029,"Biological Scientists, All Other",Phytopathologist,,
19-1029,"Biological Scientists, All Other",Plant Etiologist,,
19-1031,Conservation Scientists,Conservation Science Officer,,
19-1031,Conservation Scientists,Grassland Conservationist,x,
19-1031,Conservation Scientists,Land Reclamation Specialist,,
19-1031,Conservation Scientists,Land Resource Specialist,,
19-1031,Conservation Scientists,Range Conservationist,,
19-1031,Conservation Scientists,Range Ecologist,x,
19-1031,Conservation Scientists,Range Scientist,,
19-1031,Conservation Scientists,Resource Conservationist,,
19-1031,Conservation Scientists,Soil Conservationist,x,
19-1031,Conservation Scientists,Water Conservationist,,
19-1032,Foresters,Environmental Protection Forester,x,
19-1032,Foresters,Forest Ecologist,x,
19-1032,Foresters,Forestry Scientist,,
19-1032,Foresters,Land Management Forester,,
19-1032,Foresters,Operations Forester,,
19-1032,Foresters,Resource Forester,,
19-1032,Foresters,Service Forester,,
19-1032,Foresters,Timber Management Specialist,x,
19-1032,Foresters,Urban Forester,,
19-1041,Epidemiologists,Clinical Epidemiologist,,
19-1041,Epidemiologists,Communicable Disease Specialist,,
19-1041,Epidemiologists,Environmental Epidemiologist,,
19-1041,Epidemiologists,Epidemiology Investigator,x,
19-1041,Epidemiologists,Malariologist,x,
19-1041,Epidemiologists,Medical Epidemiologist,,
19-1041,Epidemiologists,Pharmacoepidemiologist,x,
19-1042,"Medical Scientists, Except Epidemiologists",Cancer Researcher,x,
19-1042,"Medical Scientists, Except Epidemiologists",Clinical Pharmacologist,,
19-1042,"Medical Scientists, Except Epidemiologists",Gerontologist,,
19-1042,"Medical Scientists, Except Epidemiologists",Histopathologist,,
19-1042,"Medical Scientists, Except Epidemiologists",Immunochemist,x,
19-1042,"Medical Scientists, Except Epidemiologists",Industrial Pharmacist,,
19-1042,"Medical Scientists, Except Epidemiologists",Medical Health Researcher,,
19-1042,"Medical Scientists, Except Epidemiologists",Medical Research Scientist,,
19-1042,"Medical Scientists, Except Epidemiologists",Medical Scientist,,
19-1042,"Medical Scientists, Except Epidemiologists",Neuroscientist,,
19-1042,"Medical Scientists, Except Epidemiologists",Pharmacologist,,
19-1042,"Medical Scientists, Except Epidemiologists",Serologist,,
19-1042,"Medical Scientists, Except Epidemiologists",Toxicologist,x,
19-1099,"Life Scientists, All Other",Life Science Taxonomist,x,
19-2011,Astronomers,Astrophysicist,x,
19-2011,Astronomers,Cosmologist,x,
19-2011,Astronomers,Extragalactic Astronomer,,
19-2011,Astronomers,Galactic Astronomer,,
19-2011,Astronomers,High-energy Astrophysicist,,
19-2011,Astronomers,Optical Astronomer,,
19-2011,Astronomers,Planetary Astronomer,,
19-2011,Astronomers,Radio Astronomer,,
19-2011,Astronomers,Solar Astronomer,,
19-2011,Astronomers,Stellar Astronomer,,
19-2011,Astronomers,Theoretical Astronomer,,
19-2012,Physicists,Computational Physicist,,
19-2012,Physicists,Condensed Matter Physicist,,
19-2012,Physicists,Fluid Dynamicist,x,
19-2012,Physicists,Health Physicist,,
19-2012,Physicists,Mathematical Physicist,,
19-2012,Physicists,Medical Physicist,,
19-2012,Physicists,Molecular Physicist,x,
19-2012,Physicists,Nuclear Physicist,,
19-2012,Physicists,Optical Scientist,x,
19-2012,Physicists,Plasma Physicist,,
19-2012,Physicists,Research Physicist,,
19-2012,Physicists,Rheologist,x,
19-2012,Physicists,Thermodynamic Physicist,,
19-2012,Physicists,Thermodynamicist,,
19-2021,Atmospheric and Space Scientists,Atmospheric Chemist,x,
19-2021,Atmospheric and Space Scientists,Atmospheric Scientist,,
19-2021,Atmospheric and Space Scientists,Climatologist,x,
19-2021,Atmospheric and Space Scientists,Hurricane Tracker,x,
19-2021,Atmospheric and Space Scientists,Meteorologist,x,
19-2021,Atmospheric and Space Scientists,Oceanographic Meteorologist,,
19-2021,Atmospheric and Space Scientists,Space Scientist,,
19-2021,Atmospheric and Space Scientists,Storm Chaser,,
19-2021,Atmospheric and Space Scientists,Tornado Chaser,,
19-2021,Atmospheric and Space Scientists,Warning Coordination Meteorologist,,
19-2021,Atmospheric and Space Scientists,Weather Analyst,,
19-2021,Atmospheric and Space Scientists,Weather Forecaster,,
19-2021,Atmospheric and Space Scientists,Weatherman,,
19-2031,Chemists,Agricultural Chemist,,
19-2031,Chemists,Analytical Chemist,,
19-2031,Chemists,Bench Chemist,,
19-2031,Chemists,Food Chemist,x,
19-2031,Chemists,Formulary Chemist,,
19-2031,Chemists,Industrial Chemist,x,
19-2031,Chemists,Inorganic Chemist,x,
19-2031,Chemists,Laboratory Chemist,,
19-2031,Chemists,Nuclear Chemist,,
19-2031,Chemists,Organic Chemist,,
19-2031,Chemists,Quality Control Chemist,,
19-2031,Chemists,Research and Development Chemist,x,
19-2032,Materials Scientists,Metal Alloy Scientist,x,
19-2032,Materials Scientists,Plastics Scientist,x,
19-2041,"Environmental Scientists and Specialists, Including Health",Ecological Modeler,,
19-2041,"Environmental Scientists and Specialists, Including Health",Environmental Analyst,,
19-2041,"Environmental Scientists and Specialists, Including Health",Environmental Scientist,,
19-2041,"Environmental Scientists and Specialists, Including Health",Hazardous Substances Scientist,x,
19-2041,"Environmental Scientists and Specialists, Including Health",Health Environmentalist,x,
19-2041,"Environmental Scientists and Specialists, Including Health",Water Pollution Scientist,x,
19-2041,"Environmental Scientists and Specialists, Including Health",Water Quality Analyst,,
19-2042,"Geoscientists, Except Hydrologists and Geographers",Crystallographer,,
19-2042,"Geoscientists, Except Hydrologists and Geographers",Development Geologist,,
19-2042,"Geoscientists, Except Hydrologists and Geographers",Environmental Geologist,,
19-2042,"Geoscientists, Except Hydrologists and Geographers",Exploration Geologist,,
19-2042,"Geoscientists, Except Hydrologists and Geographers",Geochemist,x,
19-2042,"Geoscientists, Except Hydrologists and Geographers",Geodesist,,
19-2042,"Geoscientists, Except Hydrologists and Geographers",Geologist,,
19-2042,"Geoscientists, Except Hydrologists and Geographers",Geomagnetist,,
19-2042,"Geoscientists, Except Hydrologists and Geographers",Geophysicist,,
19-2042,"Geoscientists, Except Hydrologists and Geographers",Geoscientist,,
19-2042,"Geoscientists, Except Hydrologists and Geographers",Mine Geologist,,
19-2042,"Geoscientists, Except Hydrologists and Geographers",Mineralogist,,
19-2042,"Geoscientists, Except Hydrologists and Geographers",Mining Production Geologist,,
19-2042,"Geoscientists, Except Hydrologists and Geographers",Oceanographer,x,
19-2042,"Geoscientists, Except Hydrologists and Geographers",Oceanologist,,
19-2042,"Geoscientists, Except Hydrologists and Geographers",Paleontologist,,
19-2042,"Geoscientists, Except Hydrologists and Geographers",Petroleum Geologist,,
19-2042,"Geoscientists, Except Hydrologists and Geographers",Petrologist,x,
19-2042,"Geoscientists, Except Hydrologists and Geographers",Research Geologist,,
19-2042,"Geoscientists, Except Hydrologists and Geographers",Sedimentationist,,
19-2042,"Geoscientists, Except Hydrologists and Geographers",Seismologist,,
19-2042,"Geoscientists, Except Hydrologists and Geographers",Stratigrapher,,
19-2042,"Geoscientists, Except Hydrologists and Geographers",Volcanologist,x,
19-2043,Hydrologists,Hydrogeologist,x,
19-2043,Hydrologists,Isotope Hydrologist,x,
19-2043,Hydrologists,Surface Hydrologist,x,
19-3011,Economists,Agricultural Economist,,
19-3011,Economists,Econometrician,x,
19-3011,Economists,Economic Development Specialist,,
19-3011,Economists,Economic Research Analyst,x,
19-3011,Economists,Environmental Economist,x,
19-3011,Economists,Industrial Economist,x,
19-3011,Economists,Labor Economist,,
19-3011,Economists,Price Economist,,
19-3011,Economists,Social Economist,,
19-3011,Economists,Tax Economist,,
19-3011,Economists,Trade Economist,,
19-3022,Survey Researchers,Pollster,x,
19-3022,Survey Researchers,Survey Methodologist,x,
19-3022,Survey Researchers,Survey Questionnaire Designer,x,
19-3032,Industrial-Organizational Psychologists,Engineering Psychologist,x,
19-3032,Industrial-Organizational Psychologists,Human Resources Psychologist,x,
19-3032,Industrial-Organizational Psychologists,I/O Psychologist,,
19-3032,Industrial-Organizational Psychologists,Industrial Psychologist,,
19-3032,Industrial-Organizational Psychologists,Management Psychologist,x,
19-3032,Industrial-Organizational Psychologists,Organizational Psychologist,,
19-3032,Industrial-Organizational Psychologists,Organizational Research Consultant,,
19-3032,Industrial-Organizational Psychologists,Personnel Research Psychologist,,
19-3033,Clinical and Counseling Psychologists,Eating Disorder Psychologists,x,
19-3033,Clinical and Counseling Psychologists,Geropsychologists,x,
19-3034,School Psychologists,Educational Psychologists,x,
19-3039,"Psychologists, All Other",Developmental Psychologist,,
19-3039,"Psychologists, All Other",Experimental Psychologist,,
19-3039,"Psychologists, All Other",Forensic Psychologist,x,
19-3039,"Psychologists, All Other",Neuropsychologist,,
19-3039,"Psychologists, All Other",Psychotherapist,,
19-3039,"Psychologists, All Other",Rehabilitation Psychologist,,
19-3039,"Psychologists, All Other",Social Psychologist,x,
19-3039,"Psychologists, All Other",Sports Psychologist,x,
19-3041,Sociologists,Criminologist,x,
19-3041,Sociologists,Family Sociologist,x,
19-3041,Sociologists,Penologist,,
19-3041,Sociologists,Rural Sociologist,x,
19-3041,Sociologists,Urban Sociologist,,
19-3051,Urban and Regional Planners,City Planner,x,
19-3051,Urban and Regional Planners,Community Development Planner,x,
19-3051,Urban and Regional Planners,Regional Planner,,
19-3051,Urban and Regional Planners,Urban Planner,,
19-3091,Anthropologists and Archeologists,Anthropologist,,
19-3091,Anthropologists and Archeologists,Applied Anthropologist,,
19-3091,Anthropologists and Archeologists,Archaeologist,,
19-3091,Anthropologists and Archeologists,Ethnoarchaeologist,x,
19-3091,Anthropologists and Archeologists,Medical Anthropologist,,
19-3091,Anthropologists and Archeologists,Physical Anthropologist,,
19-3091,Anthropologists and Archeologists,Political Anthropologist,x,
19-3091,Anthropologists and Archeologists,Research Anthropologist,,
19-3091,Anthropologists and Archeologists,Research Archaeologist,x,
19-3092,Geographers,Biogeographer,,
19-3092,Geographers,Economic Geographer,x,
19-3092,Geographers,Geomorphologist,x,
19-3092,Geographers,GIS Geographer,x,
19-3092,Geographers,Glaciologist,,
19-3092,Geographers,Physical Geographer,,
19-3092,Geographers,Political Geographer,x,
19-3093,Historians,Genealogist,x,
19-3093,Historians,Historiographer,x,
19-3093,Historians,Protohistorian,x,
19-3094,Political Scientists,Government Affairs Researcher,,
19-3094,Political Scientists,Government Affairs Specialist,x,
19-3094,Political Scientists,Local Governance and Citizen Participation Specialist,,
19-3094,Political Scientists,Political Consultant,x,
19-3094,Political Scientists,Political Research Scientist,x,
19-3094,Political Scientists,Political Researcher,,
19-3099,"Social Scientists and Related Workers, All Other",Behavioral Scientist,,
19-3099,"Social Scientists and Related Workers, All Other",Demographer,x,
19-3099,"Social Scientists and Related Workers, All Other",Ethnologist,x,
19-3099,"Social Scientists and Related Workers, All Other",Etymologist,,
19-3099,"Social Scientists and Related Workers, All Other",Linguist,x,
19-3099,"Social Scientists and Related Workers, All Other",Philologist,,
19-3099,"Social Scientists and Related Workers, All Other",Social Scientist,,
19-4012,Agricultural Technicians,Agronomy Technician,,
19-4012,Agricultural Technicians,Artificial Breeding Technician,,
19-4012,Agricultural Technicians,Cotton Program Technician,,
19-4012,Agricultural Technicians,Feed Mill Lab Technician,,
19-4012,Agricultural Technicians,Feed Research Technician,x,
19-4012,Agricultural Technicians,Seed Analyst,x,
19-4012,Agricultural Technicians,Sugarcane Research Technician,,
19-4012,Agricultural Technicians,Weed Science Research Technician,,
19-4013,Food Science Technicians,Flavor Technician,x,
19-4013,Food Science Technicians,Food Quality Control Technician,x,
19-4013,Food Science Technicians,Food Quality Technician,x,
19-4021,Biological Technicians,Bacteriology Technician,x,
19-4021,Biological Technicians,Biochemistry Technician,,
19-4021,Biological Technicians,Biology Laboratory Assistant,,
19-4021,Biological Technicians,Marine Fisheries Technician,x,
19-4021,Biological Technicians,Microbiology Technician,,
19-4021,Biological Technicians,Wildlife Technician,x,
19-4031,Chemical Technicians,Assayer,x,
19-4031,Chemical Technicians,Chemical Laboratory Technician,x,
19-4031,Chemical Technicians,Inorganic Chemical Technician,x,
19-4042,"Environmental Science and Protection Technicians, Including Health",Air Quality Technician,,
19-4042,"Environmental Science and Protection Technicians, Including Health",Certified Indoor Environmentalist,x,
19-4042,"Environmental Science and Protection Technicians, Including Health",Environmental Science Technician,x,
19-4042,"Environmental Science and Protection Technicians, Including Health",Infectious Waste Technician,x,
19-4042,"Environmental Science and Protection Technicians, Including Health",Pollution Control Technician,x,
19-4042,"Environmental Science and Protection Technicians, Including Health",Public Health Sanitarian Technician,,
19-4042,"Environmental Science and Protection Technicians, Including Health",Radon Inspector,,
19-4043,"Geological Technicians, Except Hydrologic Technicians",Crude Tester,x,
19-4043,"Geological Technicians, Except Hydrologic Technicians",Geological Sample Tester,,
19-4043,"Geological Technicians, Except Hydrologic Technicians",Geophysical Prospector,x,
19-4043,"Geological Technicians, Except Hydrologic Technicians",Magnetometer Operator,,
19-4043,"Geological Technicians, Except Hydrologic Technicians",Mineral Technologist,,
19-4043,"Geological Technicians, Except Hydrologic Technicians",Mining Technician,,
19-4043,"Geological Technicians, Except Hydrologic Technicians",Mud Logger,,
19-4043,"Geological Technicians, Except Hydrologic Technicians",Petroleum Technician,,
19-4043,"Geological Technicians, Except Hydrologic Technicians",Seismic Interpreter,,
19-4043,"Geological Technicians, Except Hydrologic Technicians",Seismic Observer,x,
19-4043,"Geological Technicians, Except Hydrologic Technicians",Seismograph Operator,,
19-4044,Hydrologic Technicians,Groundwater Monitoring Technician,x,
19-4051,Nuclear Technicians,Nuclear Monitoring Technician,x,
19-4051,Nuclear Technicians,Radiation Protection Technician,,
19-4051,Nuclear Technicians,Radiochemical Technician,x,
19-4061,Social Science Research Assistants,City Planning Aide,x,
19-4061,Social Science Research Assistants,Economic Research Assistant,x,
19-4061,Social Science Research Assistants,Economist Research Assistant,,
19-4061,Social Science Research Assistants,Historian Research Assistant,x,
19-4061,Social Science Research Assistants,Political Science Research Assistant,,
19-4061,Social Science Research Assistants,Psychologist Research Assistant,,
19-4061,Social Science Research Assistants,Sociology Research Assistant,,
19-4071,Forest and Conservation Technicians,Forest Technician,,
19-4071,Forest and Conservation Technicians,Forestry Aide,x,
19-4071,Forest and Conservation Technicians,Forestry Technician,,
19-4071,Forest and Conservation Technicians,Natural Resources Technician,,
19-4071,Forest and Conservation Technicians,Soil Conservation Technician,x,
19-4071,Forest and Conservation Technicians,Timber Management Technician,x,
19-4092,Forensic Science Technicians,Ballistic Technician,,
19-4092,Forensic Science Technicians,Ballistician,,
19-4092,Forensic Science Technicians,Ballistics Expert,x,
19-4092,Forensic Science Technicians,Crime Lab Technician,,
19-4092,Forensic Science Technicians,Crime Scene Technician,x,
19-4092,Forensic Science Technicians,Criminalist Technician,,
19-4092,Forensic Science Technicians,Fingerprint Expert,,
19-4092,Forensic Science Technicians,Forensic Analyst,,
19-4092,Forensic Science Technicians,Handwriting Expert,,
19-4092,Forensic Science Technicians,Trace Evidence Technician,x,
19-4092,Forensic Science Technicians,Wildlife Forensic Geneticist,,
19-4099,"Life, Physical, and Social Science Technicians, All Other",Meteorological Aide,x,
19-4099,"Life, Physical, and Social Science Technicians, All Other",Polygraph Examiner,x,
19-5011,Occupational Health and Safety Specialists,Certified Industrial Hygienist,,
19-5011,Occupational Health and Safety Specialists,Certified Professional Ergonomist,,
19-5011,Occupational Health and Safety Specialists,Environmental Health Sanitarian,x,
19-5011,Occupational Health and Safety Specialists,Health and Safety Inspector,x,
19-5011,Occupational Health and Safety Specialists,Industrial Hygienist,x,
19-5011,Occupational Health and Safety Specialists,Industrial Safety and Health Specialist,,
19-5011,Occupational Health and Safety Specialists,Occupational Safety and Health Inspector,,
19-5011,Occupational Health and Safety Specialists,Radiological Health Specialist,,
19-5012,Occupational Health and Safety Technicians,CHST,,
19-5012,Occupational Health and Safety Technicians,Construction Health and Safety Technician,x,
19-5012,Occupational Health and Safety Technicians,Environmental Health Technologist,,
19-5012,Occupational Health and Safety Technicians,Ergonomics Technician,x,
19-5012,Occupational Health and Safety Technicians,Occupational Health and Safety Technologist,,
19-5012,Occupational Health and Safety Technicians,Occupational Health and Safety Technologist (OHST),x,
21-1011,Substance Abuse and Behavioral Disorder Counselors,Addiction Counselor,x,
21-1011,Substance Abuse and Behavioral Disorder Counselors,Addiction Therapist,,
